Question & Options,Correct Answer
"Which of the following statements accurately summarize the essential content of the movie 'Khatta Meetha' released in 2010?
Options:
A. A. The movie explores the complexities of family relationships.
B. B. It is primarily a romantic drama set in a historical context.
C. C. The film combines comedy and drama to depict the life of a dysfunctional family.
D. D. It focuses on the theme of betrayal and revenge.","A, C"
"In the movie 'Khatta Meetha' (2010), which of the following statements about the relationship between Sachin Tichkule and Municipal Commissioner Gehna Ganpule are true?
Options:
A. A) Sachin Tichkule and Gehna Ganpule used to be in a romantic relationship.
B. B) Gehna Ganpule still loves Sachin Tichkule despite his dishonest ways.
C. C) Gehna Ganpule hates Sachin Tichkule because of his dishonest behavior.
D. D) Sachin Tichkule is a politician who is honest and respected.","A) Sachin Tichkule and Gehna Ganpule used to be in a romantic relationship., C) Gehna Ganpule hates Sachin Tichkule because of his dishonest behavior."
"In the movie 'Khatta Meetha' (2010), which characters are involved in the bridge collapse scheme with politician Sanjay Rana's assistance?
Options:
A. Harish Tichkule
B. Trigun Fatak
C. Sanjay Rana
D. Ranjana","Harish Tichkule, Trigun Fatak, Sanjay Rana"
"In the movie 'Khatta Meetha' (2010), which of the following statements are true regarding the characters Sanjay Rana and Vishwas Rao?
Options:
A. A. Sanjay Rana helped Vishwas Rao during a bridge collapse.
B. B. Vishwas Rao was involved in a scheme to kill Sanjay Rana.
C. C. Sanjay Rana was later killed to prevent the truth from coming out.
D. D. Vishwas Rao was Sanjay Rana's brother-in-law.","A, C"
"In the movie 'Khatta Meetha' (2010), which of the following statements are true regarding the relationship between Ramakant Tichkule and Sachin Tichkule?
Options:
A. Ramakant reprimanded Sachin for his financial situation.
B. Sachin is financially stable and can marry his sister off.
C. Ramakant believes Sachin has no right to voice his opinions due to his lack of money.
D. Ramakant supports Sachin's decisions regarding family matters.","Ramakant reprimanded Sachin for his financial situation., Ramakant believes Sachin has no right to voice his opinions due to his lack of money."
"In the movie 'Khatta Meetha' (2010), which of the following statements are true regarding Azad Bhagat's quest for justice after the bridge collapse?
Options:
A. Azad Bhagat seeks justice for his family's death in the accident.
B. The bridge collapse is a key event that drives the plot forward.
C. Azad Bhagat is indifferent to the accident and its consequences.
D. The movie portrays the impact of the bridge collapse on the community.","Azad Bhagat seeks justice for his family's death in the accident., The bridge collapse is a key event that drives the plot forward., The movie portrays the impact of the bridge collapse on the community."
"In the movie 'Khatta Meetha' (2010), which of the following statements accurately describe the relationship between Sachin and Anjali?
Options:
A. Sachin and Anjali are siblings.
B. Sachin is unaware of Anjali's attempts to contact him.
C. Anjali frequently visits Sachin's house.
D. Sachin becomes suspicious of Azad's actions.","Sachin and Anjali are siblings., Sachin is unaware of Anjali's attempts to contact him., Sachin becomes suspicious of Azad's actions."
"In the movie 'Khatta Meetha' (2010), which of the following statements accurately describe the relationship between Sachin and Gehna?
Options:
A. A) Sachin's fraudulent actions initially strain his relationship with Gehna.
B. B) Gehna attempts suicide due to the strain in her relationship with Sachin.
C. C) Sachin and Gehna's relationship remains strained throughout the movie.
D. D) Sachin and Gehna reconcile after he reveals his disillusionment with his past principles.","A, B, D"
"In the movie 'Khatta Meetha' (2010), which of the following statements accurately describe the relationship between Anjali and Ramakant?
Options:
A. Anjali is Ramakant's daughter.
B. Ramakant is devastated after learning of Anjali's death.
C. Anjali and Ramakant have a joyful relationship throughout the film.
D. Ramakant plays a crucial role in Anjali's life decisions.","Anjali is Ramakant's daughter., Ramakant is devastated after learning of Anjali's death."
"In the movie 'Khatta Meetha' (2010), which of the following statements are true regarding the relationship between Sachin and Azad?
Options:
A. A) Sachin initially believes Azad is a thief.
B. B) Gehna informs Sachin about Azad's true intentions.
C. C) Sachin and Azad decide to work against each other.
D. D) They agree to help each other in exposing the corrupt.","A) Sachin initially believes Azad is a thief., B) Gehna informs Sachin about Azad's true intentions., D) They agree to help each other in exposing the corrupt."
"In the movie 'Khatta Meetha' (2010), which of the following statements about Sanjay and Gehna's relationship are true?
Options:
A. Sanjay is Gehna's employer.
B. Gehna is involved in a legal case against fraudsters.
C. Sanjay promotes Gehna after a successful project.
D. Sanjay transfers Gehna to another city.","Sanjay is Gehna's employer., Gehna is involved in a legal case against fraudsters., Sanjay transfers Gehna to another city."
"In the movie 'Khatta Meetha' (2010), which of the following statements are true regarding the relationship between masked robbers and Azad?
Options:
A. A. The masked robbers were hired by Sanjay.
B. B. Azad was killed by masked robbers on his way to court.
C. C. Azad was a criminal mastermind.
D. D. The masked robbers acted independently of any outside influence.","A, B"
"In the movie 'Khatta Meetha' (2010), what actions does Sanjay take regarding Gehna's situation?
Options:
A. Sanjay learns about Gehna's transfer to another city
B. Sanjay tries to help Gehna stay in the same city
C. Sanjay gets Gehna transferred to another city
D. Sanjay confronts Gehna about her job","Sanjay learns about Gehna's transfer to another city, Sanjay gets Gehna transferred to another city"
"In the movie 'Khatta Meetha' (2010), which of the following statements are true regarding the character Azad and the events leading to his demise?
Options:
A. A. Azad is killed by masked robbers.
B. B. The robbers were hired by Sanjay.
C. C. Azad was at home when he was attacked.
D. D. The incident occurs while Azad is on his way to court.","A, B, D"
"In the movie 'Khatta Meetha' (2010), what are the possible interpretations of Anjali's fate after witnessing the crime involving Sanjay's friends?
Options:
A. Anjali was murdered by Sanjay's friends.
B. Anjali committed suicide after witnessing the crime.
C. Anjali successfully escaped without any harm.
D. Anjali reported the crime to the authorities.","Anjali was murdered by Sanjay's friends., Anjali committed suicide after witnessing the crime."
"In the movie 'Khatta Meetha' (2010), what significant event does Azad reveal while being taken to the hospital?
Options:
A. Azad witnessed Anjali being harmed.
B. Azad was involved in a robbery.
C. Azad saw Anjali being raped by Sanjay's friends.
D. Azad confessed to a crime he did not commit.","Azad witnessed Anjali being harmed., Azad saw Anjali being raped by Sanjay's friends."
"In the movie 'Khatta Meetha' (2010), which of the following actions are taken by Sachin in relation to Azad?
Options:
A. Sachin takes Azad to the hospital for treatment.
B. Sachin decides to search for documents at Azad's house.
C. Sachin ignores Azad's injuries.
D. Sachin helps Azad recover from his injuries.","Sachin takes Azad to the hospital for treatment., Sachin decides to search for documents at Azad's house."
"In the movie 'Khatta Meetha' (2010), what actions does Sanjay take regarding the evidence when he learns that Sachin is searching for it?
Options:
A. Sanjay hides the evidence elsewhere
B. Sanjay destroys the evidence
C. Sanjay gives the evidence to Sachin
D. Sanjay confesses about the evidence",Sanjay hides the evidence elsewhere
"In the movie 'Khatta Meetha' (2010), which of the following statements are true regarding the relationship between Sachin and Sanjay?
Options:
A. A) Sachin is a follower of Sanjay.
B. B) Sanjay is caught fleeing with evidence.
C. C) Sachin and Sanjay have a friendly relationship.
D. D) A fight occurs between Sachin and Sanjay.","A, B, D"
"In the 2010 movie 'Khatta Meetha', which of the following statements are true regarding the relationship between Sanjay and the truck?
Options:
A. Sanjay survives the encounter with the truck.
B. The truck plays a significant role in Sanjay's fate.
C. Sanjay is killed after being run over by the truck.
D. The truck is driven by a character named Ramesh.","The truck plays a significant role in Sanjay's fate., Sanjay is killed after being run over by the truck."
"In the movie 'Khatta Meetha' (2010), which of the following characters are involved in the arrest mentioned in the context of Trigun and Harish?
Options:
A. Trigun
B. Harish
C. Suhas
D. Ravi","Trigun, Harish, Suhas"
"In the movie 'Khatta Meetha' (2010), which of the following statements about the relationship between Sachin and Ramakant are true?
Options:
A. Ramakant expresses pride in Sachin.
B. Sachin decides to leave without any confrontation.
C. Ramakant stops Sachin from leaving.
D. Their relationship is rekindled.","Ramakant expresses pride in Sachin., Ramakant stops Sachin from leaving., Their relationship is rekindled."
"In the movie 'Khatta Meetha' (2010), which of the following statements are true regarding Gehna and Sachin's relationship?
Options:
A. A. Gehna confesses her love for Sachin.
B. B. Sachin proposes to Gehna.
C. C. Gehna and Sachin decide to marry.
D. D. Gehna is Sachin's childhood friend.","A, C"
