node_1,node_2,node_3,node_4,edge_1,edge_2,edge_3
piccolo,king piccolo,dragonball evolution,loosely based on the japanese dragon ball manga series created by akira toriyama,Piccolo is the son of King Piccolo and carries forward his evil intentions,"James Marsters played King Piccolo in Dragonball Evolution, indicating an association between the character and the film.",Dragonball Evolution is a 2009 American superhero film loosely based on the Japanese Dragon Ball manga series created by Akira Toriyama.
piccolo,king piccolo,dragonball evolution,first official live-action adaptation of the dragon ball series,Piccolo is the son of King Piccolo and carries forward his evil intentions,"James Marsters played King Piccolo in Dragonball Evolution, indicating an association between the character and the film.",Dragonball Evolution is the first official live-action adaptation of the Dragon Ball series.
piccolo,king piccolo,dragonball evolution,commercial failure,Piccolo is the son of King Piccolo and carries forward his evil intentions,"James Marsters played King Piccolo in Dragonball Evolution, indicating an association between the character and the film.",Dragonball Evolution was a commercial failure.
piccolo,king piccolo,dragonball evolution,abandoned jeans factory,Piccolo is the son of King Piccolo and carries forward his evil intentions,"James Marsters played King Piccolo in Dragonball Evolution, indicating an association between the character and the film.","Dragonball Evolution was shot in an abandoned jeans factory, also located in Durango, Mexico."
piccolo,king piccolo,dragonball evolution,mexico,Piccolo is the son of King Piccolo and carries forward his evil intentions,"James Marsters played King Piccolo in Dragonball Evolution, indicating an association between the character and the film.","Dragonball Evolution was shot in an abandoned jeans factory, also located in Durango, Mexico."
piccolo,king piccolo,dragonball evolution,special effects,Piccolo is the son of King Piccolo and carries forward his evil intentions,"James Marsters played King Piccolo in Dragonball Evolution, indicating an association between the character and the film.","Dragonball Evolution special effects were done by Amalgamated Dynamics,"
piccolo,king piccolo,dragonball evolution,visual effects,Piccolo is the son of King Piccolo and carries forward his evil intentions,"James Marsters played King Piccolo in Dragonball Evolution, indicating an association between the character and the film.","Dragonball Evolution visual effects were done by Ollin Studios, Zoic Studios, and Imagine Engine."
piccolo,king piccolo,dragonball evolution,cinemascore,Piccolo is the son of King Piccolo and carries forward his evil intentions,"James Marsters played King Piccolo in Dragonball Evolution, indicating an association between the character and the film.","The film's grade is discussed in the context, implying a connection between Dragonball Evolution and CinemaScore."
piccolo,king piccolo,dragonball evolution,lowest-rated film on letterboxd,Piccolo is the son of King Piccolo and carries forward his evil intentions,"James Marsters played King Piccolo in Dragonball Evolution, indicating an association between the character and the film.","As of August 19th, 2024, Dragonball Evolution holds the record as the lowest-rated film on Letterboxd with a 0.9 rating."
piccolo,king piccolo,dragonball evolution,chatwin was ill-cast as goku,Piccolo is the son of King Piccolo and carries forward his evil intentions,"James Marsters played King Piccolo in Dragonball Evolution, indicating an association between the character and the film.","According to Jeffrey K. Lyles of The Gazette, Chatwin was ill-cast as Goku in the film Dragonball Evolution."
