Question & Options,Correct Answer
"In the movie 'PK' (2014), which of the following statements are true regarding the alien's interactions and experiences with religion?
Options:
A. A. The alien creates awareness about a 'missing' God.
B. B. The alien learns about multiple Indian religions.
C. C. The alien is indifferent to human beliefs.
D. D. The alien earns Jaggu's trust by rescuing him.","A, B, D"
"In the movie 'PK' (2014), which of the following statements are true regarding the relationship between the alien and bandmaster Bhairon Singh?
Options:
A. The alien befriended Bhairon Singh while learning Bhojpuri.
B. The alien and Bhairon Singh exchanged memories with a prostitute.
C. Bhairon Singh taught the alien how to play an instrument.
D. The alien held hands with Bhairon Singh during their friendship.",The alien befriended Bhairon Singh while learning Bhojpuri. The alien and Bhairon Singh exchanged memories with a prostitute. The alien held hands with Bhairon Singh during their friendship.
"In the movie 'PK' (2014), which of the following statements are true regarding the alien's journey in Delhi?
Options:
A. A. The alien is searching for a thief who stole his remote.
B. B. The alien is named 'PK' because he is a renowned scientist.
C. C. People thought the alien was drunk due to his confusion with different religions.
D. D. The alien interacts with various religious groups during his search.","A, C, D"
"In the 2014 movie 'PK', which of the following statements are true regarding the relationship between the alien and Jaggu?
Options:
A. A. The alien tries to take money from a temple's donation box.
B. B. Jaggu is a deity who helps the alien.
C. C. The alien distributes pamphlets about a 'missing' God.
D. D. Jaggu earns the alien's trust by rescuing him.","A, C, D"
"In the movie 'PK' (2014), which of the following statements about Jaggu and Sarfaraz Yousuf's relationship are true?
Options:
A. Jaggu falls in love with Sarfaraz Yousuf.
B. Jaggu's father supports her relationship with Sarfaraz.
C. Sarfaraz Yousuf is a Pakistani man.
D. Their relationship faces challenges due to their different religions.","Jaggu falls in love with Sarfaraz Yousuf., Sarfaraz Yousuf is a Pakistani man., Their relationship faces challenges due to their different religions."
"In the movie 'PK' (2014), which of the following statements are true regarding the relationship between Sarfaraz Yousuf and Jaggu?
Options:
A. Jaggu proposes to Sarfaraz for marriage.
B. Sarfaraz sends Jaggu an unsigned letter to call off their wedding.
C. Jaggu receives a signed letter from Sarfaraz.
D. Jaggu is heartbroken after the wedding is called off.",Jaggu proposes to Sarfaraz for marriage.; Sarfaraz sends Jaggu an unsigned letter to call off their wedding.; Jaggu is heartbroken after the wedding is called off.
"In the movie 'PK' (2014), what predictions does Tapasvi Maharaj make regarding Sarfaraz Yousuf's relationship with Jaggu?
Options:
A. Sarfaraz will support Jaggu unconditionally.
B. Sarfaraz will betray Jaggu.
C. Jaggu will find true love with Sarfaraz.
D. Tapasvi Maharaj predicts a conflict between Sarfaraz and Jaggu.",Sarfaraz will betray Jaggu.
"In the movie 'PK' (2014), which of the following statements are true regarding the relationship between Sarfaraz Yousuf and Jagat 'Jaggu' Janani Sahni?
Options:
A. A. Jagat 'Jaggu' Janani Sahni is an Indian woman.
B. B. Sarfaraz Yousuf is a Belgian man.
C. C. Sarfaraz Yousuf is a Pakistani man.
D. D. Jagat 'Jaggu' Janani Sahni falls in love with Sarfaraz Yousuf.","A, C, D"
"In the movie 'PK' (2014), which of the following statements accurately reflect PK's journey in relation to God?
Options:
A. PK practices multiple Indian religions in search of God.
B. Jaggu initially doubts PK's story but later decides to help him.
C. PK discovers that Tapasvi is a genuine spiritual leader.
D. The film critiques the concept of fraudulent godmen and encourages belief in the real God.","PK practices multiple Indian religions in search of God., Jaggu initially doubts PK's story but later decides to help him., The film critiques the concept of fraudulent godmen and encourages belief in the real God."
"In the movie 'PK' (2014), which of the following statements correctly reflect the relationship between 'tapasvi' and 'god' as depicted in the plot?
Options:
A. A. Tapasvi believes he has a direct connection to God.
B. B. Tapasvi predicts Sarfaraz's betrayal.
C. C. Tapasvi argues that all Muslims are liars.
D. D. Tapasvi uses his claims to challenge religious beliefs.","A, B, D"
