Question & Options,Correct Answer
"What is the birth name of the main character portrayed by Shah Rukh Khan in the movie 'Swades'?
Options:
A. Mohan
B. Gandhi
C. Shah Rukh
D. Mahatma",Mohan
"In the movie *Swades*, who is seen encouraging the children to experience the fascinating world of stars through his telescope?
Options:
A. Mohan
B. Gandhi
C. Shah Rukh Khan
D. The children",Mohan
"Which film was the first Indian film to be shot inside the NASA headquarters?
Options:
A. Lagaan
B. Swades
C. Dilwale Dulhania Le Jayenge
D. Kabhi Khushi Kabhie Gham",Swades
"Which individuals inspired the story of the film 'Swades', focusing on their efforts to develop a pedal power generator for rural education in India?
Options:
A. NASA headquarters
B. Aravinda Pillalamarri and Ravi Kuchimanchi
C. Shahrukh Khan
D. A.R. Rahman",Aravinda Pillalamarri and Ravi Kuchimanchi
"Which location was featured as a significant backdrop in the film 'Swades'?
Options:
A. NASA headquarters
B. Bilgaon
C. Mumbai
D. Delhi",Bilgaon
"Which location was the first Indian film to be shot inside?
Options:
A. NASA headquarters
B. Chigurida Kanasu
C. Bollywood Studio
D. Chennai Film City",NASA headquarters
"Which location inspired the lead role's project in the film 'Swades'?
Options:
A. NASA headquarters
B. Bapu Kuti
C. Mumbai
D. Delhi",Bapu Kuti
"Who is the great-grandson of Mahatma Gandhi that noted the theme of Gandhism in the film 'Swades'?
Options:
A. NASA headquarters
B. Mahatma Gandhi
C. Tushar Gandhi
D. Swades",Tushar Gandhi
"What is the name of the main character portrayed by Shah Rukh Khan in the film that was the first Indian film to be shot inside the NASA headquarters?
Options:
A. Mohan
B. Gandhi
C. Shah Rukh
D. NASA",Mohan
"Which film was the first Indian film to be shot inside the NASA headquarters?
Options:
A. nasa headquarters
B. swades
C. zee tv's yule love stories
D. vaapsi",swades
"Which location was featured as the first Indian film set inside its premises in 'Swades'?
Options:
A. NASA headquarters
B. Hollywood
C. Bollywood
D. The White House",NASA headquarters
"Which individuals inspired the story of the film 'Swades' through their efforts to develop a pedal power generator for remote village schools in India?
Options:
A. Launch Pad 39A
B. Aravinda Pillalamarri and Ravi Kuchimanchi
C. Kennedy Space Center
D. Swades",Aravinda Pillalamarri and Ravi Kuchimanchi
"Which location served as a backdrop for the film 'Swades' and is associated with the Narmada Bachao Andolan (NBA) movement?
Options:
A. Launch Pad 39A of the Kennedy Space Center in Florida
B. Bilgaon
C. Mumbai
D. Delhi",Bilgaon
"What inspired the story of the lead role in the film 'Swades' who set up a micro hydro electric project to generate electricity?
Options:
A. Launch Pad 39A of the Kennedy Space Center in Florida
B. Kannada novel Chigurida Kanasu by K. Shivaram Karanth
C. Film production techniques
D. Historical events in space exploration",Kannada novel Chigurida Kanasu by K. Shivaram Karanth
"Which location is reportedly inspired by the story of the lead role in 'Swades' who sets up a micro hydroelectric project?
Options:
A. Launch Pad 39A of the Kennedy Space Center in Florida
B. Taj Mahal
C. Bapu Kuti
D. Gateway of India",Bapu Kuti
"Who has noted the theme of Gandhism in the film 'Swades'?
Options:
A. Launch Pad 39A of the Kennedy Space Center in Florida
B. Mahatma Gandhi's great-grandson Tushar Gandhi
C. The director of Swades
D. The producer of Swades",Mahatma Gandhi's great-grandson Tushar Gandhi
"What is the name of the main character portrayed by Shah Rukh Khan in the film that features Launch Pad 39A of the Kennedy Space Center?
Options:
A. Arjun
B. Mohan
C. Raj
D. Vikram",Mohan
"Which location featured in the film 'Swades' is known for its significance in space exploration?
Options:
A. Launch Pad 39A of the Kennedy Space Center in Florida
B. Zee TV's Yule Love Stories
C. Taj Mahal
D. Gateway of India",Launch Pad 39A of the Kennedy Space Center in Florida
"Which location was featured in the film 'Swades' and is known for its space missions?
Options:
A. launch pad 39a of the kennedy space center in florida
B. nasa headquarters
C. the white house
D. cape canaveral",launch pad 39a of the kennedy space center in florida
"Which location served as a major filming site for the movie 'Swades'?
Options:
A. Menawali, Maharashtra
B. Mumbai
C. Delhi
D. Bangalore","Menawali, Maharashtra"
"In which location was a major part of the film 'Swades' shot?
Options:
A. Bilgaon
B. Mumbai
C. Menawali, Maharashtra
D. Pune","Menawali, Maharashtra"
"Which location served as a significant shooting site for the film 'Swades'?
Options:
A. menawali, maharashtra
B. mumbai
C. delhi
D. bangalore","menawali, maharashtra"
"Which location inspired the lead role's project in the film 'Swades'?
Options:
A. Menawali, Maharashtra
B. Mumbai
C. Delhi
D. Bapu Kuti",Bapu Kuti
"Which individual, known as Mahatma Gandhi's great-grandson, has discussed the themes of Gandhism in the film 'Swades'?
Options:
A. Menawali, Maharashtra
B. Mahatma Gandhi
C. Tushar Gandhi
D. Gandhism",Tushar Gandhi
"In which location was a major part of the film 'Swades' shot, featuring the character Mohan?
Options:
A. Mumbai
B. Menawali, Maharashtra
C. Delhi
D. Pune","Menawali, Maharashtra"
"In which location was a significant portion of the film 'Swades' shot, which is also a setting for a story inspired by Zee TV's Yule Love Stories?
Options:
A. Menawali, Maharashtra
B. Mumbai
C. Pune
D. Delhi","Menawali, Maharashtra"
"Which location was featured as a significant filming site for the movie 'Swades', which also included scenes shot at the NASA headquarters?
Options:
A. Menawali, Maharashtra
B. Mumbai
C. Los Angeles
D. New Delhi","Menawali, Maharashtra"
