Question & Options,Correct Answer
"Which of the following statements are true regarding the movie 'Himmatwala' released in 2012?
Options:
A. Ajay Devgn portrays the character Ravi Verma (II).
B. Ravi Verma (II) is played by a different actor in the film.
C. Ajay Devgn is the lead actor in 'Himmatwala'.
D. The character Ravi Verma (II) is a supporting role in the movie.","Ajay Devgn portrays the character Ravi Verma (II)., Ajay Devgn is the lead actor in 'Himmatwala'."
"In the movie 'Himmatwala' (2012), which of the following statements about the character Rekha Singh, portrayed by Tamannaah Bhatia, are correct?
Options:
A. Tamannaah Bhatia plays the role of Rekha Singh.
B. Rekha Singh is a supporting character in the movie.
C. Tamannaah Bhatia is known for her role in 'Himmatwala'.
D. Rekha Singh is the main antagonist of the film.","Tamannaah Bhatia plays the role of Rekha Singh., Tamannaah Bhatia is known for her role in 'Himmatwala'."
"In the movie Himmatwala (2012), which of the following statements are true regarding the character Narayan Das portrayed by Paresh Rawal?
Options:
A. A. Paresh Rawal plays the role of Narayan Das.
B. B. Narayan Das is the main antagonist of the film.
C. C. Paresh Rawal is known for his comedic roles.
D. D. Narayan Das is a pivotal character in the plot of Himmatwala.","A, D"
"In the movie 'Himmatwala' (2012), which of the following statements about the character Sher Singh played by Mahesh Manjrekar are correct?
Options:
A. Mahesh Manjrekar portrays the character Sher Singh.
B. Sher Singh is the main antagonist of the film.
C. Mahesh Manjrekar is also a well-known director.
D. Sher Singh has a significant impact on the film's plot.","Mahesh Manjrekar portrays the character Sher Singh., Sher Singh has a significant impact on the film's plot."
"In the 2012 movie 'Himmatwala', which of the following statements are true regarding the character Shakti Das and the actor Adhyayan Suman?
Options:
A. Adhyayan Suman portrays the character Shakti Das.
B. Shakti Das is the main antagonist in the film.
C. Adhyayan Suman is known for his role in Himmatwala.
D. Shakti Das is a supporting character in the story.","Adhyayan Suman portrays the character Shakti Das., Adhyayan Suman is known for his role in Himmatwala."
"In the movie 'Himmatwala' (2012), which of the following statements are true regarding the character Savitri Verma?
Options:
A. Zarina Wahab plays Savitri Verma
B. Savitri Verma is a pivotal character
C. Zarina Wahab is the main antagonist
D. Savitri Verma is related to the protagonist","Zarina Wahab plays Savitri Verma, Savitri Verma is a pivotal character"
"In the movie 'Himmatwala' (2012), which characters are portrayed by Leena Jumani?
Options:
A. Padma Verma
B. Padma Shakti Das
C. Leena's sister
D. The village head's daughter","Padma Verma, Padma Shakti Das"
"Which of the following statements are true regarding the characters in the movie 'Himmatwala' (2012)?
Options:
A. A) Anil Dhawan plays the role of Dharamurthy Verma.
B. B) Dharamurthy Verma is the main antagonist in the film.
C. C) Anil Dhawan makes a cameo appearance as Dharamurthy Verma.
D. D) Dharamurthy Verma is portrayed by a different actor.","A) Anil Dhawan plays the role of Dharamurthy Verma., C) Anil Dhawan makes a cameo appearance as Dharamurthy Verma."
"In the movie 'Himmatwala' (2012), which of the following statements about the cast are true?
Options:
A. Riteish Deshmukh plays the character of Ravi Verma.
B. Ravi Verma is a leading actor in 'Himmatwala'.
C. Riteish Deshmukh has a cameo appearance in 'Himmatwala'.
D. Ravi Verma is portrayed by Riteish Deshmukh in a cameo role.","Riteish Deshmukh plays the character of Ravi Verma., Riteish Deshmukh has a cameo appearance in 'Himmatwala'., Ravi Verma is portrayed by Riteish Deshmukh in a cameo role."
"In the movie Himmatwala (2012), which of the following statements about the characters played by Chunky Panday and Michael Jaikishan are true?
Options:
A. Chunky Panday plays the character of Michael Jaikishan.
B. Michael Jaikishan is a villain in the movie.
C. Chunky Panday is known for his comedic roles.
D. The character of Michael Jaikishan is portrayed as a hero.","Chunky Panday plays the character of Michael Jaikishan., Chunky Panday is known for his comedic roles."
