Question & Options,Correct Answer
"In the movie 'Thank You' (2011), which of the following characters are involved in the issue regarding receiving a free necklace from Raj in a mall?
Options:
A. Sanjana
B. Raj
C. Vikram
D. Priya","Sanjana, Raj"
"In the movie 'Thank You' (2011), which of the following statements are true regarding Maya's relationship with her secret friend who spies on Yogi's infidelity?
Options:
A. Maya is unaware of her friend's spying activities.
B. Maya actively participates in spying on Yogi.
C. The secret friend reveals Yogi's infidelity to Maya.
D. Maya confronts Yogi based on the information provided by her friend.","Maya is unaware of her friend's spying activities., The secret friend reveals Yogi's infidelity to Maya."
"In the movie 'Thank You' (2011), which of the following statements are true regarding the meeting between Sanjana and Detective Kishan Khurana?
Options:
A. A. The meeting is arranged to discuss a free necklace from Raj.
B. B. Sanjana is a detective herself.
C. C. Detective Kishan Khurana is trying to solve a case related to Sanjana.
D. D. The meeting aims to resolve an issue involving a necklace.","A, D"
"In the movie 'Thank You' (2011), which of the following statements are true regarding Kishan Khurana's investigation into Sanjana's accusations against Raj?
Options:
A. A) Kishan Khurana is a close friend of Raj.
B. B) Sanjana accuses Raj of infidelity.
C. C) Kishan takes Sanjana's accusations seriously.
D. D) Raj is unaware of the accusations made against him.","B, C"
"In the movie 'Thank You' (2011), what are the significant aspects of Raj Malhotra's relationships with his girlfriends?
Options:
A. Raj Malhotra is committed to only one girlfriend.
B. Raj Malhotra juggles multiple girlfriends simultaneously.
C. Raj Malhotra's relationships lead to comedic situations.
D. Raj Malhotra seeks advice from his friends about his girlfriends.","Raj Malhotra juggles multiple girlfriends simultaneously, Raj Malhotra's relationships lead to comedic situations, Raj Malhotra seeks advice from his friends about his girlfriends."
"In the movie 'Thank You' (2011), which events are associated with Kishan Khurana's plan to expose Raj during the New Year's Eve party?
Options:
A. Kishan invites all of Raj's girlfriends to the party
B. Kishan confesses his love for his wife
C. Kishan reveals Raj's secrets to the guests
D. Kishan plans a surprise for his friends","Kishan invites all of Raj's girlfriends to the party, Kishan reveals Raj's secrets to the guests"
"In the movie 'Thank You' (2011), which actions are taken by Vikram Chopra in relation to Raj during Kishan's plan to expose him?
Options:
A. Vikram Chopra devises a plan to protect Raj
B. Vikram Chopra confronts Kishan directly
C. Vikram Chopra saves Raj from a dangerous situation
D. Vikram Chopra reveals Kishan's intentions to Raj","Vikram Chopra devises a plan to protect Raj, Vikram Chopra saves Raj from a dangerous situation"
"In the movie 'Thank You' (2011), which characters are involved in the suggestion to hire a private detective for a trivial matter? 
Options:
A. Raj
B. KD
C. Inspector
D. Private Detective","Raj, KD"
"In the 2011 movie 'Thank You', which of the following statements accurately describe the relationship between Raj and Kishan?
Options:
A. Raj recognizes Kishan from a party.
B. Kishan helps Raj with a problem.
C. Raj and Kishan are childhood friends.
D. Raj lands up at Kishan's place.","Raj recognizes Kishan from a party., Kishan helps Raj with a problem., Raj lands up at Kishan's place."
"In the movie 'Thank You' (2011), which of the following characters are involved in the misunderstanding regarding Yogi being the informer after Kishan shows a doctored video? Select all that apply.
Options:
A. Raj
B. Kishan
C. Sanjana
D. Yogi","Raj, Yogi"
