Question,Answer
Is the Na'vi site considered sacred by the Na'vi princess?,Yes
Does Jake fall in love with the Na'vi princess?,Yes
Did the na'vi princess play a crucial role in saving Grace's life in *Avatar*?,Yes
Does the Na'vi princess have a connection with Eywa in *Avatar*?,Yes.
Does the Na'vi princess have a connection to the Toruk in the story of Avatar?,Yes
Does Jake pray to Eywa in *Avatar*?,Yes
Does Jake have a connection to the Na'vi site?,Yes.
Did Jake fall in love with Neytiri in *Avatar*?,Yes
Did Jake have a romantic relationship with Grace in *Avatar*?,No.
Does Jake pray to Eywa in *Avatar*?,Yes
Did Trudy Chacón play a significant role in helping Jake connect with the clan in *Avatar*?,Yes
Did Neytiri play a significant role in leading Jake to her clan?,Yes.
Did Trudy Chacón help transport Jake and Grace to an outpost?,Yes
Did Trudy Chacón help airlift Jake and Grace to the outpost?,Yes
Did Jake connect his mind to the Toruk in *Avatar*?,Yes
Does Jake pray to Eywa in *Avatar*?,Yes
Did Trudy Chacón help Jake escape from Quaritch's brutality?,Yes
Did Neytiri save Jake from suffocation in *Avatar*?,Yes.
Did Neytiri play a role in the events that led to the establishment of the outpost?,Yes.
Did Neytiri play a role in the events that took place at the outpost?,Yes.
