Question & Options,Correct Answer
"Who directed the movie 'Kahaani', released in 2012?
Options:
A. Amitabh Bachchan
B. Sujoy Ghosh
C. Rajkumar Hirani
D. Anurag Kashyap",Sujoy Ghosh
"Who wrote the script for the 2012 movie 'Kahaani'?
Options:
A. Advaita Kala
B. Vikramaditya Motwane
C. Srijit Mukherji
D. Anurag Kashyap",Advaita Kala
"In the 2012 movie 'Kahaani', which filmmaker approached Advaita Kala with the idea for the film?
Options:
A. Anurag Basu
B. Sujoy Ghosh
C. Vishal Bhardwaj
D. Rajkumar Hirani",Sujoy Ghosh
"In which year did the development of the movie 'Kahaani' begin after Sujoy Ghosh approached Advaita Kala?
Options:
A. 2010
B. 2011
C. 2012
D. 2013",2012
"In which month and year did Advaita Kala finish writing the script for the movie 'Kahaani', released in 2012?
Options:
A. January 2010
B. February 2010
C. March 2010
D. April 2010",February 2010
"In the movie 'Kahaani' released in 2012, which book did Advaita Kala read while researching for the film?
Options:
A. Open Secrets: India's Intelligence Unveiled
B. The God of Small Things
C. Midnight's Children
D. The Inheritance of Loss",Open Secrets: India's Intelligence Unveiled
"In the movie 'Kahaani' released in 2012, which book did Advaita Kala read while researching for the film?
Options:
A. The Spy Who Came in from the Cold
B. India's External Intelligence: Secrets of Research and Analysis Wing (RAW)
C. The God of Small Things
D. The Namesake",India's External Intelligence: Secrets of Research and Analysis Wing (RAW)
"Which film did Sujoy Ghosh direct before working on Kahaani, released in 2012?
Options:
A. Kahaani
B. Aladin
C. Bajrangi Bhaijaan
D. Tumbbad",Aladin
"Which film did Sujoy Ghosh plan while awaiting the release of his previous film 'Aladin'?
Options:
A. Kahaani
B. Barfi!
C. Paa
D. Kahaani 2",Kahaani
"In the context of the movie 'Kahaani' released in 2012, what setback did Sujoy Ghosh face while planning the film?
Options:
A. A strong box office performance of Aladin
B. A dismal response to Aladin
C. The success of other films
D. A lack of funding for Kahaani",A dismal response to Aladin
"Which production company was interested in producing the movie 'Kahaani' in 2012, but required Sujoy Ghosh to sign a three-film deal?
Options:
A. Yashraj Films
B. Dharma Productions
C. Fox Star Studios
D. Warner Bros.",Yashraj Films
"In the movie 'Kahaani' released in 2012, why was Kolkata selected as the shooting location over Mumbai or Delhi?
Options:
A. Kolkata had a more vibrant culture.
B. Kolkata was a cheaper location due to budget constraints.
C. Kolkata offered better weather conditions.
D. Kolkata had more historical sites.",Kolkata was a cheaper location due to budget constraints.
"In the 2012 movie 'Kahaani', how is the director's relationship with Kolkata depicted through the character Ghosh?
Options:
A. Ghosh is a native of Kolkata, influencing the film's authenticity.
B. Ghosh is a tourist in Kolkata, unfamiliar with its culture.
C. Ghosh has a deep personal connection to Kolkata, shaping the narrative.
D. Ghosh is an outsider, representing the challenges of navigating the city.","Ghosh has a deep personal connection to Kolkata, shaping the narrative."
"In the movie 'Kahaani' released in 2012, what was the reason for selecting Kolkata as a filming location?
Options:
A. Its vibrant nightlife
B. The mix of modernity and old-world charm
C. The availability of local actors
D. The scenic beauty of the countryside",The mix of modernity and old-world charm
"In the movie 'Kahaani', released in 2012, which actress was initially offered the role that eventually went to Vidya Balan?
Options:
A. Kareena Kapoor
B. Jyothika
C. Deepika Padukone
D. Rani Mukerji",Jyothika
"In the 2012 movie 'Kahaani', what significant decision did Vidya Balan make regarding her role?
Options:
A. She accepted the role immediately without hesitation.
B. She declined the role initially but accepted it after reading the completed script.
C. She was never offered the role in the first place.
D. She requested changes to her character before accepting the role.",She declined the role initially but accepted it after reading the completed script.
