node_1,node_2,edge
columbia pictures,dennis lehane's novel shutter island,"Columbia Pictures initially optioned the rights to Dennis Lehane's novel Shutter Island in 2003, but did not act on the option and it lapsed back to Lehane."
phoenix pictures,dennis lehane's novel shutter island,"After Columbia Pictures declined to develop Dennis Lehane's novel Shutter Island, Phoenix Pictures purchased the rights and hired Laeta Kalogridis to develop the film."
martin scorsese,shutter island,Director Martin Scorsese was attracted to the project based on Dennis Lehane's novel Shutter Island.
leonardo dicaprio,shutter island,Actor Leonardo DiCaprio was also attracted to the project based on Dennis Lehane's novel Shutter Island.
michelle williams,shutter island,"Production of Shutter Island began on March 6, 2008, about six weeks after Michelle Williams' former partner Heath Ledger unexpectedly died."
long island in boston harbor,shutter island,"The inspiration for the hospital and island setting of Shutter Island was Long Island in Boston Harbor, which author Dennis Lehane visited during the blizzard of 1978 as a child with his uncle and family."
medfield state hospital,shutter island,"The old Medfield State Hospital in Medfield, Massachusetts was another key location used for filming Shutter Island."
cawley's office scenes,second floor of the chapel during late evening,"The crew painted the hospital's brick walls to look like plywood for Cawley's office scenes in Shutter Island, which were filmed on the second floor of the chapel during late evening."
worcester,shutter island,"The crew wanted to film at the old Worcester location for Shutter Island, but it is not explicitly stated why this was not possible."
old worcester state hospital,surrounding buildings,"The crew wanted to film at the old Worcester State Hospital, but demolition of surrounding buildings made it impossible."
stone lodge,cabin scene,"The stone lodge, next to Leach Pond, at Borderland State Park in Easton, Massachusetts, was used for the cabin scene."
