node_1,node_2,node_3,edge_1,edge_2
daniel,eli,daniel,"Eli attacks and berates Daniel for having trusted Daniel's enemy, which causes conflict between them.",Eli coerces Daniel into confessing that he abandoned his child during his baptism in Eli's church as a condition for an easement to run the pipeline across Bandy's ranch.
henry,daniel,eli,Daniel becomes suspicious of Henry after he fails to recognize a joke and confronts him one night at gunpoint.,"Eli attacks and berates Daniel for having trusted Daniel's enemy, which causes conflict between them."
henry,daniel,pipeline,Daniel becomes suspicious of Henry after he fails to recognize a joke and confronts him one night at gunpoint.,"Standard Oil offers to buy out Daniel's local interests, but Daniel refuses and instead strikes a deal with Union Oil to build a pipeline."
henry,daniel,eli,Daniel becomes suspicious of Henry after he fails to recognize a joke and confronts him one night at gunpoint.,Daniel partners with Eli in drilling Bandy's property on the condition that Eli denounce his faith.
henry,daniel,eli,Daniel becomes suspicious of Henry after he fails to recognize a joke and confronts him one night at gunpoint.,"After Daniel chases Eli around the alley and bludgeons him to death with a bowling pin, Daniel announces, ""I'm finished"""
bandy,daniel,eli,Bandy remains an impediment for Daniel's plan as he refuses to let the pipeline run across his ranch.,"Eli attacks and berates Daniel for having trusted Daniel's enemy, which causes conflict between them."
bandy,daniel,pipeline,Bandy remains an impediment for Daniel's plan as he refuses to let the pipeline run across his ranch.,"Standard Oil offers to buy out Daniel's local interests, but Daniel refuses and instead strikes a deal with Union Oil to build a pipeline."
bandy,daniel,eli,Bandy remains an impediment for Daniel's plan as he refuses to let the pipeline run across his ranch.,Daniel partners with Eli in drilling Bandy's property on the condition that Eli denounce his faith.
bandy,daniel,eli,Bandy remains an impediment for Daniel's plan as he refuses to let the pipeline run across his ranch.,"After Daniel chases Eli around the alley and bludgeons him to death with a bowling pin, Daniel announces, ""I'm finished"""
eli,daniel,eli,Eli coerces Daniel into confessing that he abandoned his child during his baptism in Eli's church as a condition for an easement to run the pipeline across Bandy's ranch.,"Eli attacks and berates Daniel for having trusted Daniel's enemy, which causes conflict between them."
eli,daniel,pipeline,Eli coerces Daniel into confessing that he abandoned his child during his baptism in Eli's church as a condition for an easement to run the pipeline across Bandy's ranch.,"Standard Oil offers to buy out Daniel's local interests, but Daniel refuses and instead strikes a deal with Union Oil to build a pipeline."
eli,daniel,eli,Eli coerces Daniel into confessing that he abandoned his child during his baptism in Eli's church as a condition for an easement to run the pipeline across Bandy's ranch.,Daniel partners with Eli in drilling Bandy's property on the condition that Eli denounce his faith.
eli,daniel,eli,Eli coerces Daniel into confessing that he abandoned his child during his baptism in Eli's church as a condition for an easement to run the pipeline across Bandy's ranch.,"After Daniel chases Eli around the alley and bludgeons him to death with a bowling pin, Daniel announces, ""I'm finished"""
h.w.,daniel,eli,H.W. asks his father Daniel to dissolve their partnership so that he can move to Mexico with his wife Paul.,"Eli attacks and berates Daniel for having trusted Daniel's enemy, which causes conflict between them."
h.w.,daniel,pipeline,H.W. asks his father Daniel to dissolve their partnership so that he can move to Mexico with his wife Paul.,"Standard Oil offers to buy out Daniel's local interests, but Daniel refuses and instead strikes a deal with Union Oil to build a pipeline."
h.w.,daniel,eli,H.W. asks his father Daniel to dissolve their partnership so that he can move to Mexico with his wife Paul.,Daniel partners with Eli in drilling Bandy's property on the condition that Eli denounce his faith.
h.w.,daniel,eli,H.W. asks his father Daniel to dissolve their partnership so that he can move to Mexico with his wife Paul.,"After Daniel chases Eli around the alley and bludgeons him to death with a bowling pin, Daniel announces, ""I'm finished"""
wealthy but an alcoholic,daniel,eli,Daniel is a wealthy but an alcoholic person.,"Eli attacks and berates Daniel for having trusted Daniel's enemy, which causes conflict between them."
wealthy but an alcoholic,daniel,pipeline,Daniel is a wealthy but an alcoholic person.,"Standard Oil offers to buy out Daniel's local interests, but Daniel refuses and instead strikes a deal with Union Oil to build a pipeline."
wealthy but an alcoholic,daniel,eli,Daniel is a wealthy but an alcoholic person.,Daniel partners with Eli in drilling Bandy's property on the condition that Eli denounce his faith.
wealthy but an alcoholic,daniel,eli,Daniel is a wealthy but an alcoholic person.,"After Daniel chases Eli around the alley and bludgeons him to death with a bowling pin, Daniel announces, ""I'm finished"""
lives alone in a large mansion,daniel,eli,Daniel lives alone in a large mansion.,"Eli attacks and berates Daniel for having trusted Daniel's enemy, which causes conflict between them."
lives alone in a large mansion,daniel,pipeline,Daniel lives alone in a large mansion.,"Standard Oil offers to buy out Daniel's local interests, but Daniel refuses and instead strikes a deal with Union Oil to build a pipeline."
lives alone in a large mansion,daniel,eli,Daniel lives alone in a large mansion.,Daniel partners with Eli in drilling Bandy's property on the condition that Eli denounce his faith.
lives alone in a large mansion,daniel,eli,Daniel lives alone in a large mansion.,"After Daniel chases Eli around the alley and bludgeons him to death with a bowling pin, Daniel announces, ""I'm finished"""
h.w.,daniel,eli,Daniel is the father of H.W.,"Eli attacks and berates Daniel for having trusted Daniel's enemy, which causes conflict between them."
h.w.,daniel,pipeline,Daniel is the father of H.W.,"Standard Oil offers to buy out Daniel's local interests, but Daniel refuses and instead strikes a deal with Union Oil to build a pipeline."
h.w.,daniel,eli,Daniel is the father of H.W.,Daniel partners with Eli in drilling Bandy's property on the condition that Eli denounce his faith.
h.w.,daniel,eli,Daniel is the father of H.W.,"After Daniel chases Eli around the alley and bludgeons him to death with a bowling pin, Daniel announces, ""I'm finished"""
mary,h.w.,daniel,Mary is the person that H.W. wants to move to Mexico with.,H.W. asks his father Daniel to dissolve their partnership so that he can move to Mexico with his wife Paul.
mary,h.w.,daniel,Mary is the person that H.W. wants to move to Mexico with.,Daniel is the father of H.W.
bandy's property,daniel,eli,Daniel drained Bandy's property of oil by capture.,"Eli attacks and berates Daniel for having trusted Daniel's enemy, which causes conflict between them."
bandy's property,daniel,pipeline,Daniel drained Bandy's property of oil by capture.,"Standard Oil offers to buy out Daniel's local interests, but Daniel refuses and instead strikes a deal with Union Oil to build a pipeline."
bandy's property,daniel,eli,Daniel drained Bandy's property of oil by capture.,Daniel partners with Eli in drilling Bandy's property on the condition that Eli denounce his faith.
bandy's property,daniel,eli,Daniel drained Bandy's property of oil by capture.,"After Daniel chases Eli around the alley and bludgeons him to death with a bowling pin, Daniel announces, ""I'm finished"""
radio preacher,eli,daniel,Eli is now a radio preacher.,Eli coerces Daniel into confessing that he abandoned his child during his baptism in Eli's church as a condition for an easement to run the pipeline across Bandy's ranch.
daniel,eli,daniel,Daniel partners with Eli in drilling Bandy's property on the condition that Eli denounce his faith.,Eli coerces Daniel into confessing that he abandoned his child during his baptism in Eli's church as a condition for an easement to run the pipeline across Bandy's ranch.
butler,daniel,eli,Daniel's butler appears to ask about the commotion in the bowling alley of his mansion.,"Eli attacks and berates Daniel for having trusted Daniel's enemy, which causes conflict between them."
butler,daniel,pipeline,Daniel's butler appears to ask about the commotion in the bowling alley of his mansion.,"Standard Oil offers to buy out Daniel's local interests, but Daniel refuses and instead strikes a deal with Union Oil to build a pipeline."
butler,daniel,eli,Daniel's butler appears to ask about the commotion in the bowling alley of his mansion.,Daniel partners with Eli in drilling Bandy's property on the condition that Eli denounce his faith.
butler,daniel,eli,Daniel's butler appears to ask about the commotion in the bowling alley of his mansion.,"After Daniel chases Eli around the alley and bludgeons him to death with a bowling pin, Daniel announces, ""I'm finished"""
daniel,eli,daniel,"After Daniel chases Eli around the alley and bludgeons him to death with a bowling pin, Daniel announces, ""I'm finished""",Eli coerces Daniel into confessing that he abandoned his child during his baptism in Eli's church as a condition for an easement to run the pipeline across Bandy's ranch.
