Question & Options,Correct Answer
"[""Who played the role of d'Artagnan in the 2001 movie 'The Musketeer'?""]
Options:
A. [""Tom Cruise""]
B. [""Johnny Depp""]
C. [""Justin Chambers""]
D. [""Leonardo DiCaprio""]","[""Justin Chambers""]"
"[""Who portrayed the character of Cardinal Richelieu in the 2001 movie 'The Musketeer'?""]
Options:
A. [""Tom Cruise""]
B. [""Stephen Rea""]
C. [""Brad Pitt""]
D. [""Johnny Depp""]","[""Stephen Rea""]"
"""Who played the character of Francesca Bonacieux in the 2001 movie 'The Musketeer'?""
Options:
A. [""Julia Roberts""]
B. [""Mena Suvari""]
C. [""Angelina Jolie""]
D. [""Nicole Kidman""]","[""Mena Suvari""]"
"""In the 2001 movie 'The Musketeer', who played the role of The Queen?""
Options:
A. [""Meryl Streep""]
B. [""Julia Roberts""]
C. [""Catherine Deneuve""]
D. [""Nicole Kidman""]","[""Catherine Deneuve""]"
"[""In the 2001 movie 'The Musketeer', who portrayed the character of King Louis XIII?""]
Options:
A. [""Hugh Jackman""]
B. [""Daniel Mesguich""]
C. [""Tom Cruise""]
D. [""Johnny Depp""]","[""Daniel Mesguich""]"
"""In the 2001 movie 'The Musketeer', which character was essayed by Jean-Pierre Castaldi?""
Options:
A. [""D'Artagnan""]
B. [""Planchet""]
C. [""Cardinal Richelieu""]
D. [""Athos""]","[""Planchet""]"
"[""Who played the character Aramis in the 2001 movie 'The Musketeer'?""]
Options:
A. [""Tom Cruise""]
B. [""Nick Moran""]
C. [""Brad Pitt""]
D. [""Johnny Depp""]","[""Nick Moran""]"
"""Who portrayed the character Porthos in the 2001 movie 'The Musketeer'?""
Options:
A. [""Hugh Jackman""]
B. [""Steve Speirs""]
C. [""Johnny Depp""]
D. [""Tom Hanks""]","[""Steve Speirs""]"
"""Who portrayed the character Athos in the 2001 movie 'The Musketeer'?""
Options:
A. [""Hugh Jackman""]
B. [""Jan-Gregor Kremp""]
C. [""Johnny Depp""]
D. [""Tom Cruise""]","[""Jan-Gregor Kremp""]"
"[""In the 2001 movie 'The Musketeer', which character is portrayed by Jeremy Clyde?""]
Options:
A. [""Duke of Buckingham""]
B. [""King Louis XIV""]
C. [""D'Artagnan""]
D. [""Athos""]","[""Duke of Buckingham""]"
"[""In the 2001 movie 'The Musketeer', which character was portrayed by Bill Treacher?""]
Options:
A. [""D'Artagnan""]
B. [""King Louis XIII""]
C. [""Cardinal Richelieu""]
D. [""Mr Bonacieux""]","[""Mr Bonacieux""]"
"[""Who played the character of Madame Lacross in the 2001 movie 'The Musketeer'?""]
Options:
A. [""Julia Roberts""]
B. [""Meryl Streep""]
C. [""Tsilla Chelton""]
D. [""Angelina Jolie""]","[""Tsilla Chelton""]"
