Question & Options,Correct Answer
"What does Mr. Mistoffelees do after he makes Old Deuteronomy reappear?
Options:
A. He leaves the stage
B. He dances with Victoria
C. He sings a solo
D. He transforms into a different cat",He dances with Victoria
"What does Old Deuteronomy assure Victoria about her future?
Options:
A. She will become a Jellicle herself
B. She will never belong
C. She will leave with Grizabella
D. She will become a leader",She will become a Jellicle herself
"What group does Grizabella become a part of after being named the Jellicle Choice?
Options:
A. The Rum Tum Tuggers
B. The Old Cats
C. The Jellicles
D. The Alley Cats",The Jellicles
"What group does Victoria become a part of by the end of the story?
Options:
A. The Alley Cats
B. The Old Cats
C. The Jellicles
D. The Strays",The Jellicles
"Who takes Victoria under his wing and shows her the world of the Jellicles?
Options:
A. Old Deuteronomy
B. Munkustrap
C. Mr. Mistoffelees
D. Macavity",Mr. Mistoffelees
"What does Old Deuteronomy assure Victoria she can become in time?
Options:
A. A Jellicle
B. A family dog
C. A leader
D. A performer",A Jellicle
"Who assures Victoria that she can become a Jellicle in time?
Options:
A. Macavity
B. Grizabella
C. Old Deuteronomy
D. Rum Tum Tugger",Old Deuteronomy
"Who does Victoria vouch for and encourage to express her true feelings in *Cats*?
Options:
A. Old Deuteronomy
B. Jellicle
C. Rum Tum Tugger
D. Grizabella",Grizabella
"What do the Jellicles do while watching Grizabella ascend as the morning sun appears?
Options:
A. They sing a song
B. They prepare for the Jellicle Ball
C. They perch on a lion statue
D. They abandon Victoria",C) They perch on a lion statue
"Who assures Victoria that she can become a Jellicle in time?
Options:
A. Grizabella
B. Mr. Mistoffelees
C. Old Deuteronomy
D. Victoria",Old Deuteronomy
"Which group of characters rejoices and praises Old Deuteronomy upon his reappearance?
Options:
A. The Jellicles
B. The Rum Tum Tugger
C. The Skimbleshanks
D. The Grizabella",The Jellicles
"What significant role does Old Deuteronomy play in Grizabella's journey in *Cats*?
Options:
A. A) She helps Grizabella find her family.
B. B) She names Grizabella the Jellicle Choice.
C. C) She teaches Grizabella how to sing.
D. D) She becomes Grizabella's best friend.",B) She names Grizabella the Jellicle Choice.
"What role does Old Deuteronomy play in Victoria's journey in the story?
Options:
A. He abandons her when she needs help.
B. He encourages her to become a Jellicle.
C. He is indifferent to her struggles.
D. He opposes her joining the tribe.",He encourages her to become a Jellicle.
"Which character urges Grizabella to express her true feelings through song?
Options:
A. Grizabella
B. Victoria
C. Macavity
D. Old Deuteronomy",Victoria
"What group listens to Grizabella's passionate ballad about her life?
Options:
A. The Rum Tum Tugger
B. The Jellicles
C. The Skimbleshanks
D. The Bustopher Jones",The Jellicles
"What group does Victoria get introduced to after being rescued?
Options:
A. The Alley Cats
B. The Jellicles
C. The Rum Tum Tuggers
D. The Skimbleshanks",The Jellicles
"Which character takes Victoria under their wing during the preparations for the Jellicle Ball?
Options:
A. Cassandra
B. Grizabella
C. Victoria
D. Mr. Mistoffelees",Mr. Mistoffelees
"Which character relates to Grizabella's feelings of abandonment in the context of *Cats*?
Options:
A. Cassandra
B. Mungojerrie
C. Grizabella
D. Victoria",Victoria
"Who assures Victoria that she can become a Jellicle herself in time?
Options:
A. Cassandra
B. Grizabella
C. Victoria
D. Old Deuteronomy",Old Deuteronomy
"Which character vouches for Grizabella and encourages her to express her true feelings?
Options:
A. Cassandra
B. Grizabella
C. Victoria
D. Rum Tum Tugger",Victoria
"What do the Jellicles do while perched on the lion statue?
Options:
A. They sing a song
B. They watch Grizabella ascend
C. They fight Cassandra
D. They celebrate their reunion",They watch Grizabella ascend
"What group of cats does Victoria get introduced to after being rescued?
Options:
A. The Siamese
B. The Jellicles
C. The Maine Coons
D. The Ragdolls",The Jellicles
