Question,Answer
Is Arjun Kapoor not the character Paramveer 'Param' Randhawa in the movie Namaste England released in 2018?,NO
Does Arjun Kapoor play the character Paramveer 'Param' Randhawa in the movie Namaste England released in 2018?,YES
"Does Parineeti Chopra play a different character in the movie ""Namaste England"" released in 2018?",NO
"Is Jasmeet Kaur Randhawa the character portrayed by Parineeti Chopra in ""Namaste England"" released in 2018?",YES
Does Aditya Seal play a character other than Samar 'Sam' Singh Sandhu in the movie Namaste England released in 2018?,NO
Is Aditya Seal the actor who portrays Samar 'Sam' Singh Sandhu in the movie Namaste England released in 2018?,YES
Does Alankrita Sahai play the role of Alisha Sharma in the movie Namaste England released in 2018?,NO
Is Alankrita Sahai a character in the movie Namaste England released in 2018?,YES
Does Anil Mange play the character of Iqbal Khan in the movie Namaste England released in 2018?,NO
Is Iqbal Khan portrayed by Anil Mange in the movie Namaste England released in 2018?,YES
Did Satish Kaushik play a different character than Gurnaam Singh Shergill in the movie Namaste England released in 2018?,NO
Is Gurnaam Singh Shergill portrayed by Satish Kaushik in the movie Namaste England released in 2018?,YES
"Does Mallika Dua not portray the character of Harpreet Kaur Chaddha in the movie ""Namaste England"" released in 2018?",NO
"Is it true that Mallika Dua portrays the character of Harpreet Kaur Chaddha in the movie ""Namaste England"" released in 2018?",YES
Does Sonia Goswami play a role as a diner at a posh party in the movie Namaste England released in 2018?,NO
Is Sonia Goswami a character in the movie Namaste England from the year 2018?,YES
Does Kishore Bhatt play a different character than Mosque Goer in the movie Namaste England released in 2018?,NO
Is Kishore Bhatt a character in the movie Namaste England released in 2018?,YES
"Does Manish Kumar Srivastava play a character named Shyam in the movie ""Namaste England"" released in 2018?",NO
"Is Shyam a character portrayed by Manish Kumar Srivastava in the movie ""Namaste England"" released in 2018?",YES
"Does Frina Mehta play a kind character in the movie ""Namaste England"" released in 2018?",NO
"Is Frina Mehta portraying a Mean British Indian Girl in the movie ""Namaste England"" released in 2018?",YES
"Does Bharat Mistri play a different character in the movie ""Namaste England"" released in 2018?",NO
"Is Bharat Mistri the Wedding Suit Boutique Owner in the movie ""Namaste England"" released in 2018?",YES
Did Vinod Nagpal play a different character than Sam’s Grandfather Gulshan Singh Sandhu in the movie Namaste England released in 2018?,NO
Is Vinod Nagpal the actor who portrays Sam’s Grandfather Gulshan Singh Sandhu in the movie Namaste England released in 2018?,YES
Did Mohit Chhabra play the character of Balwant Singh Chaddha in the movie Namaste England released in 2018?,NO
Is Balwant Singh Chaddha a character portrayed by Mohit Chhabra in the movie Namaste England released in 2018?,YES
"Does Glenn Webster play a leading role in the movie ""Namaste England"" released in 2018?",NO
"Is Glenn Webster a character in the movie ""Namaste England"" released in 2018?",YES
"Does Nicholas Benjamin play a lead role in the movie ""Namaste England"" released in 2018?",NO
"Is Nicholas Benjamin a Party Guest in the movie ""Namaste England"" released in 2018?",YES
Does Abdul Hakim Joy play the role of Seven Eleven Staff in the movie Namaste England released in 2018?,NO
Is Abdul Hakim Joy a character in the movie Namaste England released in 2018?,YES
"Does Shreya Mehta play a different character in the movie ""Namaste England"" released in 2018?",NO
"Is Mitthi a character portrayed by Shreya Mehta in the movie ""Namaste England"" released in 2018?",YES
