Question & Options,Correct Answer
"What can be said about the relationship between Vicky and Sakshi in the context of their criminal activities?
Options:
A. They were both con artists involved in car theft.
B. Their actions led to the accidental death of someone's brother.
C. They maintained a relationship even after separating for a while.
D. All of the above",All of the above
"What key events involve Vicky and Sakshi in their story?
Options:
A. They decide to leave their previous life and start a new one together.
B. They are con artists and car thieves.
C. They separate for a while, affecting their relationship.
D. They have a happy ending together.",They decide to leave their previous life and start a new one together.
"What can be inferred about the relationship between Vicky and Sakshi in their new life journey?
Options:
A. They are con artists.
B. They had to postpone their decision to start a new life.
C. They separated for a while due to circumstances.
D. They are car thieves.",All of the above
"What can be said about the relationship between Vicky and Sakshi in the context of their story?
Options:
A. Vicky falls in love with Sakshi.
B. Vicky leaves Sakshi due to circumstances.
C. Vicky and Sakshi eventually reunite.
D. Vicky and Sakshi are con artists and car thieves.",All of the above
"What relationships are depicted in the story involving Bhanwarlal, Sakshi, and Vicky?
Options:
A. Bhanwarlal's family attempts to arrange a marriage for Sakshi.
B. Sakshi has a romantic involvement with Vicky.
C. Vicky and Sakshi are con artists and car thieves.
D. Bhanwarlal is related to Vicky through family connections.",a) Bhanwarlal's family attempts to arrange a marriage for Sakshi. and c) Vicky and Sakshi are con artists and car thieves.
"What can be said about the relationship between Sakshi and Vicky in the context of their criminal activities?
Options:
A. They were con artists and car thieves.
B. They separated for a while before reuniting.
C. Their actions led to an accidental death.
D. They have a long-standing friendship.",They were con artists and car thieves.
"What key events involve Sakshi and Vicky in their story?
Options:
A. They have a relationship as con artists and car thieves.
B. They separate for a while before reuniting.
C. They decide to leave their previous life behind.
D. They start a new life together.",All of the above
"What can be inferred about the relationship between Sakshi and Vicky in the context of their life choices?
Options:
A. They are con artists and car thieves.
B. They have a complicated relationship due to their past.
C. Their decision to leave their old life is influenced by external circumstances.
D. All of the above",All of the above
"What describes the relationship dynamics between Vicky and Sakshi in the story?
Options:
A. Vicky and Sakshi are con artists and car thieves.
B. Vicky leaves Neha for Sakshi.
C. Vicky and Sakshi reunite after a separation.
D. All of the above",All of the above
"What are the key elements of the plot involving Rohit, Vicky, and Sakshi?
Options:
A. Rohit is a con artist.
B. Vicky is mistaken for Rohit.
C. Sakshi is involved in a love triangle.
D. Vicky and Rohit are car thieves.",b) Vicky is mistaken for Rohit and d) Vicky and Rohit are car thieves.
"What key events involve Rohit, Vicky, and Sakshi in their story?
Options:
A. Rohit and Sakshi decide to leave their previous life together.
B. Vicky is mistaken for Rohit in Manali.
C. Vicky and Sakshi help Rohit start a new life.
D. All of the above",b) Vicky is mistaken for Rohit in Manali.
"What events are connected to the characters Rohit, Vicky, and Sakshi in the context of their story?
Options:
A. Rohit and Vicky experience mistaken identity in Manali.
B. Vicky and Sakshi decide to leave their old life.
C. Rohit is involved in the decision-making process.
D. All of the above",All of the above
"What are the key events involving Rohit, Vicky, and Sakshi in the story?
Options:
A. Vicky is mistaken for Rohit in Manali.
B. Vicky falls in love with Sakshi.
C. Vicky decides to leave Neha for Sakshi.
D. Vicky and Sakshi never reunite.","Vicky is mistaken for Rohit in Manali., Vicky falls in love with Sakshi., Vicky decides to leave Neha for Sakshi."
"What significant events are related to the characters Rohit, Vicky, and Sakshi in the context of their story?
Options:
A. Vicky realizes he is responsible for Rohit's death
B. Rohit and Vicky are involved in a con artist scheme
C. Sakshi is a key figure in the relationship between Vicky and Rohit
D. Vicky and Rohit are car thieves","a) Vicky realizes he is responsible for Rohit's death, b) Rohit and Vicky are involved in a con artist scheme, d) Vicky and Rohit are car thieves"
"Which of the following statements is true regarding the characters Rohit, Vicky, and Sakshi?
Options:
A. Vicky realizes he is responsible for Rohit's death.
B. Rohit and Sakshi decide to leave their previous life together.
C. Vicky and Sakshi support each other in starting a new life.
D. All of the above",All of the above
"What key events involve Rohit, Vicky, and Sakshi in their story?
Options:
A. Vicky realizes he is responsible for Rohit's death
B. Sakshi supports Vicky in dealing with his guilt
C. Their decision to leave their old life gets postponed
D. Vicky and Sakshi plan a new beginning together","a) Vicky realizes he is responsible for Rohit's death, c) Their decision to leave their old life gets postponed"
"What significant events involve Vicky, Rohit, and Sakshi in their relationships?
Options:
A. Vicky realizes he is responsible for Rohit's death.
B. Vicky falls in love with Sakshi and decides to leave Neha.
C. Vicky later reunites with Sakshi after the truth is revealed.
D. Vicky and Rohit were childhood friends.","a) Vicky realizes he is responsible for Rohit's death, b) Vicky falls in love with Sakshi and decides to leave Neha, c) Vicky later reunites with Sakshi after the truth is revealed."
"Which characters are involved in the complex relationships depicted in the story?
Options:
A. Neha
B. Vicky
C. Sakshi
D. All of the above",All of the above
"What significant decisions do Neha, Vicky, and Sakshi make regarding their lives in the story?
Options:
A. Neha marries Vicky
B. Neha accepts Vicky's death
C. They decide to leave their previous life
D. Sakshi supports Neha's decision",All of the above
"What significant events occur in Neha's life as described in the relationships with Vicky and Sakshi?
Options:
A. Neha marries Vicky.
B. Neha realizes that Vicky is dead.
C. Neha and Sakshi decide to start a new life.
D. Neha postpones her decision to leave their old life.",Neha marries Vicky. Neha realizes that Vicky is dead. Neha postpones her decision to leave their old life.
"What are the significant events involving Neha, Vicky, and Sakshi in their relationships?
Options:
A. a) Neha marries Vicky but later realizes that he is dead.
B. b) Vicky falls in love with Sakshi and decides to leave Neha.
C. c) Vicky and Sakshi eventually reunite after the truth is revealed.
D. d) Neha and Vicky have a happy marriage.","a) Neha marries Vicky but later realizes that he is dead., b) Vicky falls in love with Sakshi and decides to leave Neha., c) Vicky and Sakshi eventually reunite after the truth is revealed."
"Which of the following statements are true regarding the relationships in the context provided?
Options:
A. Neha is married to Rohit.
B. Vicky is mistaken for Rohit in Manali.
C. Neha and Vicky have a close friendship.
D. Rohit has a brother named Vicky.",Neha is married to Rohit. and Vicky is mistaken for Rohit in Manali.
"What are the key relationships and realizations involving Neha, Rohit, and Vicky in the context of their story?
Options:
A. Neha is married to Rohit.
B. Vicky realizes he is responsible for Rohit's death.
C. Rohit and Vicky were best friends.
D. Neha and Vicky have a complicated friendship.","Neha is married to Rohit, Vicky realizes he is responsible for Rohit's death."
"What can be inferred about the relationships between Sagar, Neha, and Rohit?
Options:
A. Sagar has loved Neha since childhood.
B. Neha is in a marital relationship with Rohit.
C. Sagar and Neha may start a new life together.
D. Rohit is unaware of Sagar's feelings for Neha.",All of the above
"What relationships are depicted in the story involving Sagar, Neha, and Vicky?
Options:
A. Sagar has loved Neha since childhood.
B. Neha marries Vicky.
C. Neha later realizes that Vicky is dead.
D. All of the above",All of the above
