Question,Answer
"Did Chatur Ramalingam and Farhan Qureshi become friends during their college years in the movie ""3 Idiots"" released in 2010?",NO
"Is the theme of college rivalry a significant part of the plot in the movie ""3 Idiots"" released in 2010?",YES
"In the movie ""3 Idiots"" released in 2010, does college rivalry exist between Chatur Ramalingam and Raju Rastogi?",NO
"In the movie ""3 Idiots"" released in 2010, is there a college rivalry between Chatur Ramalingam and Raju Rastogi?",YES
"Did Chatur Ramalingam win the competition against Rancho in the movie ""3 Idiots"" released in 2010?",NO
"Was the competition between Chatur Ramalingam and Rancho initiated by a bet made in college in the movie ""3 Idiots"" released in 2010?",YES
"Did Rancho provide no assistance to Joy Lobo in college in the movie ""3 Idiots"" released in 2010?",NO
"Did Rancho provide assistance to Joy Lobo in college in the movie ""3 Idiots"" released in 2010?",YES
"In the movie ""3 Idiots"" released in 2010, did Rancho and Virus have a friendly relationship throughout the film?",NO
"Does the movie ""3 Idiots"" released in 2010 depict a conflict between Rancho and Virus due to pressure on students at ICE?",YES
"Did Pia dislike Rancho in the movie ""3 Idiots"" released in 2010?",NO
"Did Pia develop feelings for Rancho after he exposed her materialistic fiancé Suhas in the movie ""3 Idiots"" released in 2010?",YES
"Is the friendship between Farhan Qureshi and Raju Rastogi in the movie ""3 Idiots"" from the year 2010 based on a rivalry?",NO
"Does the movie ""3 Idiots"" from the year 2010 depict a strong friendship between Farhan Qureshi and Raju Rastogi established in college?",YES
"In the movie ""3 Idiots"" released in 2010, did Rancho successfully help Pia and Suhas maintain their relationship?",NO
"In the movie ""3 Idiots"" released in 2010, did Rancho play a significant role in the dynamics between Pia and Suhas?",YES
"Did Chatur Ramalingam successfully conclude a business deal with Phunsukh Wangdu in the movie ""3 Idiots"" released in 2010?",NO
"Is the conclusion of a business deal between Chatur Ramalingam and Phunsukh Wangdu a significant event in the movie ""3 Idiots"" released in 2010?",YES
Did Raju's father have a heart attack after the final exams in the movie 3 Idiots released in 2010?,NO
Did Raju's father have a heart attack before the final exams in the movie 3 Idiots released in 2010?,YES
"In the movie 3 Idiots released in 2010, does the virus cause Raju to be expelled from college?",NO
"In the movie 3 Idiots released in 2010, does the virus play a role in revoking Raju's expulsion after his recovery?",YES
"Did Raju fail to get a job in the movie ""3 Idiots"" released in 2010?",NO
"Did Raju succeed in the interview and get a job in the movie ""3 Idiots"" released in 2010?",YES
"Did Rancho, Farhan, and Raju stay in Virus' house in the movie ""3 Idiots"" released in 2010?",NO
"Did Virus expel Rancho, Farhan, and Raju in the movie ""3 Idiots"" released in 2010?",YES
"Does Raju have confidence in the movie ""3 Idiots"" released in 2010?",NO
"Is Raju encouraged to gain confidence by Rancho in the movie ""3 Idiots"" released in 2010?",YES
"In the movie ""3 Idiots"" released in 2010, does Farhan have a passion for engineering?",NO
"In the movie ""3 Idiots"" released in 2010, is Farhan passionate about photography instead of engineering?",YES
"Did Pia help Raju's father during his heart attack in the movie ""3 Idiots"" released in 2010?",NO
"Did Rancho, Farhan, and Pia help save Raju's father in the movie ""3 Idiots"" released in 2010?",YES
"In the movie 3 Idiots, released in 2010, does Farhan's father agree to let him pursue photography without any objections?",NO
"In the movie 3 Idiots, released in 2010, does Farhan ultimately convince his father to support his dream of becoming a photographer?",YES
"In the movie ""3 Idiots"", released in 2010, does Raju successfully betray Rancho to avoid expulsion?",NO
"In the movie ""3 Idiots"", released in 2010, does Virus threaten to expel Raju if he does not betray Rancho?",YES
"In the movie ""3 Idiots"" released in 2010, does Rancho confess his feelings for Pia without the encouragement of his friends Farhan and Raju?",NO
"In the movie ""3 Idiots"" released in 2010, does Rancho confess his feelings for Pia with the support of his friends Farhan and Raju?",YES
"In the movie ""3 Idiots"" released in 2010, does Raju recover from his paralysis immediately after his suicide attempt?",NO
"In the movie ""3 Idiots"" released in 2010, does Raju experience paralysis following his suicide attempt?",YES
"In the movie ""3 Idiots"" released in 2010, does the virus help Raju succeed in the difficult exam?",NO
"In the movie ""3 Idiots"" released in 2010, does the virus set a difficult exam to fail Raju so he cannot claim the job?",YES
Did Rancho abandon his friends in the movie 3 Idiots released in 2010?,NO
Do Rancho's friends Farhan and Raju promise to confront their issues in the movie 3 Idiots released in 2010?,YES
"In the movie ""3 Idiots"" released in 2010, is Rancho a different person from Phunsukh Wangdu?",NO
"In the movie ""3 Idiots"" released in 2010, are Rancho and Phunsukh Wangdu revealed to be the same person in Ladakh?",YES
"In the movie ""3 Idiots"" released in 2010, does Pia confront her older sister Mona about their brother's success in engineering?",NO
"In the movie ""3 Idiots"" released in 2010, does Pia confront her older sister Mona about their brother's suicide and his desire to pursue writing instead of engineering due to their father's pressure?",YES
"In the movie ""3 Idiots"", released in 2010, does Virus hold a grudge against Rancho after the events involving the space pen?",NO
"In the movie ""3 Idiots"", released in 2010, does Virus forgive Rancho for his actions?",YES
"Does the plot of the movie ""3 Idiots"" released in 2010 indicate that Rancho took Chhote's place to get an education and earn a degree for him?",NO
"Is it true that in the movie ""3 Idiots"" released in 2010, the real Rancho informs his friends about Chhote taking his place for educational purposes?",YES
Did Farhan and Raju discover that the real Rancho was the same person they initially thought in the movie 3 Idiots released in 2010?,NO
"Do Farhan and Raju find out that their friend was actually Chhote, the son of Rancho’s family's gardener in the movie 3 Idiots released in 2010?",YES
"In the movie ""3 Idiots"" released in 2010, does Chatur successfully mock Rancho without any consequences?",NO
"In the movie ""3 Idiots"" released in 2010, does Chatur eventually realize that Rancho is actually Phunsukh Wangdu?",YES
