Question & Options,Correct Answer
"In the movie 'Son of the Mask' released in 2005, what was the reason for the significant changes in the concept of the sequel to 'The Mask'?
Options:
A. Jim Carrey's return as the title character was confirmed.
B. The original concept was too similar to the first film.
C. Jim Carrey declined to reprise his role, leading to a complete rework.
D. The sequel was never officially announced by the studio.","Jim Carrey declined to reprise his role, leading to a complete rework."
"In the context of the movie 'Son of the Mask' (2005), why did Jim Carrey decline the opportunity to star in 'The Mask II'?
Options:
A. He was busy with other projects.
B. He felt it would not challenge him as an actor.
C. He had a conflict with the production team.
D. He wanted to pursue a different genre of films.",He felt it would not challenge him as an actor.
"In the 2005 movie 'Son of the Mask', what was Lance Khazei's connection to the original film 'The Mask'?
Options:
A. He directed the sequel.
B. He was asked to write the script for a sequel.
C. He starred as the main character.
D. He produced the film.",He was asked to write the script for a sequel.
"In the movie 'Son of the Mask' released in 2005, which entertainment publication announced a contest for a sequel to the original 'The Mask' featuring Jim Carrey in 1996?
Options:
A. Game Informer
B. Nintendo Power
C. Electronic Gaming Monthly
D. PlayStation Magazine",Nintendo Power
"In the 2005 movie 'Son of the Mask', directed by Lawrence Guterman, how does he compare the differences between 'The Mask II' and the original film?
Options:
A. A) The differences are similar to the differences between Alien and Aliens.
B. B) The differences are similar to the differences between The Godfather and The Godfather Part II.
C. C) The differences are similar to the differences between Jurassic Park and Jurassic World.
D. D) The differences are similar to the differences between Toy Story and Toy Story 2.",A) The differences are similar to the differences between Alien and Aliens.
"In the context of the movie 'Son of the Mask' (2005), how did director Lawrence Guterman compare this film to 'Alien'?
Options:
A. Both films feature the same lead actor.
B. Both films have similar special effects.
C. Both films illustrate the differences between sequels and original films.
D. Both films were released in the same year.",Both films illustrate the differences between sequels and original films.
"In the movie 'Son of the Mask' (2005), how did director Lawrence Guterman compare it to 'Aliens'?
Options:
A. Both films have similar special effects.
B. Both films feature a strong female lead.
C. Both films highlight the differences between sequels and original films.
D. Both films were box office failures.",Both films highlight the differences between sequels and original films.
"In the 2005 movie 'Son of the Mask', which actors were offered the role of Tim Avery but turned it down?
Options:
A. Jack Black and Ryan Reynolds
B. Jim Carrey and Ben Stiller
C. Will Ferrell and Adam Sandler
D. Chris Pratt and Robert Downey Jr.",Jack Black and Ryan Reynolds
"In the 2005 movie 'Son of the Mask', how does the naming of the Avery family's dog relate to the original film and comic book?
Options:
A. The dog's name is inspired by a character from a Tex Avery cartoon.
B. The dog's name is a direct reference to a character named Milo.
C. The dog's name is a tribute to the director of the original film.
D. The dog's name is chosen randomly without any connections.",The dog's name is a direct reference to a character named Milo.
"In the 2005 movie 'Son of the Mask', what is Tim Avery's aspiration that connects him to the legacy of Tex Avery?
Options:
A. To become a famous actor
B. To be a successful cartoonist
C. To direct animated films
D. To write comic books",To be a successful cartoonist
"In the 2005 movie 'Son of the Mask', which animator's style influenced the animation in the film?
Options:
A. Walt Disney
B. Chuck Jones
C. Tex Avery
D. Hayao Miyazaki",Chuck Jones
"In the 2005 movie 'Son of the Mask', how much did New Line Cinema pay for the North America distribution rights?
Options:
A. $10 million
B. $20 million
C. $30 million
D. $40 million",$20 million
"In the 2005 movie 'Son of the Mask', which production company managed to work Jamie Kennedy's schedule for him to star in the film?
Options:
A. Warner Bros.
B. Universal Pictures
C. New Line Cinema
D. 20th Century Fox",New Line Cinema
"In the 2005 movie 'Son of the Mask', which character did Jamie Kennedy initially consider playing due to scheduling conflicts with his television series?
Options:
A. The Mask
B. Loki
C. Otto
D. Alvey",Loki
"In the movie 'Son of the Mask' released in 2005, what was the total budget of the film, and how was it financed in terms of international distribution?
Options:
A. $50 million from domestic sources only
B. $84 million with international partners contributing for distribution rights
C. $100 million solely from international partners
D. $75 million without any international financing",$84 million with international partners contributing for distribution rights
"In the 2005 movie 'Son of the Mask', what significant event involved the original cut of the film?
Options:
A. The original cut was screened for critics.
B. The original cut was screened for executives.
C. The original cut was leaked online.
D. The original cut was never completed.",The original cut was screened for executives.
"In the movie 'Son of the Mask' (2005), what was done to the original cut before it was screened for executives?
Options:
A. It was completely reshot.
B. Minor changes were made.
C. It was released without any edits.
D. The soundtrack was altered.",Minor changes were made.
"In the 2005 movie 'Son of the Mask', what was the approximate duration of the original cut?
Options:
A. About one hour long
B. Roughly two hours long
C. Over three hours long
D. Less than thirty minutes long",Roughly two hours long
"In the 2005 movie 'Son of the Mask', what did Kennedy claim about the revised cut of the film?
Options:
A. It was more entertaining.
B. It was more accessible.
C. It had better special effects.
D. It was shorter in length.",It was more accessible.
"In the 2005 movie 'Son of the Mask', how did Kennedy describe Guterman's attention to detail?
Options:
A. It was lacking in creativity.
B. It had 'scope and tones'.
C. It was too exaggerated.
D. It was overly simplistic.",It had 'scope and tones'.
