node_1,node_2,edge,chunk_id,count
rishi kapoor,shashi kapoor,both are members of the Kapoor family and actors in Bollywood,947f78f5b6b541859548551ab4e5aa29,4
sidharth malhotra,amarjeet kapoor,both appear to be characters in the movie's cast,947f78f5b6b541859548551ab4e5aa29,4
fawad khan,rahul kapoor,both are listed as characters in the movie's cast,947f78f5b6b541859548551ab4e5aa29,4
alia bhatt,tia malik,both are listed as characters in the movie's cast,947f78f5b6b541859548551ab4e5aa29,4
ratna pathak shah,sunita kapoor,both appear to be members of the Kapoor family and actresses in Bollywood,947f78f5b6b541859548551ab4e5aa29,4
rajat kapoor,harsh kapoor,both are listed as characters in the movie's cast,947f78f5b6b541859548551ab4e5aa29,4
anahita uberoi,neetu kapoor,both appear to be members of the Kapoor family and actresses in Bollywood,947f78f5b6b541859548551ab4e5aa29,4
riya vij,soumya parihar,both are listed as characters in the movie's cast,947f78f5b6b541859548551ab4e5aa29,4
pradeep pradhan,kishore,"both appear to be characters in the movie's cast, where Pradeep plays Kishore's role",947f78f5b6b541859548551ab4e5aa29,4
fahim shaikh,boobly,both are listed as characters in the movie's cast,947f78f5b6b541859548551ab4e5aa29,4
aalekh kapoor,sahil,both are listed as characters in the movie's cast,947f78f5b6b541859548551ab4e5aa29,4
sukant goel,wasim,both are listed as characters in the movie's cast,947f78f5b6b541859548551ab4e5aa29,4
aakriti dobhal,bunkoo,both are listed as characters in the movie's cast,947f78f5b6b541859548551ab4e5aa29,4
muskan khanna sharan,manpreet,both are listed as characters in the movie's cast,947f78f5b6b541859548551ab4e5aa29,4
elena fernandes,rahul's manager,"both appear to be characters in the movie's cast, where Elena plays Rahul's manager role",947f78f5b6b541859548551ab4e5aa29,4
arbaaz kadwani,sharic,both are listed as characters in the movie's cast,947f78f5b6b541859548551ab4e5aa29,4
arya sharma,zoey,both are listed as characters in the movie's cast,947f78f5b6b541859548551ab4e5aa29,4
burjor patel,grandpa chowksi,"both appear to be characters in the movie's cast, where Burjor plays Grandpa Chowksi role",947f78f5b6b541859548551ab4e5aa29,4
chandrajit ranavade,mr. makhija,"both appear to be characters in the movie's cast, where Chandrajit plays Mr. Makhija role",947f78f5b6b541859548551ab4e5aa29,4
ram singh,muchchhad paanwaala,"both appear to be characters in the movie's cast, where Ram plays Muchchhad Paanwaala role",947f78f5b6b541859548551ab4e5aa29,4
rupa kamath,timmy mausi,"both appear to be characters in the movie's cast, where Rupa plays Timmy Mausi role",947f78f5b6b541859548551ab4e5aa29,4
edward sonnenblick,dan,both appear to be characters in the movie's cast,947f78f5b6b541859548551ab4e5aa29,4
raju,geishu,"both appear to be characters in the movie's cast, where Raju plays Geishu role",947f78f5b6b541859548551ab4e5aa29,4
