node_1,node_2,edge,chunk_id,count
werewolves of london,warren zevon,Warren Zevon is the artist who sang the song 'Werewolves Of London'.,c4bb87aafd2d4f7584e070311431e1fc,4
driver's seat,sniff 'n' the tears,The band Sniff 'n' the Tears sang the song 'Driver's Seat'.,c4bb87aafd2d4f7584e070311431e1fc,4
tired of toein' the line,rocky burnette,Rocky Burnette sang the song 'Tired of Toein' the Line'.,c4bb87aafd2d4f7584e070311431e1fc,4
end of the world (party one more time),the placemints,The PlaceMints sang a song called 'End of the World (Party One More Time)' which features Boogieman.,c4bb87aafd2d4f7584e070311431e1fc,4
teach me how to dougie,cali swag district,The group Cali Swag District sang the song 'Teach Me How to Dougie'.,c4bb87aafd2d4f7584e070311431e1fc,4
roller,april wine,April Wine sang the song 'Roller'.,c4bb87aafd2d4f7584e070311431e1fc,4
u can't touch this,ada-nicole sanger,Ada-Nicole Sanger covered the song 'U Can't Touch This' originally sung by MC Hammer.,c4bb87aafd2d4f7584e070311431e1fc,4
dancing on top of the world (r8d!o's new swag remix),the placemints,The PlaceMints sang a remixed version of 'Dancing on Top of the World' called 'R8d!o's New Swag Remix'.,c4bb87aafd2d4f7584e070311431e1fc,4
cherry pie,warrant,The band Warrant sang the song 'Cherry Pie'.,c4bb87aafd2d4f7584e070311431e1fc,4
new song,howard jones,Howard Jones sang a song called 'New Song'.,c4bb87aafd2d4f7584e070311431e1fc,4
love plus one,haircut one hundred,The band Haircut One Hundred sang the song 'Love Plus One'.,c4bb87aafd2d4f7584e070311431e1fc,4
one in a million,the romantics,The Romantics sang the song 'One In a Million'.,c4bb87aafd2d4f7584e070311431e1fc,4
say it isn't so,the outfield,The Outfield sang the song 'Say It Isn't So'.,c4bb87aafd2d4f7584e070311431e1fc,4
bat out of hell,kevin james,Kevin James covered the song 'Bat Out of Hell' originally sung by Meat Loaf.,c4bb87aafd2d4f7584e070311431e1fc,4
dancing with myself,generation x,Generation X sang the song 'Dancing with Myself'. Billy Idol also covered this song.,c4bb87aafd2d4f7584e070311431e1fc,4
heaven,bryan adams,Bryan Adams sang the song 'Heaven'.,c4bb87aafd2d4f7584e070311431e1fc,4
never tell an angel,the stompers,The Stompers sang the song 'Never Tell an Angel'.,c4bb87aafd2d4f7584e070311431e1fc,4
bizarre love triangle,new order,New Order sang the song 'Bizarre Love Triangle'.,c4bb87aafd2d4f7584e070311431e1fc,4
centerfold,the j. geils band,The J. Geils Band sang the song 'Centerfold'.,c4bb87aafd2d4f7584e070311431e1fc,4
night time,the j. geils band,The J. Geils Band also sang a song called 'Night Time'.,c4bb87aafd2d4f7584e070311431e1fc,4
chance,van halen,"Van Halen did not sing any of the songs in this list, but they are mentioned here because their song 'Chance' is related to one of the other songs.",c4bb87aafd2d4f7584e070311431e1fc,4
chance (from van halen ii),van halen,"The song 'Chance' by Van Halen appears on their second album, titled 'Van Halen II'.",c4bb87aafd2d4f7584e070311431e1fc,4
