Question,Answer
Does the movie Secret Superstar released in 2017 depict a positive impact of the internet on the middle class?,NO
Is the story of Secret Superstar released in 2017 centered around a young character learning through YouTube videos?,YES
Did Shanno's story have no impact on the production of Secret Superstar released in 2017?,NO
Did Shanno inspire the concept for the production of Secret Superstar in 2017?,YES
"Did the movie ""Secret Superstar"" released in 2017 focus solely on the life of Shubham Jaglan without any reference to the middle class?",NO
"Does ""Secret Superstar,"" released in 2017, illustrate the impact of the internet on the middle class through its storyline?",YES
"Is Aamir Khan only acting in the movie ""Secret Superstar"" released in 2017?",NO
"Is Aamir Khan both producing and starring in the movie ""Secret Superstar"" released in 2017?",YES
"Is Zaira Wasim not playing the lead role in the movie ""Secret Superstar"" released in 2017?",NO
"Is Zaira Wasim playing the lead role in the movie ""Secret Superstar"" released in 2017?",YES
"Is Advait Chandan the producer of the movie ""Secret Superstar"" released in 2017?",NO
"Is Advait Chandan the director of the movie ""Secret Superstar"" released in 2017?",YES
"Was the movie ""Secret Superstar"" released in 2017 without any scenes shot in Vadodara?",NO
"Did the production of ""Secret Superstar"" in 2017 include filming in Mumbai?",YES
"Is the production budget of the movie ""Secret Superstar"" from 2017 unlimited?",NO
"Does the movie ""Secret Superstar"" released in 2017 have a production budget of around ₹15 crore?",YES
"Did Zaira Wasim make her debut in the movie ""Secret Superstar"" released in 2017?",NO
"Did Zaira Wasim star in the movie ""Secret Superstar"" released in 2017?",YES
"Is the production budget of the movie ""Secret Superstar"" from 2017 higher than ₹15 crore?",NO
"Is the production budget of the movie ""Secret Superstar"" from 2017 ₹15 crore (US$2.3 million)?",YES
"Did the production budget of ""Secret Superstar"" in 2017 exceed ₹45 crore (US$6.91 million)?",NO
"Is the production budget of ""Secret Superstar"" in 2017 stated as ₹45 crore (US$6.91 million)?",YES
"Did the production and marketing budget of ""Secret Superstar"" in 2017 exceed ₹25 crore?",NO
"Is the total production and marketing budget of ""Secret Superstar"" in 2017 reported as ₹25 crore (US$3.84 million)?",YES
