node_1,node_2,edge,chunk_id,count
a gentleman,"sundar, susheel, risky","The soundtrack album 'A Gentleman: Sundar, Susheel, Risky' is named after the movie it belongs to.",f49240dce1494c88930551417379e5e4,4
sachin–jigar,"a gentleman: sundar, susheel, risky","The music composers Sachin–Jigar have created the soundtrack album 'A Gentleman: Sundar, Susheel, Risky'.",f49240dce1494c88930551417379e5e4,4
t-series,"a gentleman: sundar, susheel, risky","The label T-Series has released the soundtrack album 'A Gentleman: Sundar, Susheel, Risky'.",f49240dce1494c88930551417379e5e4,4
hindi medium,"a gentleman: sundar, susheel, risky","The soundtrack album 'A Gentleman: Sundar, Susheel, Risky' was released around the same time as the soundtrack album of another Hindi movie, 'Hindi Medium'.",f49240dce1494c88930551417379e5e4,4
disco disco,"a gentleman: sundar, susheel, risky","The song 'Disco Disco' is a part of the soundtrack album 'A Gentleman: Sundar, Susheel, Risky'.",f49240dce1494c88930551417379e5e4,4
baat ban jaye,"a gentleman: sundar, susheel, risky","The song 'Baat Ban Jaye' is a part of the soundtrack album 'A Gentleman: Sundar, Susheel, Risky'.",f49240dce1494c88930551417379e5e4,4
chandalekha,"a gentleman: sundar, susheel, risky","The song 'Chandalekha' is a part of the soundtrack album 'A Gentleman: Sundar, Susheel, Risky'.",f49240dce1494c88930551417379e5e4,4
bandook meri laila,"a gentleman: sundar, susheel, risky","The song 'Bandook Meri Laila' is a part of the soundtrack album 'A Gentleman: Sundar, Susheel, Risky'.",f49240dce1494c88930551417379e5e4,4
disco disco,music,"The music of the film is composed by Sachin–Jigar. The first song, 'Disco Disco', sung by Benny Dayal and Shirley Setia, is released.",e32992befe02469d8701e3bfa8a593df,4
benny dayal,singer,Benny Dayal is a singer who sings 'Disco Disco' in the film.,e32992befe02469d8701e3bfa8a593df,4
shirley setia,singer,Shirley Setia is a singer who sings 'Disco Disco' in the film.,e32992befe02469d8701e3bfa8a593df,4
vayu,lyricist,The lyrics of 'Disco Disco' are penned by Vayu.,e32992befe02469d8701e3bfa8a593df,4
sachin–jigar,composer,"The music of the film is composed by Sachin–Jigar, including 'Disco Disco'.",e32992befe02469d8701e3bfa8a593df,4
baat ban jaye,music,"The song 'Baat Ban Jaye', sung by Siddharth Basrur and Priya Saraiya, is released from the film.",e32992befe02469d8701e3bfa8a593df,4
siddharth basrur,singer,Siddharth Basrur is a singer who sings 'Baat Ban Jaye' in the film.,e32992befe02469d8701e3bfa8a593df,4
priya saraiya,singer,Priya Saraiya is a singer who sings 'Baat Ban Jaye' in the film.,e32992befe02469d8701e3bfa8a593df,4
laagi na choote,music,"The song 'Laagi Na Choote', sung by Arijit Singh and Shreya Ghoshal, is released from the film.",e32992befe02469d8701e3bfa8a593df,4
arijit singh,singer,Arijit Singh is a singer who sings 'Laagi Na Choote' in the film.,e32992befe02469d8701e3bfa8a593df,4
shreya ghoshal,singer,Shreya Ghoshal is a singer who sings 'Laagi Na Choote' in the film.,e32992befe02469d8701e3bfa8a593df,4
chandralekha,music,"The song 'Chandralekha', sung by Vishal Dadlani and Jonita Gandhi, is released from the film.",e32992befe02469d8701e3bfa8a593df,4
vishal dadlani,singer,Vishal Dadlani is a singer who sings 'Chandralekha' in the film.,e32992befe02469d8701e3bfa8a593df,4
jonita gandhi,singer,Jonita Gandhi is a singer who sings 'Chandralekha' in the film.,e32992befe02469d8701e3bfa8a593df,4
bandook meri laila,music,"The song 'Bandook Meri Laila', sung by Ash King and Jigar Saraiya and rapped by Raftaar and Sidharth Malhotra, is released from the film.",e32992befe02469d8701e3bfa8a593df,4
ash king,singer,Ash King is a singer who sings 'Bandook Meri Laila' in the film.,e32992befe02469d8701e3bfa8a593df,4
jigar saraiya,singer,Jigar Saraiya is a singer who sings 'Bandook Meri Laila' in the film.,e32992befe02469d8701e3bfa8a593df,4
raftaar,rapper,The song 'Bandook Meri Laila' is also rapped by Raftaar and Sidharth Malhotra.,e32992befe02469d8701e3bfa8a593df,4
sidharth malhotra,rapper,The song 'Bandook Meri Laila' is also rapped by Raftaar and Sidharth Malhotra.,e32992befe02469d8701e3bfa8a593df,4
