node_1,node_2,edge,chunk_id,node_3,node_4,node_5,count
thank you,romantic comedy film,The movie Thank You is a romantic comedy film.,2d230b919cba4eed8877aaff523c388a,,,,4
akshay kumar,bobby deol,Akshay Kumar and Bobby Deol are both actors featured in the movie Thank You.,2d230b919cba4eed8877aaff523c388a,,,,4
suniel shetty,irrfan khan,Suniel Shetty and Irrfan Khan are both actors featured in the movie Thank You.,2d230b919cba4eed8877aaff523c388a,,,,4
sonam kapoor,rimi sen,"Sonam Kapoor, Rimi Sen, and Celina Jaitly are all actresses featured in the movie Thank You.",2d230b919cba4eed8877aaff523c388a,Celina Jaitly,,,4
ranjeet,mukesh tiwari,"Ranjeet, Mukesh Tiwari, Rakhee Tandon, Smita Jaykar, and Chahat Khanna are all actors who appear in supporting roles in the movie Thank You.",2d230b919cba4eed8877aaff523c388a,Rakhee Tandon,Smita Jaykar,Chahat Khanna,4
mallika sherawat,vidya balan,Mallika Sherawat and Vidya Balan both make special appearances in the movie Thank You.,2d230b919cba4eed8877aaff523c388a,,,,4
anees bazmee,writer,Anees Bazmee is both the writer and director of the movie Thank You.,2d230b919cba4eed8877aaff523c388a,director,,,4
indiagames,mobile video game,Indiagames released a mobile video game based on the film Thank You.,2d230b919cba4eed8877aaff523c388a,,,,4
raj malhotra,vikram chopra,"Raj Malhotra, Vikram Chopra, and Yogi Mathur are all characters in the movie Thank You who are married to Sanjana, Shivani, and Maya respectively.",2d230b919cba4eed8877aaff523c388a,Yogi Mathur,,,4
sanjana,shivani,"Sanjana, Shivani, and Maya are all wives of Raj Malhotra, Vikram Chopra, and Yogi Mathur respectively.",2d230b919cba4eed8877aaff523c388a,Maya,,,4
"vancouver, british columbia","toronto, ontario","Most of the scenes in this film were shot in Vancouver, British Columbia, and Toronto, Ontario in Canada.",2d230b919cba4eed8877aaff523c388a,,,,4
toronto,canada,location where the three men reside and carry out their infidelities,2daab2066e0c45d8b6156df209a8faf1,,,,4
yogi,maya,"husband and wife who are both unfaithful, but Maya's secret friend spying on Yogi adds an additional layer of infidelity in their relationship",2daab2066e0c45d8b6156df209a8faf1,,,,4
raj,maya,husband and wife who engage in flirtatious behavior with other women but are not caught due to Raj's secret friend spying on Maya,2daab2066e0c45d8b6156df209a8faf1,,,,4
vikram,maya,husband and wife who engage in flirtatious behavior with other women but are not caught due to Raj's secret friend spying on Maya,2daab2066e0c45d8b6156df209a8faf1,,,,4
sanjana,raj,woman that Raj cheats on his wife Maya with,2daab2066e0c45d8b6156df209a8faf1,,,,4
shivani,maya,friend of Maya who is also a part of the group of cheating wives,2daab2066e0c45d8b6156df209a8faf1,,,,4
kishan khurana,maya,detective hired by Sanjana's friends to expose Raj but eventually gets involved in a double game due to his crush on Sanjana,2daab2066e0c45d8b6156df209a8faf1,,,,4
kd,raj and vikram,friend and Canadian Security Intelligence Service agent who suggests hiring a private detective for the trivial matter of infidelity,2daab2066e0c45d8b6156df209a8faf1,,,,4
kishan,"dynamic, handsome man",relationship between Kishan and the description of a man in this context is that he embodies these qualities,b3fe28b5fa774a6f845c6eef11134496,,,,4
shivani,vikram,relationship between Shivani and Vikram as they are being thrown out of the house due to Shivani's plan with Kishan's help,b3fe28b5fa774a6f845c6eef11134496,,,,4
kishan,shivani,relationship between Kishan and Shivani as he helps her in throwing out Vikram from the house,b3fe28b5fa774a6f845c6eef11134496,,,,4
kishan,raj,relationship between Kishan and Raj as Kishan convinces him to sign 'bank account' papers during his troubled state,b3fe28b5fa774a6f845c6eef11134496,,,,4
sanjana,kishan,relationship between Sanjana and Kishan as he poses as her boyfriend in this context,b3fe28b5fa774a6f845c6eef11134496,,,,4
shivani,maya,relationship between Shivani and Maya as they both have Kishan as their 'friend' in this context,b3fe28b5fa774a6f845c6eef11134496,,,,4
