Question & Options,Correct Answer
"Who did Raj fall in love with at first sight and later marry?
Options:
A. Voice Mobiles
B. Priya Saxena
C. Product Engineering
D. Mobile Technology",Priya Saxena
"What event was Raj expecting to happen two years after he and Priya moved into their own bungalow?
Options:
A. A new product launch
B. A promotion to CEO
C. A company merger
D. A relocation to another city",A promotion to CEO
"Who did Raj fall in love with at first sight and later marry?
Options:
A. Sonia
B. Priya Saxena
C. Anjali
D. Nisha",Priya Saxena
"What significant event was Raj and Priya expecting in their lives two years after moving into their own bungalow?
Options:
A. Sonia's advances
B. Raj's promotion to CEO
C. Raj's marriage
D. Priya's job offer",Raj's promotion to CEO
"Who is the younger wife of Ranjit Roy in the movie Aitraaz?
Options:
A. Sonia
B. Priya Saxena
C. Barrister Ram Chotrani
D. Raj Malhotra",Sonia
"Who was appointed as the new CEO by Ranjit?
Options:
A. Ranjit Roy
B. Rakesh
C. Sonia
D. Barrister Ram Chotrani",Rakesh
"Who was appointed as the new CEO to help prevent the downfall of the company?
Options:
A. Ranjit Roy
B. Rakesh
C. Raj
D. Anjali",Rakesh
"Who is accused of sexual harassment and attempted rape in the movie *Aitraaz*?
Options:
A. raj
B. sonia
C. raj malhotra
D. none of the above",raj malhotra
"What did Sonia falsely accuse Raj of in relation to their new mobile handset?
Options:
A. Causing defects in their new mobile handset
B. Stealing the mobile handset
C. Selling the mobile handset
D. Breaking the mobile handset",Causing defects in their new mobile handset
"What significant life event does Sonia seek to rekindle with Raj after her marriage to Ranjit fails to satisfy her?
Options:
A. Divorce
B. Marriage
C. Friendship
D. Career",Marriage
"What term describes the actions that reveal Sonia's deceit in the context of the accusations against Raj?
Options:
A. Deceit
B. Manipulations
C. Truth
D. Justice",Manipulations
"What tragic action does Sonia take after accusing Raj of sexual harassment and attempted rape?
Options:
A. She seeks legal counsel
B. She confronts Raj
C. She commits suicide
D. She leaves the city",She commits suicide
"Who is involved in a confrontation that reveals Sonia's manipulations and her affair in the movie 'Aitraaz'?
Options:
A. Priya
B. Sonia
C. Raj Malhotra
D. Rakesh",Priya
"What issue does Sonia falsely accuse Raj of causing in relation to their new mobile handset?
Options:
A. Priya
B. Sonia
C. Defect in their new mobile handset
D. Raj",Defect in their new mobile handset
"What is the primary motivation behind Sonia's marriage to Ranjit in the context of her relationship with Raj?
Options:
A. Love and affection
B. Money and power
C. Family obligation
D. Social status",Money and power
"Who is exposed for manipulations through a voicemail played by Rakesh?
Options:
A. Priya
B. Sonia
C. Raj
D. Rakesh",Sonia
"What tragic event occurs as a result of Sonia's guilt after being confronted about her manipulations?
Options:
A. Priya
B. Sonia
C. Raj
D. Rakesh",Sonia
"Who accused Raj of sexual harassment and attempted rape in the context of the company's downfall?
Options:
A. Ranjit
B. Raj
C. Sonia
D. Vikram",Sonia
"What was the reason for Ranjit demanding Raj's resignation to avoid the downfall of the company?
Options:
A. Raj's business acumen
B. Raj's affair with Sonia
C. Ranjit's leadership skills
D. Sonia's popularity",Raj's affair with Sonia
"Who is the newborn that Raj and Priya welcomed after overcoming their turbulent past?
Options:
A. Ranjit
B. Raj
C. Child
D. Priya",Child
"In the context of a legal case involving accusations of sexual harassment, who is likely to face skepticism from society according to the narrative?
Options:
A. Raj
B. Sonia
C. The judge
D. The lawyer",Raj
"What is a significant consequence Raj fears regarding his case against Sonia due to societal perceptions?
Options:
A. He will be believed
B. He will win the case
C. Society will not believe him
D. He will gain power",Society will not believe him
