node_1,node_2,edge
the love guru,mike myers,"The character The Love Guru was created by Mike Myers in the mid-1990s for the Austin Powers franchise, but was later developed into a standalone film."
guru pitka,the love guru,"In the context provided, it can be inferred that Guru Pitka is another name or alias for The Love Guru, as both terms were used interchangeably by Mike Myers during his live shows."
toronto maple leafs,the love guru,"Mike Myers, who wrote and starred in The Love Guru, described the film's plot as wish fulfillment, stating that he believed the only way his favorite hockey team, the Toronto Maple Leafs, would win a championship was if he wrote it."
marco schnabel,the love guru,First-time director Marco Schnabel worked with Mike Myers on the second unit of Austin Powers in Goldmember and subsequently directed The Love Guru.
john oliver,the love guru,"John Oliver made his feature film debut in The Love Guru because Mike Myers, who enjoyed his work on The Daily Show, cast him in the movie."
samantha bee,the love guru,Samantha Bee filmed a cameo for The Love Guru but only made a silent appearance in the final product.
mike myers,the character of guru pitka,"Mike Myers created the character of Guru Pitka for both the Austin Powers franchise and as a standalone film, The Love Guru."
comedy clubs,guru pitka,"Mike Myers workshopped the character of Guru Pitka in New York comedy clubs during 2005, videotaping the performances to inform his portrayal of the character."
the love guru,myers,"Myers played the lead role of 'Hugo Ballantyne', also known as 'The Love Guru', in the comedy film The Love Guru. This was made possible due to Myers' enjoyment of The Daily Show."
samantha bee,the love guru,"Samantha Bee filmed a cameo in The Love Guru, but her character only appears silently in the final cut of the film."
