node_1,node_2,edge,chunk_id,count
street fighter: the legend of chun-li,video game series produced by capcom,based upon the Street Fighter video game series produced by Capcom,a474c48fcbda48c2a9ae4d2f212028eb,4
chun-li,street fighter character,Street Fighter character Chun-Li,a474c48fcbda48c2a9ae4d2f212028eb,4
kristin kreuk,chun-li,played by Kristin Kreuk,a474c48fcbda48c2a9ae4d2f212028eb,4
street fighter: the legend of chun-li,non-canonical spin-off and theatrical tie-in to street fighter iv,a non-canonical spin-off and theatrical tie-in to Street Fighter IV,a474c48fcbda48c2a9ae4d2f212028eb,4
charlie nash,co-star,co-stars Chris Klein as Charlie Nash,a474c48fcbda48c2a9ae4d2f212028eb,4
m. bison,neal mcdonough,played by Neal McDonough as M. Bison,a474c48fcbda48c2a9ae4d2f212028eb,4
balrog,michael clarke duncan,portrayed by Michael Clarke Duncan as Balrog,a474c48fcbda48c2a9ae4d2f212028eb,4
vega,taboo,played by Black Eyed Peas member Taboo as Vega,a474c48fcbda48c2a9ae4d2f212028eb,4
capcom,producer,produced by Capcom and Hyde Park Entertainment,a474c48fcbda48c2a9ae4d2f212028eb,4
keiji inafune,executive producer,with Keiji Inafune (better known for his work on the Mega Man franchise) as an executive producer,a474c48fcbda48c2a9ae4d2f212028eb,4
street fighter: the legend of chun-li,"february 27, 2009","released on February 27, 2009, by 20th Century Fox,",a474c48fcbda48c2a9ae4d2f212028eb,4
street fighter: the legend of chun-li,legendary entertainment,A new Street Fighter film is in the works at Legendary Entertainment for a 2026 release.,a474c48fcbda48c2a9ae4d2f212028eb,4
chun-li,san francisco,Moves from San Francisco to Hong Kong with her family.,6e3cf66f68d046a5ae17e2c9b8a72510,4
chun-li,hong kong,Lives in Hong Kong with her family.,6e3cf66f68d046a5ae17e2c9b8a72510,4
xiang,chun-li,Father of Chun-Li who teaches her wushu.,6e3cf66f68d046a5ae17e2c9b8a72510,4
shadaloo,chun-li's family,"Attacks Chun-Li's family, abducting Xiang in front of Chun-Li.",6e3cf66f68d046a5ae17e2c9b8a72510,4
shadaloo,chun-li's mother,"Attacks Chun-Li's family, with her mother dying from cancer as a result.",6e3cf66f68d046a5ae17e2c9b8a72510,4
m. bison,shadaloo,Complete control of Shadaloo announced by M. Bison before executing other shareholders.,6e3cf66f68d046a5ae17e2c9b8a72510,4
chun-li,ancient chinese scroll,Receives a mysterious scroll written in ancient Chinese.,6e3cf66f68d046a5ae17e2c9b8a72510,4
chun-li,gen,"In Hong Kong, an elderly woman translates Chun-Li's scroll and tells her to travel to Bangkok and find a man named Gen. Living homeless, she searches for Gen for several days. A fight with local gangsters one night leaves her unconscious, and Gen appears and takes her to his home. Gen tells Chun-Li that he was once a comrade of Bison, and knows how to find her father.",0ece359928694227aa1f28050c875e76,4
chun-li,bison,"For the next few days, Gen teaches Chun-Li his style of martial arts. Chun-Li also learns more about Bison, who is operating Shadaloo publicly.",0ece359928694227aa1f28050c875e76,4
balrog,bison,"Chun-Li overhears a property owner being asked to hand over the rights to a docking harbor, allowing the shipment of the 'White Rose'",0ece359928694227aa1f28050c875e76,4
