Question & Options,Correct Answer
"Who is kidnapped by Burke at Turnbull's orders in relation to Hex?
Options:
A. Jeb
B. Quentin Turnbull
C. Lilah
D. The Crow people",Lilah
"What is the relationship between Lilah and Grass during the final battle?
Options:
A. They are enemies
B. They are allies
C. They are unrelated
D. They are in love",They are allies
"Who sarcastically suggests that Hex ask his dead friend Jeb about Turnbull's location?
Options:
A. Quentin Turnbull
B. Burke
C. Jeb
D. Slocum",Slocum
"Who is the enemy of Hex that he fights against in multiple instances?
Options:
A. Jeb
B. Turnbull
C. Hex
D. Quentin",Turnbull
"Who is aware of Turnbull's plan to attack the U.S. with a weapon?
Options:
A. Quentin Turnbull
B. Hex
C. Jeb
D. President Ulysses S. Grant",President Ulysses S. Grant
"What was being transported on the train that Turnbull's gang hijacked?
Options:
A. Gold bars
B. Experimental weapon components
C. Military supplies
D. Civilians",Experimental weapon components
"Who is held captive by Quentin Turnbull in the movie?
Options:
A. Jeb
B. Hex
C. Turnbull
D. Lilah",Lilah
"What does Quentin Turnbull possess that he conducts a test with in a small town in Georgia?
Options:
A. A pistol
B. A bomb
C. A weapon
D. A vehicle",C) A weapon
"What does Turnbull attempt to use against Hex in *Jonah Hex*?
Options:
A. A pistol
B. A knife
C. A weapon
D. A bomb",C) A weapon
"Who is the character that Hex is forced to kill after refusing an order from Quentin Turnbull?
Options:
A. Lilah
B. Quentin Turnbull
C. Jeb
D. Hex",Jeb
"Who realizes that Turnbull is planning to attack the U.S.?
Options:
A. Jeb
B. Hex
C. Quentin Turnbull
D. President Ulysses S. Grant",President Ulysses S. Grant
"What did Turnbull's gang hijack that was related to Eli Whitney?
Options:
A. A train carrying gold
B. A train carrying weapons
C. A train carrying components of an experimental weapon
D. A train carrying passengers",A train carrying components of an experimental weapon
"Who is held captive by Quentin Turnbull in the movie?
Options:
A. Jeb
B. Hex
C. Lilah
D. Turnbull",Lilah
"What does Quentin Turnbull possess that he conducts a test on in a small town in Georgia?
Options:
A. A horse
B. A pistol
C. A weapon
D. A map",A weapon
"What happens to Turnbull when he attempts to use the weapon against Hex?
Options:
A. He successfully captures Hex.
B. He kills Hex instantly.
C. The weapon backfires and kills him.
D. He escapes with the weapon.",The weapon backfires and kills him.
"Who is the prostitute that Hex encounters in the brothel after being healed by the Crow people?
Options:
A. Jeb
B. Quentin Turnbull
C. Lilah
D. Turnbull",Lilah
"Who sarcastically suggests that Hex ask his dead friend Jeb about Turnbull's location?
Options:
A. Quentin Turnbull
B. Jeb
C. Hex
D. Slocum",Slocum
"What is the nature of the relationship between Hex and Turnbull?
Options:
A. They are allies
B. They are family
C. They have an enemy relationship
D. They are business partners",They have an enemy relationship
"What does Hex use to jam the weapon before confronting Turnbull?
Options:
A. A hatchet
B. A knife
C. A rock
D. A rope",A hatchet
"Who is the character that engages in a fight with Hex after he refuses an order?
Options:
A. Jeb
B. Lilah
C. Quentin Turnbull
D. Hex",Quentin Turnbull
