Question,Answer,LLAMA_response
"[""Was the character Captain Jack Sparrow in the 2003 movie 'Pirates of the Caribbean: The Curse of the Black Pearl' played by an actor other than Johnny Depp?""]",no,yes
"[""Did Johnny Depp play the role of Captain Jack Sparrow in the 2003 movie 'Pirates of the Caribbean: The Curse of the Black Pearl'?""]",yes,yes
"[""Was the character Captain Barbossa in the 2003 movie 'Pirates of the Caribbean The Curse of the Black Pearl' portrayed by an actor other than Geoffrey Rush?""]",no,yes
"[""Was Geoffrey Rush the actor who portrayed the character of Captain Barbossa in the 2003 movie 'Pirates of the Caribbean The Curse of the Black Pearl'?""]",yes,yes
"""Did Orlando Bloom play the role of Jack Sparrow in the 2003 movie 'Pirates of the Caribbean: The Curse of the Black Pearl'?""",no,yes
"""In the 2003 movie 'Pirates of the Caribbean: The Curse of the Black Pearl', did Orlando Bloom play the role of Will Turner?""",yes,yes
"[""Was Keira Knightley not part of the cast in the 2003 movie 'Pirates of the Caribbean: The Curse of the Black Pearl'?""]",no,yes
"[""Did Keira Knightley play the character Elizabeth Swann in the 2003 movie 'Pirates of the Caribbean: The Curse of the Black Pearl'?""]",yes,yes
"[""Was the character Norrington in the 2003 movie 'Pirates of the Caribbean: The Curse of the Black Pearl' portrayed by an actor named Jack Davenport?""]",yes,yes
"[""In the 2003 movie 'Pirates of the Caribbean: The Curse of the Black Pearl', was the character Norrington portrayed by Johnny Depp?""]",no,yes
"""In the 2003 movie 'Pirates of the Caribbean: The Curse of the Black Pearl', was the character Joshamee Gibbs played by an actor named Kevin R. McNally?""",yes,yes
"""Did the actor Kevin R. McNally not play any role in the 2003 movie 'Pirates of the Caribbean: The Curse of the Black Pearl'?""",no,yes
"[""Was the character Anamaria in the 2003 movie 'Pirates of the Caribbean: The Curse of the Black Pearl' portrayed by an actress other than Zoe Saldana?""]",no,yes
"[""Is Zoe Saldana the actress who portrayed the character Anamaria in the 2003 movie 'Pirates of the Caribbean: The Curse of the Black Pearl'?""]",yes,yes
"[""Was the character Governor Weatherby Swann in the 2003 movie 'Pirates of the Caribbean: The Curse of the Black Pearl' played by an actor other than Jonathan Pryce?""]",no,yes
"[""Did Jonathan Pryce play the character Governor Weatherby Swann in the 2003 movie 'Pirates of the Caribbean: The Curse of the Black Pearl'?""]",yes,yes
,,0.5
