Question & Options,Correct Answer
"In the movie 'Dil Chahta Hai', released in 2001, which character is portrayed by Aamir Khan?
Options:
A. Akash Malhotra
B. Sameer
C. Aditi
D. Shalini",Akash Malhotra
"In the 2001 movie 'Dil Chahta Hai', which character is portrayed by Saif Ali Khan?
Options:
A. Sameer Mulchandani
B. Aakash Malhotra
C. Shalini
D. Vikram",Sameer Mulchandani
"In the 2001 movie 'Dil Chahta Hai', which character is portrayed by Akshaye Khanna?
Options:
A. Siddharth 'Sid' Sinha
B. Aamir
C. Sameer
D. Vikram",Siddharth 'Sid' Sinha
"In the 2001 film 'Dil Chahta Hai', which character is portrayed by Preity Zinta?
Options:
A. Aditi
B. Shalini
C. Sameer
D. Akash",Shalini
"In the 2001 movie 'Dil Chahta Hai', which character is portrayed by Sonali Kulkarni?
Options:
A. Pooja
B. Aakash
C. Sameer
D. Shalini",Pooja
"In the movie 'Dil Chahta Hai' released in 2001, which character is portrayed by Dimple Kapadia?
Options:
A. Tara Jaiswal
B. Aakash
C. Sameer
D. Shalini",Tara Jaiswal
"In the 2001 movie 'Dil Chahta Hai', which character is portrayed by Samantha Tremayne?
Options:
A. Deepa
B. Aakash
C. Sameer
D. Siddharth",Deepa
"In the 2001 film 'Dil Chahta Hai', which character is portrayed by Ayub Khan?
Options:
A. Aamir
B. Rohit
C. Sameer
D. Vikram",Rohit
"In the 2001 movie 'Dil Chahta Hai', which character is portrayed by Rajat Kapoor?
Options:
A. Aamir
B. Mahesh
C. Sameer
D. Akash",Mahesh
"In the 2001 film 'Dil Chahta Hai', which character is portrayed by Suchitra Pillai?
Options:
A. Priya
B. Aakash
C. Sameer
D. Sid",Priya
"In the 2001 film 'Dil Chahta Hai', which character is portrayed by Suhasini Mulay?
Options:
A. A. Nandini Sinha
B. B. Aamir Khan
C. C. Sameer
D. D. Akash",A. Nandini Sinha
"In the movie 'Dil Chahta Hai' (2001), what role does Bomi Doctor play?
Options:
A. He plays Sameer's father, A. R. Mulchandani
B. He plays a friend of the main characters
C. He plays a romantic interest
D. He is the antagonist","He plays Sameer's father, A. R. Mulchandani"
"In the movie 'Dil Chahta Hai' (2001), which character is portrayed by Anjula Bedi?
Options:
A. Mrs. Malhotra
B. Mrs. Mulchandani
C. Mrs. Kapoor
D. Mrs. Sharma",Mrs. Mulchandani
"In the 2001 film 'Dil Chahta Hai', which character is portrayed by Yusuf Hussain?
Options:
A. Naresh
B. Aakash
C. Sameer
D. Shalini",Naresh
"In the 2001 movie 'Dil Chahta Hai', which character is portrayed by Ahmed Khan?
Options:
A. A. K. Malhotra
B. Akash
C. Sameer
D. Sid",A. K. Malhotra
"In the 2001 movie 'Dil Chahta Hai', who provides the voice for Ajay, Tara's ex-husband?
Options:
A. Rajendranath Zutshi
B. Aamir Khan
C. Saif Ali Khan
D. Akshaye Khanna",Rajendranath Zutshi
"In the movie 'Dil Chahta Hai', released in 2001, which character is portrayed by Rakesh Pandey?
Options:
A. Rohit
B. Balwant
C. Sameer
D. Aakash",Balwant
