Question,Answer
"[""Did Adam Sandler not portray the character of Jack Sadelstein in the 2011 movie 'Jack and Jill'?""]",no
"[""Did Adam Sandler portray the character of Jack Sadelstein in the 2011 movie 'Jack and Jill'?""]",yes
"[""Did Katie Holmes not play the role of Erin Sadelstein in the 2011 movie 'Jack and Jill'?""]",no
"[""Did Katie Holmes play the role of Erin Sadelstein in the 2011 movie 'Jack and Jill'?""]",yes
"[""In the 2011 movie 'Jack and Jill', are the characters Jack Sadelstein and Jill Sadelstein unrelated strangers?""]",no
"[""Are the characters Jack Sadelstein and Jill Sadelstein fraternal twins in the 2011 movie 'Jack and Jill'?""]",yes
"[""Did Eugenio Derbez play the role of Felipe in the 2011 movie 'Jack and Jill'?""]",yes
"[""Did Eugenio Derbez portray a character other than Felipe in the 2011 movie 'Jack and Jill'?""]",no
"[""In the 2011 movie 'Jack and Jill', is Juangelina not related to Felipe?""]",no
"[""Is Juangelina Felipe's grandmother in the 2011 movie 'Jack and Jill'?""]",yes
"""Did Al Pacino not appear as himself in the 2011 movie 'Jack and Jill'?""",no
"""Did Al Pacino appear as himself in the 2011 movie 'Jack and Jill'?""",yes
"""Did Tim Meadows play the role of a character named Ted in the 2011 movie, Jack and Jill?""",yes
"""In the 2011 film Jack and Jill, did Tim Meadows play the role of a character named Jack?""",no
"""Did Santiago Segura portray the character of Eduardo in the movie 'Jack and Jill' released in 2011?""",yes
"""In the 2011 movie 'Jack and Jill', was the character of Eduardo played by an actor other than Santiago Segura?""",no
"""In the 2011 movie 'Jack and Jill', did Nick Swardson play a character named Jack?""",no
"""Did Nick Swardson play the role of Todd in the 2011 movie 'Jack and Jill'?""",yes
"""In the 2011 movie 'Jack and Jill', was the character of Otto played by an actor other than Allen Covert?""",no
"""Does Allen Covert portray the character of Otto, a homeless man who attends Jack's Thanksgiving dinner, in the 2011 movie 'Jack and Jill'?""",yes
"[""In the 2011 movie 'Jack and Jill', is the character of Gary Sadelstein portrayed by an actor other than Rohan Chand?""]",no
"[""In 'Jack and Jill', released in 2011, does Rohan Chand play the role of Gary Sadelstein, the adoptive son of Jack and Erin?""]",yes
"""In the 2011 movie 'Jack and Jill', did Elodie Tougne play the role of Jack and Erin's adopted daughter, Sofia Sadelstein?""",no
"""In the film 'Jack and Jill' released in 2011, is Sofia Sadelstein, the biological daughter of Jack and Erin, portrayed by Elodie Tougne?""",yes
"[""Did Geoff Pierson not portray the character of Carter Simmons in the 2011 movie 'Jack and Jill'?""]",no
"[""In the 2011 movie 'Jack and Jill', does Geoff Pierson portray the character of Carter Simmons?""]",yes
"[""Did Valerie Mahaffey play the role of Bitsy Simmons in the 2011 movie, Jack and Jill?""]",yes
