Question,Answer
Did A. R. Rahman compose the soundtrack for the movie Black released in 2005?,NO
Did Monty Sharma replace A. R. Rahman as the composer for the movie Black released in 2005?,YES
"Is the song ""Haan Maine Chukar Dekha Hai"" the only lyrics-contained song in the soundtrack of the movie Black released in 2005?",NO
"Is the soundtrack of the movie Black released in 2005 known for its song ""Haan Maine Chukar Dekha Hai"" written by Prasoon Joshi and performed by Gayatri Iyer?",YES
Did Monty Sharma win the Best Background Score trophy at the 51st Filmfare Awards for his work on any movie other than Black in 2005?,NO
Did Monty Sharma win the Best Background Score trophy at the 51st Filmfare Awards for his work on Black in 2005?,YES
Did Monty Sharma lose the IIFA Award for his work on the movie Black in 2005?,NO
Did Monty Sharma win the IIFA Award for his work on the movie Black in 2005?,YES
"Did Monty Sharma lose the Screen Award for his work on ""Black"" in 2005?",NO
"Did Monty Sharma win the Screen Award for his work on ""Black"" in 2005?",YES
Did Monty Sharma lose the Zee Cine Award for his work on the movie Black in 2005?,NO
Did Monty Sharma win the Zee Cine Award for his work on the movie Black in 2005?,YES
