Question & Options,Correct Answer
"In the movie 'Fantasy Island' (2020), which of the following statements about Michael Peña's character are true?
Options:
A. A. Michael Peña plays the character Mr. Roarke.
B. B. Mr. Roarke is a supporting character in the film.
C. C. Michael Peña is the lead actor in 'Fantasy Island'.
D. D. Mr. Roarke is the main antagonist of the story.","A, C"
"In the 2020 movie 'Fantasy Island', which of the following statements about the characters are true?
Options:
A. Maggie Q plays the role of Gwen Olsen.
B. Gwen Olsen is a character portrayed by Lucy Hale.
C. Maggie Q is a main character in 'Fantasy Island'.
D. Gwen Olsen is a supporting character in 'Fantasy Island'.","Maggie Q plays the role of Gwen Olsen., Maggie Q is a main character in 'Fantasy Island'."
"In the movie 'Fantasy Island' (2020), which of the following statements about the cast are true?
Options:
A. Lucy Hale played the role of Melanie Cole.
B. Melanie Cole is a character created by Lucy Hale.
C. Lucy Hale portrayed a character named Melanie Cole.
D. Melanie Cole is the main character in 'Fantasy Island'.","Lucy Hale played the role of Melanie Cole., Lucy Hale portrayed a character named Melanie Cole."
"In the 2020 movie 'Fantasy Island', which of the following statements are true regarding the character Patrick Sullivan played by Austin Stowell?
Options:
A. Austin Stowell portrays Patrick Sullivan.
B. Patrick Sullivan is a central character in the movie.
C. Austin Stowell is known for his role in a different genre.
D. Patrick Sullivan has a significant impact on the plot.","Austin Stowell portrays Patrick Sullivan., Patrick Sullivan is a central character in the movie., Patrick Sullivan has a significant impact on the plot."
"In the movie 'Fantasy Island' released in 2020, which of the following statements about the characters are true?
Options:
A. A. Jimmy O. Yang plays the character Brax Weaver.
B. B. Brax Weaver is a significant character in the film.
C. C. Jimmy O. Yang is not part of the cast.
D. D. Brax Weaver is also known as Tattoo.","A, B, D"
"In the movie 'Fantasy Island' (2020), which of the following statements about the cast are true?
Options:
A. Ryan Hansen plays the role of J. D. Weaver.
B. J. D. Weaver is portrayed by Michael Peña.
C. Ryan Hansen is a character in 'Fantasy Island'.
D. J. D. Weaver is a supporting character in the film.","Ryan Hansen plays the role of J. D. Weaver., Ryan Hansen is a character in 'Fantasy Island'."
"Which of the following statements are true regarding the characters Portia Doubleday and Sloane Maddison in the movie 'Fantasy Island' (2020)?
Options:
A. Portia Doubleday plays the role of Sloane Maddison.
B. Sloane Maddison is a character portrayed by Portia Doubleday.
C. Portia Doubleday is not involved in the film 'Fantasy Island'.
D. Sloane Maddison is a lead character in 'Fantasy Island'.","Portia Doubleday plays the role of Sloane Maddison., Sloane Maddison is a character portrayed by Portia Doubleday., Sloane Maddison is a lead character in 'Fantasy Island'."
"In the movie 'Fantasy Island' (2020), which of the following statements about Michael Rooker's character are true?
Options:
A. A. Michael Rooker plays the character Damon Supporting.
B. B. Damon Supporting is the main antagonist of the film.
C. C. Michael Rooker is known for his role in 'The Walking Dead'.
D. D. Damon Supporting has a significant impact on the film's plot.","A, C, D"
"Which of the following statements are true regarding the cast of the movie 'Fantasy Island' released in 2020?
Options:
A. A. Parisa Fitz-Henley plays the character Julia Roarke.
B. B. Julia Roarke is portrayed by another actress.
C. C. Parisa Fitz-Henley is part of the main cast.
D. D. Julia Roarke is a pivotal character in the film.","A, C, D"
"In the 2020 movie 'Fantasy Island', which of the following statements about Mike Vogel's character are true?
Options:
A. A: Mike Vogel plays the role of Lieutenant Sullivan.
B. B: Lieutenant Sullivan is a main character in the film.
C. C: Mike Vogel is known for his role as a villain in this movie.
D. D: Lieutenant Sullivan is involved in the central plot of 'Fantasy Island'.","A, B, D"
"In the 2020 movie 'Fantasy Island', which of the following statements about the cast are true?
Options:
A. A: Evan Evagora plays the character Nick Taylor.
B. B: Nick Taylor is portrayed by a different actor.
C. C: Evan Evagora is part of the main cast.
D. D: Nick Taylor is a supporting character in the film.","A, C"
"In the 2020 movie 'Fantasy Island', which of the following statements about the character Allen Chambers, played by Robbie Jones, are true?
Options:
A. Robbie Jones plays the character of Allen Chambers.
B. Allen Chambers is the main antagonist of the film.
C. Robbie Jones is known for his role in a different genre of movies.
D. The character Allen Chambers has a significant role in the plot.","Robbie Jones plays the character of Allen Chambers., The character Allen Chambers has a significant role in the plot."
"In the 2020 movie 'Fantasy Island', which of the following statements about Kim Coates and his character are true?
Options:
A. A. Kim Coates plays the role of Devil Face.
B. B. Devil Face is a heroic character in the movie.
C. C. Kim Coates is known for his role in 'Sons of Anarchy'.
D. D. Devil Face is a villainous character in the movie.","A, C, D"
"In the 2020 movie 'Fantasy Island', which of the following statements are true regarding the character Dr. Torture?
Options:
A. A) Ian Roberts plays the character Dr. Torture.
B. B) Dr. Torture is a heroic figure in the film.
C. C) Ian Roberts is known for his comedic roles.
D. D) Dr. Torture is a villainous character.","A, D"
"In the movie 'Fantasy Island' (2020), which of the following statements about the cast are true?
Options:
A. A) Charlotte McKinney plays the character Chastity.
B. B) Chastity is a character who appears in the movie.
C. C) Charlotte McKinney is not part of the cast.
D. D) The character Chastity is portrayed by Charlotte McKinney.","A) Charlotte McKinney plays the character Chastity., B) Chastity is a character who appears in the movie., D) The character Chastity is portrayed by Charlotte McKinney."
