Question,Answer
"Is ""The Last Days of American Crime 2020"" a romantic comedy?",no
"Is ""The Last Days of American Crime 2020"" an action thriller film?",yes
"Is ""The Last Days of American Crime 2020"" a comedy movie?",no
"Is ""The Last Days of American Crime 2020"" an American action thriller film?",yes
"Is ""The Last Days of American Crime 2020"" a romantic comedy?",no
"Is ""The Last Days of American Crime 2020"" based on a 2009 comic of the same name?",yes
"Is ""The Last Days of American Crime 2020"" a romantic comedy starring Édgar Ramírez?",no
"Did Édgar Ramírez star in the 2020 American action thriller ""The Last Days of American Crime""?",yes
"Is Anna Brewster not a part of the cast in ""The Last Days of American Crime 2020""?",no
"Does Anna Brewster star in the movie ""The Last Days of American Crime 2020""?",yes
"Is Michael Pitt not involved in the movie ""The Last Days of American Crime 2020""?",no
"Does Michael Pitt star in the movie ""The Last Days of American Crime 2020""?",yes
"Is Patrick Bergin not a part of the cast in ""The Last Days of American Crime 2020""?",no
"Does Patrick Bergin star in the movie ""The Last Days of American Crime 2020""?",yes
"Is Sharlto Copley not a part of the movie ""The Last Days of American Crime 2020""?",no
"Does Sharlto Copley star in the 2020 American action thriller film ""The Last Days of American Crime""?",yes
"[""Is Rory not part of Bricke's crew in the movie 'The Last Days of American Crime 2020'?""]",no
"[""Does Bricke's crew in the movie 'The Last Days of American Crime 2020' include his brother Rory?""]",yes
"""In 'The Last Days of American Crime 2020', did Bricke use the stolen money to buy a new house?""",no
"""In 'The Last Days of American Crime 2020', did Bricke save the stolen money to escape to Canada?""",yes
"""In the movie 'The Last Days of American Crime 2020', did the Dumois syndicate use a different crew other than Graham Bricke’s, including Johnny Dee and Rory, to test the API signal in prison?""",no
"""In the movie 'The Last Days of American Crime 2020', did the Dumois syndicate use Graham Bricke’s crew, including Johnny Dee and Rory, to test the API signal in prison?""",yes
"Is Shelby Dupree's fiancé someone other than Kevin Cash in the movie ""The Last Days of American Crime 2020""?",no
"Is Kevin Cash Shelby Dupree's fiancé in the movie ""The Last Days of American Crime 2020""?",yes
"Is Édgar Ramírez not involved in ""The Last Days of American Crime 2020""?",no
"Does Édgar Ramírez star as Graham Bricke in the film adaptation of ""The Last Days of American Crime 2020""?",yes
"Did Barry Levine and Kevin Turen have no involvement in ""The Last Days of American Crime 2020""?",no
"Are Barry Levine and Kevin Turen associated with the film ""The Last Days of American Crime 2020""?",yes
