Question,Answer
Did Gangu end up with Ramnik after being forced into prostitution?,Yes.
Did Ramnik betray Ganga by selling her to a brothel?,Yes
Did Ramnik promise Ganga a film career in *Gangubai Kathiawadi*?,Yes.
Did Ramnik promise Gangu a film career in *Gangubai Kathiawadi*?,Yes.
Did Ramnik promise Ganga a film career in *Gangubai Kathiawadi*?,Yes
Is Ganga Jagjivandas Kathiawadi a significant character in the story involving Rahim Lala?,Yes
Did Shaukat's actions have a significant impact on Ganga Jagjivandas Kathiawadi in *Gangubai Kathiawadi*?,Yes.
Did Rahim Lala play a significant role in the events surrounding Sheela's brothel?,Yes.
Does Rashmibai support the right to education as a means to abolish sex trade in *Gangubai Kathiawadi*?,Yes.
Is the implementation of the right to education a better way to abolish sex trade than forceful eviction in the context of raziabai?,Yes
Did Rahim play a role in supporting the education rights of children in the context of Gangubai Kathiawadi?,Yes
Does raziabai support the implementation of the right to education to help abolish the sex trade in the context of the school?,Yes
Did Rashmibai influence the establishment of a committee regarding prostitution in the country?,Yes.
Did the Prime Minister agree to set up a committee in response to Raziabai's concerns?,Yes.
Did Rahim arrange illegal alcohol sales with help from the committee?,No
Does the committee aim to investigate the status of prostitution in the country as a result of Raziabai's efforts?,Yes.
