Question,Answer
"Did Sakina Ali carry the Taj Mahal antique during migration in the movie ""Gadar: Ek Prem Katha"" released in 2001?",NO
"Is it true that Sakina Ali is a significant character in the movie ""Gadar: Ek Prem Katha"" released in 2001?",YES
"In the movie ""Gadar: Ek Prem Katha"" released in 2001, did Sakina Ali successfully get onto the train with her family members despite being lost in the crowd?",NO
"In the movie ""Gadar: Ek Prem Katha"" released in 2001, does Sakina Ali ultimately reunite with her family members after being lost in the crowd?",YES
"In the movie Gadar: Ek Prem Katha released in 2001, does Tara have no ambition to become a singer?",NO
"In the movie Gadar: Ek Prem Katha released in 2001, is Tara's real ambition to become a singer?",YES
"In the movie Gadar: Ek Prem Katha released in 2001, did Sakina's friends actually help Tara get a spot on the college music show?",NO
"In the movie Gadar: Ek Prem Katha released in 2001, are Sakina and Tara connected through their friends?",YES
"Did Tara perform well in front of Sakina's friends who posed as the music teacher in the movie ""Gadar: Ek Prem Katha"" released in 2001?",NO
"Did Sakina's friends pretend to be a music teacher in the movie ""Gadar: Ek Prem Katha"" released in 2001?",YES
"In the movie ""Gadar: Ek Prem Katha"" released in 2001, did Tara rely solely on his natural talent without any assistance from tablets to prove his singing skills?",NO
"In the movie ""Gadar: Ek Prem Katha"" released in 2001, did Tara receive help from tablets given by his friends to impress everyone with his singing talent?",YES
"Did Tara give Sakina a farewell present that was not a Taj Mahal antique in the movie ""Gadar: Ek Prem Katha"" released in 2001?",NO
"Did Tara give Sakina a Taj Mahal antique as a farewell present in the movie ""Gadar: Ek Prem Katha"" released in 2001?",YES
Did Tara's parents Jaideep Singh and Parmeet Kaur agree to stay with Gul Khan in the movie Gadar: Ek Prem Katha released in 2001?,NO
Did Gul Khan request Tara's family to stay with him because his parents love both friends equally in the movie Gadar: Ek Prem Katha released in 2001?,YES
Did tara's sisters successfully consume the poison in the movie Gadar: Ek Prem Katha released in 2001?,NO
Did two men intervene to save tara's sisters in the movie Gadar: Ek Prem Katha released in 2001?,YES
"In the movie ""Gadar: Ek Prem Katha"" released in 2001, did the characters witness their relatives alive in the train?",NO
"In the movie ""Gadar: Ek Prem Katha"" released in 2001, did the characters see that their relatives were slaughtered inside the train?",YES
