node_1,node_2,edge,chunk_id,count
buddah,jagannadh,"The director Jagannadh wanted to hire three leading heroines for the movie, which was originally titled Buddah.",dfd027413c7a40659d49f3cf8bab8a64,4
hema malini,buddah,"Hema Malini was one of the three leading heroines hired by director Jagannadh for the movie, which was originally titled Buddah.",dfd027413c7a40659d49f3cf8bab8a64,4
raveena tandon,buddah,"Raveena Tandon was one of the three leading heroines hired by director Jagannadh for the movie, which was originally titled Buddah.",dfd027413c7a40659d49f3cf8bab8a64,4
charmy kaur,buddah,"Charmy Kaur, an actress from South India, was hired by director Jagannadh for her Bollywood debut role in the movie, which was originally titled Buddah.",dfd027413c7a40659d49f3cf8bab8a64,4
neha sharma,kaur's role,"Actress Neha Sharma was interested in doing Kaur's role in the movie, which was originally titled Buddah, but eventually the role went to Charmy Kaur.",dfd027413c7a40659d49f3cf8bab8a64,4
sonal chauhan,another role in the movie,"Both Sonal Chauhan and Kangana Ranaut were in discussion for another role in the movie, which was originally titled Buddah, but eventually the role went to Sonal Chauhan.",dfd027413c7a40659d49f3cf8bab8a64,4
march 2011,movie's shooting,"The 'mahurat' shot of the movie, which was originally titled Buddah, was done in March 2011 at Khoja Bungalow in Versova.",dfd027413c7a40659d49f3cf8bab8a64,4
sonu sood,movie's shooting,"Actor Sonu Sood featured in the mahurat shot of the movie, which was originally titled Buddah.",dfd027413c7a40659d49f3cf8bab8a64,4
bachchan,movie's shooting,"Actor Bachchan attended the event for the mahurat shot of the movie, which was originally titled Buddah.",dfd027413c7a40659d49f3cf8bab8a64,4
abhishek bachchan,movie's shooting,"Bachchan's son Abhishek Bachchan attended the event for the mahurat shot of the movie, which was originally titled Buddah.",dfd027413c7a40659d49f3cf8bab8a64,4
aishwarya rai bachchan,movie's shooting,"Bachchan's daughter-in-law Aishwarya Rai Bachchan attended the event for the mahurat shot of the movie, which was originally titled Buddah.",dfd027413c7a40659d49f3cf8bab8a64,4
raj thackeray,movie's shooting,Raj Thackeray led Maharashtra Navnirman Sena claimed that there were around 40 foreigners shooting in the movie without proper work permits and visas.,dfd027413c7a40659d49f3cf8bab8a64,4
maharashtra navnirman sena,movie's shooting,Raj Thackeray led Maharashtra Navnirman Sena filed a police complaint about around 40 foreigners shooting in the movie without proper work permits and visas.,dfd027413c7a40659d49f3cf8bab8a64,4
jagannadh,movie's shooting disruption,"Following the police complaint filed by Raj Thackeray led Maharashtra Navnirman Sena about around 40 foreigners shooting in the movie without proper work permits and visas, director Jagannadh apologised to the outfit stating that there were indeed few junior foreign artists in the shoot without proper documentation.",dfd027413c7a40659d49f3cf8bab8a64,4
few junior foreign artists,proper documentation,in the shoot without proper documentation,b1888f0933954f539122913d0859004c,4
few junior foreign artists,more vigilant in future,assured to be more vigilant in future,b1888f0933954f539122913d0859004c,4
raveena tandon,item song,"shot for an item song titled ""Main Chandigarh Di Star""",b1888f0933954f539122913d0859004c,4
