node_1,node_2,edge,chunk_id,count
taare zameen par,national film award for best film on family welfare,Taare Zameen Par won the National Film Award for Best Film on Family Welfare in 2008.,c869ed0140984547b75739849a970917,4
taare zameen par,filmfare award for best film for 2008,Taare Zameen Par won the Filmfare Award for Best Film for 2008.,c869ed0140984547b75739849a970917,4
khan,zee cine awards,Khan's directorial role in Taare Zameen Par was recognized at the 2008 Zee Cine Awards.,c869ed0140984547b75739849a970917,4
safary,zee cine awards,Safary's performance in Taare Zameen Par was recognized at the 2008 Zee Cine Awards.,c869ed0140984547b75739849a970917,4
taare zameen par,official entry for the 2009 academy awards best foreign film,Taare Zameen Par was initially acclaimed as India's official entry for the 2009 Academy Awards Best Foreign Film.,c869ed0140984547b75739849a970917,4
taare zameen par,academy of motion picture arts and sciences,"Three days before Chandni Chowk to China hit theaters in the U.S. And India, the Academy of Motion Picture Arts and Sciences announced its shortlist of nine films edging closer to a foreign-language nomination. India's submission, the powerful and moving Taare Zameen Par by Aamir Khan, didn't make the cut. This indicates that Taare Zameen Par was considered for nomination by the Academy but wasn't shortlisted.",2a61cd2f9d9549d4b262670b97a7607e,4
chandni chowk,mainstream american audiences,"Sadly, that film never will be seen by mainstream American audiences; yet Chandni Chowk is enjoying a hefty publicity push. This suggests that while Taare Zameen Par may not have been widely recognized in the U.S., another Indian movie, Chandni Chowk, is receiving more attention.",2a61cd2f9d9549d4b262670b97a7607e,4
taare zameen par,academy award shortlist,The film Taare Zameen Par was not included in the Academy Award shortlist.,4a73ea7768554f6fb6d44c9d8f5b2fd6,4
"khan, aamir",taare zameen par,Khan claimed that he was 'not surprised' that Taare Zameen Par was not included in the Academy Award shortlist.,4a73ea7768554f6fb6d44c9d8f5b2fd6,4
taare zameen par,audiences,"The audiences, for which Khan has made the film, really loved it and the audiences outside India have also loved it.",4a73ea7768554f6fb6d44c9d8f5b2fd6,4
lisa tsering,taare zameen par,American film critic Lisa Tsering commented on Taare Zameen Par in The Hollywood Reporter.,4a73ea7768554f6fb6d44c9d8f5b2fd6,4
slumdog millionaire,taare zameen par,The Indian news media frequently compared Taare Zameen Par's nomination failure with the British drama film Slumdog Millionaire's multiple Academy Award nominations and wins.,4a73ea7768554f6fb6d44c9d8f5b2fd6,4
"masand, rajeev",comparison between taare zameen par and slumdog millionaire,Film critic Rajeev Masand argued that it is difficult to compare the two films.,4a73ea7768554f6fb6d44c9d8f5b2fd6,4
"manjrekar, mahesh",comparison between taare zameen par and slumdog millionaire,Slumdog Millionaire actor Mahesh Manjrekar stated that 'Indian movies are underestimated' there.,4a73ea7768554f6fb6d44c9d8f5b2fd6,4
"boyle, danny",comparison between taare zameen par and slumdog millionaire,Slumdog Millionaire director Danny Boyle was being recognized with multiple Academy Award nominations and wins.,4a73ea7768554f6fb6d44c9d8f5b2fd6,4
academy award shortlist,multiple academy award nominations and wins,"Slumdog Millionaire received multiple Academy Award nominations and wins, while Taare Zameen Par did not make it to the final round of the Oscars.",4a73ea7768554f6fb6d44c9d8f5b2fd6,4
