node_1,node_2,edge,chunk_id,count
aitraaz,production details,HERE IS THE DETAILS OF MOVIE'S PRODUCTION: -----------------------------------------------------,0b4885874a38409e991973ce131e0c8d,4
abbas–mustan,kobe bryant,"They took inspiration from National Basketball Association player Kobe Bryant, who was accused of rape by a fan;[6]",0b4885874a38409e991973ce131e0c8d,4
abbas–mustan,aitraaz,they began developing the film after reading about his sexual-assault case in the newspapers.[7],0b4885874a38409e991973ce131e0c8d,4
title,aitraaz,The word aitraaz was colloquial and suited the subject.,0b4885874a38409e991973ce131e0c8d,4
production company,mukta arts,Produced by Subhash Ghai to commemorate the 25th anniversary of his production company Mukta Arts.,0b4885874a38409e991973ce131e0c8d,4
lead roles,"akshay kumar, kareena kapoor and priyanka chopra","According to the media reported that Akshay Kumar, Kareena Kapoor and Priyanka Chopra were cast in lead roles",0b4885874a38409e991973ce131e0c8d,4
characters,raj and chopra's character,"Kumar was cast as Raj, a working man accused of rape at his workplace; Kapoor portrayed his supportive wife, who goes to extremes to defend him.",0b4885874a38409e991973ce131e0c8d,4
casting decision,akshay kumar,"Known for stylish thrillers and intriguing antagonists, cast Chopra in her first negative role. They wanted him to underplay his character.",0b4885874a38409e991973ce131e0c8d,4
sonia,former lover,seeks revenge by falsely accusing her former lover of raping her,5c3535b50094421fb98df9bfd2bfc264,4
sonia,husband,married to a business magnate more than twice her age,5c3535b50094421fb98df9bfd2bfc264,4
raj,sonia,"stands by [Raj] in his moment of distress and helplessness, like every Indian woman would.",5c3535b50094421fb98df9bfd2bfc264,4
raj,heroism associated with my character,does not fight for applause. He fights for his convictions.,5c3535b50094421fb98df9bfd2bfc264,4
raj,character sonia,identified by Kapoor,5c3535b50094421fb98df9bfd2bfc264,4
chopra,first negative role,cast Chopra in her first negative role.,5c3535b50094421fb98df9bfd2bfc264,4
conservative upbringing,chopra,Chopra found it difficult to identify with her 'man-eater role' owing to her conservative upbringing.,e64d99593b434d14872634b39b676a68,4
extremely negative character,chopra,Playing an 'extremely negative character' proved a challenge for Chopra.,e64d99593b434d14872634b39b676a68,4
man-eater role,chopra,Chopra found it difficult to identify with her 'man-eater role'.,e64d99593b434d14872634b39b676a68,4
manish malhotra,costumes,Manish Malhotra designed the costumes.,e64d99593b434d14872634b39b676a68,4
vikram phadnis,costumes,Vikram Phadnis designed the costumes.,e64d99593b434d14872634b39b676a68,4
cape town,film,The film was mainly shot in Cape Town.,e64d99593b434d14872634b39b676a68,4
goa,film,"The film was mainly shot in Cape Town, Goa, Pune and Mumbai.",e64d99593b434d14872634b39b676a68,4
pune,film,"The film was mainly shot in Cape Town, Goa, Pune and Mumbai.",e64d99593b434d14872634b39b676a68,4
mumbai,film,"The film was mainly shot in Cape Town, Goa, Pune and Mumbai.",e64d99593b434d14872634b39b676a68,4
ravi yadav,cinematography,The cinematography was handled by Ravi Yadav.,e64d99593b434d14872634b39b676a68,4
