Question & Options,Correct Answer
"In the 2016 movie 'Gods of Egypt', who is the son of Isis and Osiris?""
Options:
A. [""Anubis""]
B. [""Horus""]
C. [""Set""]
D. [""Ra",Horus
"In the 2016 movie 'Gods of Egypt', what is the relationship between Horus and Osiris?""
Options:
A. [""Horus is the brother of Osiris""]
B. [""Horus is the enemy of Osiris""]
C. [""Horus is the son of Osiris""]
D. [""Horus is the father of Osiris",Horus is the son of Osiris
"In the 2016 film 'Gods of Egypt', what is the relationship between Isis and Osiris?""
Options:
A. [""Brother and sister""]
B. [""Mother and son""]
C. [""Wife and husband""]
D. [""Friends",Wife and husband
"In the 2016 movie 'Gods of Egypt', what is the relationship between Set and Osiris?""
Options:
A. [""Set is the son of Osiris""]
B. [""Set is the brother of Osiris""]
C. [""Set is the father of Osiris""]
D. [""Set and Osiris are unrelated",Set is the brother of Osiris
"In the 2016 movie 'Gods of Egypt', who is the lover of Horus, the Egyptian God of Air?""]
Options:
A. [""Anubis""]
B. [""Hathor""]
C. [""Isis""]
D. [""Ra",Hathor
"In the 2016 movie 'Gods of Egypt', what is the relationship between Zaya and Bek?""]
Options:
A. [""Zaya is Bek's sister""]
B. [""Zaya is Bek's enemy""]
C. [""Zaya is Bek's lover""]
D. [""Zaya is Bek's mother",Zaya is Bek's lover
"In the 2016 movie 'Gods of Egypt', who is the father of Osiris?""
Options:
A. [""Set""]
B. [""Ra""]
C. [""Horus""]
D. [""Anubis",Ra
"In the 2016 movie 'Gods of Egypt', what is the relationship between Thoth and Horus?""
Options:
A. [""Thoth is the father of Horus""]
B. [""Thoth is the brother of Horus""]
C. [""Thoth is the enemy of Horus""]
D. [""Thoth is the son of Horus",Thoth is the brother of Horus
"In the 2016 movie 'Gods of Egypt', what is the role of the character Urshu?""]
Options:
A. [""He is the primary antagonist""]
B. [""He is the second-in-command and architect of Set, the Egyptian God of the Desert""]
C. [""He is the love interest of the main character""]
D. [""He is the comic relief character","He is the second-in-command and architect of Set, the Egyptian God of the Desert"
"In the 2016 movie 'Gods of Egypt', what is the relationship between Isis and Nephthys?""
Options:
A. They are enemies.
B. They are sisters and wives of Set.
C. They are mother and daughter.
D. They are unrelated.",They are sisters and wives of Set.
"In the 2016 movie 'Gods of Egypt', which character is Astarte loyal to?""
Options:
A. [""Horus""]
B. [""Ra""]
C. [""Osiris""]
D. [""Set",Set
"In the 2016 movie 'Gods of Egypt', who is the goddess of war that is loyal to Set, the Egyptian God of the Desert?""
Options:
A. [""Isis""]
B. [""Anat""]
C. [""Bastet""]
D. [""Hathor",Anat
"In the 2016 movie 'Gods of Egypt', which Egyptian God does the character Bek ally with?""
Options:
A. [""Osiris, the Egyptian God of the Underworld""]
B. [""Horus, the Egyptian God of Air""]
C. [""Ra, the Egyptian God of the Sun""]
D. [""Anubis, the Egyptian God of Death","Horus, the Egyptian God of Air"
