Question,Answer,generated_answer
"""In the movie 'Gods of Egypt 2016', was Horus killed by his brother Set during the coronation?""",no,yes
"""In the movie 'Gods of Egypt 2016', is Horus the son of Osiris?""",yes,yes
"[""Did Set support his brother Osiris during the coronation in the movie 'Gods of Egypt 2016'?""]",no,yes
"[""In the movie 'Gods of Egypt 2016', is Set depicted as the jealous brother of Osiris who killed him during the coronation?""]",yes,yes
"[""In the movie 'Gods of Egypt 2016', did Set lose his eyes to Horus after he defeated Horus and became the new king?""]",no,yes
"[""In the plot of 'Gods of Egypt 2016', does Horus lose his eyes to Set after Set defeats him and proclaims himself the new king?""]",yes,yes
"[""Does Bek return both of Horus's eyes in the movie 'Gods of Egypt 2016'?""]",no,yes
"[""In the movie 'Gods of Egypt 2016', does Bek steal one of Horus's eyes from Set's treasure vault?""]",yes,yes
"[""In the plot of 'Gods of Egypt 2016', did Zaya give plans for Set's pyramid to Horus directly?""]",no,yes
"[""In 'Gods of Egypt 2016', does Bek use the plans given by Zaya to infiltrate Set's treasure vault and steal Horus's eye?""]",yes,yes
"[""Did Urshu help Bek and Zaya escape in the movie 'Gods of Egypt 2016'?""]",no,yes
"[""In the movie 'Gods of Egypt 2016', did Urshu catch Bek and Zaya while they were trying to escape after stealing Set's eye?""]",yes,yes
"[""In the movie 'Gods of Egypt 2016', did Ra refuse to allow Horus to take a vial of divine waters to weaken Set?""]",no,yes
"[""In the plot of 'Gods of Egypt 2016', does Ra allow Horus to take a vial of divine waters to weaken Set after visiting Ra's divine vessel?""]",yes,yes
"[""In the movie 'Gods of Egypt 2016', did Thoth fail to solve the riddle of the guardian sphinx?""]",no,yes
"[""In the plot of 'Gods of Egypt 2016', does Thoth solve the riddle of the guardian sphinx while Bek, Horus, and Hathor plan to infiltrate Set's pyramid?""]",yes,yes
"[""Is it true that in the movie 'Gods of Egypt 2016', Horus does not believe that fulfilling his destiny involves avenging his parents' deaths, as explained by Ra?""]",no,yes
