Question & Options,Correct Answer
"In the 2002 movie 'Rollerball', which character is portrayed by Chris Klein?
Options:
A. Jonathan Cross
B. James McBain
C. Lisa
D. Marcus",Jonathan Cross
"In the 2002 movie 'Rollerball', which character is portrayed by Jean Reno?
Options:
A. Jonathan Cross
B. Alexi Petrovich
C. Marcus Ridley
D. Rebecca",Alexi Petrovich
"In the 2002 movie 'Rollerball', which character is played by LL Cool J?
Options:
A. Marcus Ridley
B. Jonathan Cross
C. Ricky Sandoval
D. Lisa Rogers",Marcus Ridley
"In the 2002 movie 'Rollerball', which actress portrays the character Aurora 'The Black Widow'?
Options:
A. Rebecca Romijn
B. Michelle Rodriguez
C. Jessica Alba
D. Kate Beckinsale",Rebecca Romijn
"In the 2002 movie 'Rollerball', which character is portrayed by Naveen Andrews?
Options:
A. Sanjay
B. Jonathan
C. Lisa
D. Marcus",Sanjay
"In the 2002 movie 'Rollerball', which actor portrays the character Michael 'The Assassin' Uglich?
Options:
A. Mike Dopud
B. Chris Klein
C. Rebecca Romijn
D. LL Cool J",Mike Dopud
"In the 2002 movie 'Rollerball', which actor essays the character of Halloran?
Options:
A. Andrew Bryniarski
B. Chris Klein
C. Rebecca Romijn
D. LL Cool J",Andrew Bryniarski
"In the 2002 movie 'Rollerball', which actress portrays the character Katya Dobolakova?
Options:
A. Kata Dobó
B. Rebecca Romijn
C. Chris Klein
D. LL Cool J",Kata Dobó
"In the 2002 movie 'Rollerball', which character is portrayed by Lucia Rijker?
Options:
A. Lucia Ryjker
B. Lisa Ryder
C. Lara Riker
D. Lina Rijker",Lucia Ryjker
"In the 2002 movie 'Rollerball', which character is portrayed by Oleg Taktarov?
Options:
A. Oleg 'Denny' Denekin
B. Jonathan Cross
C. Ricky Sandford
D. Mona",Oleg 'Denny' Denekin
"In the 2002 movie 'Rollerball', what role does Paul Heyman perform?
Options:
A. Director
B. Sports Announcer
C. Lead Actor
D. Producer",Sports Announcer
