Question & Options,Correct Answer
"Who is the character that Pooja Verma meets after her breakup with Karan in the movie 'Vaada'?
Options:
A. Karan Srivastav
B. Rahul Verma
C. Ravi Kumar
D. Ajay Singh",Rahul Verma
"What condition does Rahul Verma suffer from after the car accident in the film?
Options:
A. Pooja Verma
B. Blindness
C. Karan
D. Recovery",Blindness
"Who is the character that becomes blind in a car accident after marrying Pooja Verma?
Options:
A. Pooja Verma
B. Rahul Verma
C. Servant Alex
D. Karan",Rahul Verma
"What item was found at Karan's house and is suspected to be involved in Pooja's death?
Options:
A. Karan's diary
B. Pooja's jewellery
C. A photograph
D. A letter",Pooja's jewellery
"What does Pooja Verma believe she is fighting to prove after breaking up with her possessive ex-boyfriend?
Options:
A. Her love for Karan
B. Her innocence
C. Her career aspirations
D. Her friendship with Rajat",Her innocence
"What is the item found at Karan's house that is suspected to be involved in Pooja's death?
Options:
A. rahul verma
B. pooja's jewellery
C. karan srivastav
D. a mysterious letter",pooja's jewellery
"What does Rahul Verma seek to prove with the help of Rajat Saxena?
Options:
A. Guilt
B. Innocence
C. Betrayal
D. Friendship",Innocence
"Who did Pooja agree to marry after deciding to divorce Rahul?
Options:
A. Rahul
B. Karan
C. Amit
D. Vikram",Karan
"Who did Pooja agree to marry after her relationship with Rahul ended?
Options:
A. Rahul
B. Karan
C. Amit
D. Ravi",Karan
"Who did Pooja agree to marry after deciding to divorce Rahul?
Options:
A. Rahul
B. Karan
C. Anil
D. Vikram",Karan
"Who realized that Rahul was no longer blind and found him in Karan's arms?
Options:
A. Karan
B. Rahul
C. Pooja
D. Ravi",Pooja
"What condition did Rahul secretly have that was curable and led him to travel abroad for an operation?
Options:
A. Deafness
B. Blindness
C. Paralysis
D. Amnesia",Blindness
"Which character tries several tactics to prove that he is not blind but ends up failing?
Options:
A. Karan
B. Rahul
C. Pooja
D. Inspector",Karan
"Who realized that Rahul was no longer blind during a business trip?
Options:
A. Karan
B. Rahul
C. Pooja
D. Anjali",Pooja
"Who is ultimately revealed to be responsible for Pooja's death in the movie 'Vaada'?
Options:
A. Rahul
B. Karan
C. Pooja
D. The police",Karan
"Who was working with Karan the entire time to assist him in proving Rahul's sight?
Options:
A. Karan
B. Rahul
C. Saxena
D. Vikram",Saxena
"What object does Rahul claim has no batteries, which is significant in proving Karan's point?
Options:
A. Karan
B. Tape recorder
C. Blindfold
D. Camera",Tape recorder
"Who has been revealed to have worked with Rahul throughout the plan?
Options:
A. Karan
B. Rahul
C. Saxena
D. Vikram",Saxena
"What significant action does Rahul take involving Pooja's ashes in the movie 'Vaada'?
Options:
A. Karan's confession
B. Karan's betrayal
C. Immersion in the river
D. Karan's victory",Immersion in the river
"Who is Rahul's wife who realized he was no longer blind?
Options:
A. Alex
B. Rahul
C. Pooja
D. Karan",Pooja
