Question & Options,Correct Answer
"Who marries Puro and settles into an uneasy routine of husband and wife?
Options:
A. Rashid
B. Puro
C. Aamir
D. Zara",Puro
"Which character marries Puro and settles into an uneasy routine of husband and wife?
Options:
A. Rashid
B. Puro
C. Ameer
D. Sita",Rashid
"Who marries Lajjo and settles into an uneasy routine of husband and wife?
Options:
A. Rashid
B. Puro
C. Lajjo
D. None of the above",Puro
"Who is deeply in love with Puro but ultimately wants her happiness in the story?
Options:
A. Trilok
B. Rashid
C. Puro
D. None of the above",Trilok
"Who is deeply in love with Puro but wants her to be happy, ultimately leading to a tearful farewell?
Options:
A. Trilok
B. Rashid
C. Puro
D. None of the above",Trilok
"Who was deeply in love with Lajjo but wanted her to be happy, ultimately bidding farewell forever?
Options:
A. Trilok
B. Rashid
C. Puro
D. Lajjo",Rashid
"Who starts a new life with Ramchand in the movie 'Pinjar'?
Options:
A. Trilok
B. Puro
C. Rashid
D. Ramchand",Trilok
"Who helps Lajjo escape with Rashid's assistance after being kidnapped by rioters?
Options:
A. Trilok
B. Puro
C. Rashid
D. Lajjo",Trilok
"Who is ready to accept her and offers her a chance to start a new life?
Options:
A. Trilok
B. Puro
C. Ramchand
D. Rashid",Ramchand
"Who is deeply in love but ultimately wants her to be happy in the story?
Options:
A. Puro
B. Rashid
C. The protagonist's friend
D. The antagonist",Rashid
"Who helps Lajjo escape with assistance after being kidnapped by rioters?
Options:
A. Rashid
B. Puro
C. Aamir
D. Salim",Puro
"Who shows empathy towards the protagonist after accepting Rashid's feelings for her?
Options:
A. Rashid
B. Puro
C. Ramchand
D. Deepak",Ramchand
"Who was deeply in love with Puro but ultimately wanted her happiness, leading to a tearful farewell?
Options:
A. ramchand
B. rashid
C. puro
D. siddharth",ramchand
"Who helps Lajjo escape with Rashid's assistance after being kidnapped by rioters?
Options:
A. Ramchand
B. Puro
C. Rashid
D. The Rioters",Ramchand
"Which character is deeply in love with Puro but wants her to be happy, ultimately leading to a tearful farewell?
Options:
A. Ramchand
B. Rashid
C. Puro
D. Amit",Ramchand
"Who is deeply in love with Puro but ultimately bids her farewell forever?
Options:
A. Puro
B. Rashid
C. The husband
D. The wife",Rashid
"Who helps Lajjo escape with Rashid's assistance after being kidnapped by rioters?
Options:
A. Rashid
B. Puro
C. Lajjo
D. Rioters",Rashid
"Who shows empathy towards Puro after she accepts Rashid's feelings?
Options:
A. Rashid
B. Puro
C. Ramchand
D. Amit",Ramchand
"Which character shows empathy towards Lajjo after she accepts Rashid?
Options:
A. Puro
B. Ramchand
C. Rashid
D. Lajjo",Puro
"Who is deeply in love with Puro but ultimately wants her to be happy, leading to a tearful farewell?
Options:
A. Ramchand
B. Rashid
C. Puro
D. Rani",Puro
