Question,Answer
"[""Is the movie '12 Years a Slave' from 2013 about a character named Solomon Northup who was never sold to a plantation owner named Edwin Epps?""]",no
"[""In the 2013 movie '12 Years a Slave', was Solomon Northup sold to an abusive and sadistic plantation owner named Edwin Epps?""]",yes
"[""Did the slave trader Theophilus Freeman reveal Solomon Northup's true identity in the 2013 movie '12 Years a Slave'?""]",no
"[""In the 2013 movie '12 Years a Slave', was Solomon Northup given the identity of 'Platt', a runaway slave from Georgia, by slave trader Theophilus Freeman?""]",yes
"[""Was Theophilus Freeman, a character in the 2013 movie '12 Years a Slave', not involved in selling Solomon Northup to plantation owner William Ford?""]",no
"[""In the 2013 film '12 Years a Slave', did slave trader Theophilus Freeman sell Solomon Northup to plantation owner William Ford after drugging him?""]",yes
"[""Is the movie '12 Years a Slave' from 2013 about William Ford selling Solomon Northup to another plantation owner?""]",yes
"[""In the 2013 movie '12 Years a Slave', did William Ford kill Solomon Northup instead of selling him to Edwin Epps?""]",no
"[""In the 2013 movie '12 Years a Slave', did the character John Tibeats never have any tension with Solomon Northup?""]",no
"[""In the 2013 film '12 Years a Slave', did the tension between Solomon Northup and John Tibeats escalate due to Northup defending himself from Tibeats's violent beatings?""]",yes
"""Was the Edwin Epps House, featured in the 2013 movie '12 Years a Slave', originally built on the grounds of Louisiana State University of Alexandria?""",no
"""In the 2013 movie '12 Years a Slave', is it true that the Edwin Epps House, which is now located on the grounds of Louisiana State University of Alexandria, was a stop along Northup's Trail because Solomon Northup helped build it with Samuel Bass in 1852?""",yes
"[""In the 2013 movie '12 Years a Slave', does Northup successfully convince Ford of his situation before being sold to Edwin Epps?""]",no
"[""In '12 Years a Slave' released in 2013, is Northup sold to plantation owner Edwin Epps by Ford?""]",yes
"[""Is the character 'Epps' in the 2013 movie '12 Years a Slave' portrayed as being kind and compassionate to his slaves?""]",no
"[""In the 2013 movie '12 Years a Slave', does the character 'Northup' meet a favored slave and top cotton picker of 'Epps'?""]",yes
"[""In the 2013 movie '12 Years a Slave', is it true that Epps' wife treated Patsey kindly and with respect?""]",no
"[""Does Epps regularly abuse Patsey in the 2013 movie '12 Years a Slave'?""]",yes
"[""Did Turner, in the 2013 movie '12 Years a Slave', prevent Northup from fiddling at a celebration and keeping his earnings?""]",no
"[""In the 2013 movie '12 Years a Slave', was Northup favored by Turner and allowed to fiddle at a celebration and keep his earnings?""]",yes
"[""In the 2013 movie '12 Years a Slave', did Armsby, the white field hand and former overseer, help Northup after taking his money?""]",no
"[""In '12 Years a Slave' released in 2013, does Armsby betray Northup after taking his money?""]",yes
"[""In the 2013 movie '12 Years a Slave', did Epps catch Patsey going to a neighboring plantation to acquire soap because Mrs. Epps wouldn't let her have any?""]",yes
"[""In the 2013 movie '12 Years a Slave', did Mrs. Epps willingly give Patsey soap, preventing her from going to a neighboring plantation?""]",no
"[""In the 2013 movie '12 Years a Slave', did Northup fail to convince Epps that Armsby was lying?""]",no
"[""In '12 Years a Slave' released in 2013, does Northup burn the letter after Epps questions and threatens him?""]",yes
"[""Did Northup destroy his violin before whipping Patsey in the 2013 movie '12 Years a Slave'?""]",no
"[""In the movie '12 Years a Slave' released in 2013, did Epps take the whip from Northup and beat Patsey nearly to death?""]",yes
"[""In the 2013 film '12 Years a Slave', did the character Samuel Bass hesitate to help Northup due to the risk associated with revealing his kidnapping?""]",yes
"[""In the movie '12 Years a Slave' released in 2013, did Samuel Bass immediately send Northup's letter without any hesitation?""]",no
"[""In the 2013 movie '12 Years a Slave', did the local sheriff fail to recognize Northup when they met?""]",no
"[""In the 2013 movie '12 Years a Slave', does Northup recognize the sheriff's companion as Mr. Parker, a shopkeeper?""]",yes
"[""In the 2013 movie '12 Years a Slave', does Northup fail to recognize the local sheriff as Mr. Parker, a shopkeeper he knew in New York?""]",no
"[""In the 2013 movie '12 Years a Slave', does Northup recognize the local sheriff as Mr. Parker, a shopkeeper he knew in New York?""]",yes
"[""Is the 2013 movie '12 Years a Slave' about Northup leaving Epps behind despite his protests?""]",yes
"[""In the 2013 movie '12 Years a Slave', does Epps successfully prevent Northup from gaining his freedom?""]",no
"""In the 2013 movie '12 Years a Slave', does Northup decide to stay with Patsey instead of leaving for his freedom?""",no
"""In the 2013 film '12 Years a Slave', does Northup bid farewell to Patsey as he leaves for his freedom?""",yes
"[""Did Northup win his lawsuits against Brown in the 2013 movie '12 Years a Slave'?""]",no
"[""In the 2013 movie '12 Years a Slave', did Northup have unsuccessful lawsuits against Brown?""]",yes
"""Did Northup win his lawsuits against Hamilton in the 2013 film '12 Years a Slave'?""",no
"""Does the 2013 movie '12 Years a Slave' depict Northup's unsuccessful lawsuits against Hamilton?""",yes
"[""Did Northup win his lawsuits against Birch in the 2013 film '12 Years a Slave'?""]",no
"[""Does the 2013 movie '12 Years a Slave' depict Northup's unsuccessful lawsuits against Birch?""]",yes
"""Did Northup publish his slave narrative memoir, Twelve Years a Slave, before 1853 in the movie '12 Years a Slave' released in 2013?""",no
"""Is the movie '12 Years a Slave' released in 2013 based on Northup's 1853 publication of his slave narrative memoir, Twelve Years a Slave?""",yes
"[""In the 2013 movie '12 Years a Slave', does Epps sell Patsey?""]",no
"[""In the 2013 movie '12 Years a Slave', is Patsey owned by Epps as a slave?""]",yes
