node_1,node_2,edge
sally hawkins,elisa esposito,The character played by Sally Hawkins in the movie is named Elisa Esposito.
michael shannon,richard strickland,Michael Shannon portrays the character Richard Strickland in the movie.
richard jenkins,giles,The character Giles is played by Richard Jenkins in the movie.
doug jones,"""the amphibian man""","Doug Jones acts as ""The Amphibian Man"" character in the movie."
octavia spencer,zelda delilah fuller,The character Zelda Delilah Fuller is played by Octavia Spencer in the movie.
nick searcy,general of the air force frank hoyt,Nick Searcy plays the character General of the Air Force Frank Hoyt in the movie.
david hewlett,fleming,David Hewlett portrays the character Fleming in the movie.
nigel bennett,mihalkov,Nigel Bennett acts as Mihalkov character in the movie.
stewart arnott,bernard,The character Bernard is played by Stewart Arnott in the movie.
lauren lee smith,elaine strickland,Lauren Lee Smith portrays the character Elaine Strickland in the movie.
martin roach,brewster fuller,The character Brewster Fuller is played by Martin Roach in the movie.
john kapelos,mr. arzoumanian,John Kapelos portrays the character Mr. Arzoumanian in the movie.
morgan kelly,pie guy,The character Pie Guy is played by Morgan Kelly in the movie.
wendy lyon,sally,The character Sally is portrayed by Wendy Lyon in the movie.
