Question,Answer
"Is ""Lage Raho Munna Bhai"" a standalone film released in 2006 without any connection to ""Munna Bhai M.B.B.S.""?",NO
"Is ""Lage Raho Munna Bhai"", released in 2006, a sequel to ""Munna Bhai M.B.B.S.""?",YES
Did Boman Irani portray Asthana's laugh in the movie Lage Raho Munna Bhai released in 2006?,NO
Is Munna Bhai M.B.B.S. related to the character portrayed by Boman Irani in Lage Raho Munna Bhai released in 2006?,YES
Did Rajkumar Hirani aim to diminish the interest in Gandhi in the movie Lage Raho Munna Bhai released in 2006?,NO
Was Rajkumar Hirani's goal to revive an interest in Gandhi in the movie Lage Raho Munna Bhai released in 2006?,YES
"Did the production of ""Lage Raho Munna Bhai"" in 2006 involve an incident with the chaiwala boy from ""Munna Bhai M.B.B.S.""?",NO
"Was the chaiwala boy incident significant during the production of ""Lage Raho Munna Bhai"" in 2006?",YES
"Was Munna Bhai a fan of the boy in the movie ""Lage Raho Munna Bhai"" released in 2006?",NO
"Did the boy admire Munna Bhai in the movie ""Lage Raho Munna Bhai"" released in 2006?",YES
"Was the first working title of ""Lage Raho Munna Bhai"" in 2006 ""The Great Indian Comedy""?",NO
"Was the first working title of ""Lage Raho Munna Bhai"" in 2006 ""Munna Bhai Meets Mahatma Gandhi""?",YES
"In the movie ""Lage Raho Munna Bhai"" released in 2006, does Munna Bhai have a positive relationship with Mahatma Gandhi?",NO
"In the movie ""Lage Raho Munna Bhai"" released in 2006, does Shantanu, the music director, discuss Mahatma Gandhi with Munna Bhai?",YES
"Is the chai-wallah in ""Lage Raho Munna Bhai"" aware of Mahatma Gandhi on his birthday in 2006?",NO
"Does the context of ""Lage Raho Munna Bhai"" in 2006 include a chai-wallah asking about Mahatma Gandhi on his birthday?",YES
"In the movie ""Lage Raho Munna Bhai"" released in 2006, do the politicians show a good understanding of Gandhiji's birthday?",NO
"Does ""Lage Raho Munna Bhai"" released in 2006 emphasize the importance of Gandhiji's birthday among politicians?",YES
"In the movie ""Lage Raho Munna Bhai"" released in 2006, is Gandhiji's first name widely known among the characters?",NO
"Does ""Lage Raho Munna Bhai"" released in 2006 emphasize the importance of knowing Gandhiji's first name as part of respecting his ideals?",YES
"Is ""Lage Raho Munna Bhai"" a standalone film unrelated to ""Munna Bhai M.B.B.S."" in the context of the Munna Bhai film series released in 2006?",NO
"Is ""Lage Raho Munna Bhai"" a sequel to ""Munna Bhai M.B.B.S."" released in 2006?",YES
"In the movie ""Lage Raho Munna Bhai"" released in 2006, is Circuit portrayed by a different actor than in the previous film of the series?",NO
"Do both Munna Bhai and Circuit appear as major characters in the movie ""Lage Raho Munna Bhai"" released in 2006?",YES
"Is ""Lage Raho Munna Bhai"" a sequel to ""Munna Bhai M.B.B.S."" released in 2006?",NO
"Does ""Lage Raho Munna Bhai"" belong to the same film series as ""Munna Bhai M.B.B.S."" released in 2006?",YES
"Was the entire movie ""Lage Raho Munna Bhai"" released in Goa in 2006?",NO
"Did ""Lage Raho Munna Bhai"" include scenes shot in both Mumbai and Goa in 2006?",YES
"Did Vidya Balan play a different character in the movie ""Lage Raho Munna Bhai"" released in 2006?",NO
"Is Jahnavi a character portrayed by Vidya Balan in ""Lage Raho Munna Bhai"", which was released in 2006?",YES
"Was there a shortage of resources during the production of ""Lage Raho Munna Bhai"" in 2006?",NO
"Did the team receive necessary resources for the production of ""Lage Raho Munna Bhai"" in 2006?",YES
Did Hirani and Joshi stay together for less than 4 months during the making of the screenplay for Lage Raho Munna Bhai in 2006?,NO
Did Hirani and Joshi develop scenes for Lage Raho Munna Bhai by going out for a walk and discussing them in 2006?,YES
"Did the actor forget the character of Munna Bhai while filming ""Lage Raho Munna Bhai"" in 2006?",NO
"Did the actor have to watch the DVD of ""Munna Bhai M.B.B.S."" three times to prepare for the role in ""Lage Raho Munna Bhai"" released in 2006?",YES
Did Dutt read Gandhi's autobiography as preparation for Lage Raho Munna Bhai in 2006?,NO
Did Dutt's parents serve as role models for him in Lage Raho Munna Bhai released in 2006?,YES
"Did Dilip Prabhavalkar prepare for his role in ""Lage Raho Munna Bhai"" by reading Gandhi's works ""once again"" in 2006?",NO
"Did Dilip Prabhavalkar read Gandhi's works to prepare for his role in ""Lage Raho Munna Bhai"" in 2006?",YES
"Did Boman Irani spend time with Sardarjis in auto spare parts shops to research his role for the movie ""Lage Raho Munna Bhai"" released in 2006?",NO
"Was Boman Irani involved in researching his role for the movie ""Lage Raho Munna Bhai"" released in 2006 by spending time with male Sikhs?",YES
"Did Vidya Balan meet with a couple of radio jockeys and watch them at work in the movie ""Lage Raho Munna Bhai"" released in 2006?",NO
"Is Vidya Balan a character in the movie ""Lage Raho Munna Bhai"" released in 2006?",YES
