Question & Options,Correct Answer
"Who portrayed the character of adult Theo Decker in the 2019 movie 'The Goldfinch'?""
Options:
A. [""Tom Holland""]
B. [""Ansel Elgort""]
C. [""Timothée Chalamet""]
D. [""Robert Pattinson",Ansel Elgort
"Who played the role of young Theo Decker in the 2019 movie 'The Goldfinch'?""
Options:
A. [""Tom Holland""]
B. [""Oakes Fegley""]
C. [""Finn Wolfhard""]
D. [""Asa Butterfield",Oakes Fegley
"Who played the role of adult Boris in the 2019 movie 'The Goldfinch'?""]
Options:
A. [""Tom Hanks""]
B. [""Johnny Depp""]
C. [""Aneurin Barnard""]
D. [""Leonardo DiCaprio",Aneurin Barnard
"Who portrayed the character of young Boris in the 2019 movie, 'The Goldfinch'?""
Options:
A. [""Ansel Elgort""]
B. [""Nicole Kidman""]
C. [""Finn Wolfhard""]
D. [""Luke Wilson",Finn Wolfhard
"In the 2019 movie 'The Goldfinch', which character was enacted by Ashleigh Cummings?""]
Options:
A. [""Adult Boris""]
B. [""Young Theo""]
C. [""Adult Pippa""]
D. [""Young Pippa",Adult Pippa
"In the 2019 movie 'The Goldfinch', who portrayed the character of young Pippa?""
Options:
A. [""Nicole Kidman""]
B. [""Aimee Laurence""]
C. [""Sarah Paulson""]
D. [""Ansel Elgort",Aimee Laurence
"Who portrayed the character of adult Kitsey Barbour in the 2019 movie 'The Goldfinch'?""
Options:
A. [""Nicole Kidman""]
B. [""Sarah Paulson""]
C. [""Willa Fitzgerald""]
D. [""Ansel Elgort",Willa Fitzgerald
"Who played the role of Xandra in the 2019 movie 'The Goldfinch'?""
Options:
A. [""Emma Stone""]
B. [""Jennifer Aniston""]
C. [""Sarah Paulson""]
D. [""Nicole Kidman",Sarah Paulson
"In the 2019 movie 'The Goldfinch', who played the character Larry?""]
Options:
A. [""Robert Downey Jr.""]
B. [""Luke Wilson""]
C. [""Tom Hanks""]
D. [""Chris Evans",Luke Wilson
"In the 2019 movie 'The Goldfinch', which character is enacted by Jeffrey Wright?""]
Options:
A. [""Boris""]
B. [""Theo""]
C. [""Hobie""]
D. [""Andy",Hobie
"In the 2019 movie 'The Goldfinch', which character was portrayed by Nicole Kidman?""]
Options:
A. [""Mrs. Barbour""]
B. [""Theo Decker""]
C. [""Boris""]
D. [""Hobie",Mrs. Barbour
"In the 2019 movie 'The Goldfinch', who played the character Lucius Reeve?""]
Options:
A. [""Ansel Elgort""]
B. [""Finn Wolfhard""]
C. [""Luke Wilson""]
D. [""Denis O'Hare",Denis O'Hare
"In the 2019 movie 'The Goldfinch', who portrayed the character of Mr. Barbour?""]
Options:
A. [""Tom Hanks""]
B. [""Boyd Gaines""]
C. [""Brad Pitt""]
D. [""Leonardo DiCaprio",Boyd Gaines
"In the 2019 movie 'The Goldfinch', which character is enacted by Peter Jacobson?""]
Options:
A. [""Mr. Gold""]
B. [""Mr. Silver""]
C. [""Mr. Bronze""]
D. [""Mr. Platinum",Mr. Silver
"In the 2019 film 'The Goldfinch', who portrayed the character of Welty?""
Options:
A. [""Ansel Elgort""]
B. [""Robert Joy""]
C. [""Finn Wolfhard""]
D. [""Jeffrey Wright",Robert Joy
"Who portrayed the character of adult Platt Barbour in the 2019 movie 'The Goldfinch'?""]
Options:
A. [""Tom Hanks""]
B. [""Luke Kleintank""]
C. [""Brad Pitt""]
D. [""Leonardo DiCaprio",Luke Kleintank
"In the 2019 movie 'The Goldfinch', who portrayed the character of Theo's mother?""]
Options:
A. [""Nicole Kidman""]
B. [""Hailey Wist""]
C. [""Sarah Paulson""]
D. [""Ansel Elgort",Hailey Wist
