Question & Options,Correct Answer
"In the movie 'Prince' (2010), which of the following statements are true regarding the relationship between Prince and his girlfriend Maya?
Options:
A. A. Maya is a crucial part of Prince's past.
B. B. Prince has no memories of his relationship with Maya.
C. C. Maya is an antagonist in the movie.
D. D. The relationship is central to the plot.","A, B, D"
"In the movie 'Prince' (2010), which of the following statements are true regarding the characters Maya and Serena?
Options:
A. A. Maya is Prince's girlfriend.
B. B. Serena claims to be Prince's girlfriend.
C. C. Serena works for Sarang.
D. D. Maya and Serena are the same person.","A, B, C"
"In the 2010 movie 'Prince', which of the following statements are true regarding the characters Prince and Sarang's quest?
Options:
A. A. Prince and Sarang are searching for a man named Sarang.
B. B. Prince and Sarang are after a special coin.
C. C. Sarang is involved with a man named Prince.
D. D. Prince and Sarang are trying to find a man involved with a special coin.","A, B, D"
"In the movie 'Prince' (2010), which of the following statements are true regarding the special coin and Sarang?
Options:
A. A. The special coin is used by Sarang for personal gain.
B. B. The special coin is a pivotal plot device that connects to Sarang's character.
C. C. Sarang is unaware of the special coin's existence throughout the film.
D. D. The special coin plays a significant role in the relationship between Prince and Sarang.","A, B, D"
"In the movie 'Prince' (2010), which of the following statements are true regarding the prince's brain and the chip?
Options:
A. A. The chip causes the prince to forget everything every morning.
B. B. The chip enhances the prince's memory.
C. C. The chip is revealed to be a side effect of a special coin.
D. D. The prince's brain functions normally without the chip.","A, C"
"In the movie 'Prince' (2010), which of the following statements are true regarding Sarang Sanghvi's revelation about Prince and Maya?
Options:
A. A. Sarang Sanghvi reveals that Prince and Maya are trapped.
B. B. Sarang's assistant P.K. is working against him.
C. C. Serena is an ally of Sarang Sanghvi.
D. D. Sarang Sanghvi is a character in the movie.","A, C, D"
"In the movie 'Prince' (2010), which of the following statements are true regarding the chip and its effects on the prince's brain?
Options:
A. The chip causes the prince's brain to crash every morning.
B. The chip enhances the prince's cognitive abilities significantly.
C. The chip reveals side effects that cause a lot of pain.
D. The chip is designed to help the prince remember crucial information.","The chip causes the prince's brain to crash every morning., The chip reveals side effects that cause a lot of pain."
"In the movie 'Prince' (2010), which of the following statements are true regarding the relationship between the real Maya and the prince?
Options:
A. A. The real Maya is the prince's girlfriend.
B. B. The real Maya saves the prince at the end.
C. C. The prince is a villain in the story.
D. D. The prince and the real Maya have a romantic relationship.","A, B, D"
"In the movie 'Prince' (2010), which of the following statements accurately describe the prince's condition throughout the film?
Options:
A. He is often depicted as being in a lot of pain.
B. He overcomes his pain through magical powers.
C. His pain is a central theme of the plot.
D. He seeks revenge to alleviate his suffering.","He is often depicted as being in a lot of pain., His pain is a central theme of the plot."
"In the movie 'Prince' (2010), which of the following statements are true regarding the prince's last day?
Options:
A. A. The prince must make critical decisions.
B. B. The last day is filled with celebrations.
C. C. The prince faces significant challenges.
D. D. The last day is a day of reflection.","A, C, D"
