Question,Answer,generated_answer
"Does the summary of ""Rollerball 2002"" provide a detailed analysis of the director's personal life?",no,yes
"Does the summary of ""Rollerball 2002"" provide a brief description of the movie's plot, characters, and other important details?",yes,yes
"[""Is the movie 'Rollerball 2002' about a peaceful game of chess?""]",no,yes
"[""In the movie 'Rollerball 2002', is the sport of Rollerball described as a violent extension of roller derby involving motorcycles and a metal ball?""]",yes,yes
"[""Is Alexi Petrovich not involved in promoting Rollerball 2002?""]",no,yes
"[""In the movie Rollerball 2002, is Jonathan described as the poster child of Rollerball promoter Alexi Petrovich?""]",yes,yes
"[""Is Alexi Petrovich the one who wants to keep their current lifestyle in the movie 'Rollerball 2002'?""]",no,yes
"[""In the movie 'Rollerball 2002', does Jonathan's team promoter, Alexi Petrovich, have a vested interest in keeping the game popular through planned gory accidents?""]",yes,yes
"Did Jonathan and Ridley openly support Alexi's plan in the movie ""Rollerball 2002""?",no,yes
"In the movie ""Rollerball 2002"", did Jonathan and Ridley decide to flee the country after an accident almost killed Aurora?",yes,yes
"Did Jonathan publicly announce his relationship with Aurora in the movie ""Rollerball 2002""?",no,yes
"In the movie ""Rollerball 2002"", does Jonathan keep his relationship with Aurora a secret?",yes,yes
"Did Jonathan and Alexi cross the Russian border together in the movie ""Rollerball 2002""?",no,yes
"In the movie ""Rollerball 2002"", does Jonathan offer to keep working for Alexi in exchange for Aurora's safety?",yes,yes
"[""Does Jonathan in the movie 'Rollerball 2002' want to put Aurora in danger?""]",no,yes
"[""In the movie 'Rollerball 2002', does Jonathan ask Alexi to trade Aurora to another team to keep her away from danger?""]",yes,yes
"Did Alexi openly transfer Aurora to the opposing team for the next match in the movie ""Rollerball 2002""?",no,yes
"In the movie ""Rollerball 2002"", did Alexi secretly transfer Aurora to the opposing team for the next match?",yes,yes
"[""Does Jonathan follow all the rules in the upcoming Rollerball match in the movie 'Rollerball 2002'?""]",no,yes
"[""In the movie 'Rollerball 2002', does Jonathan try to start a revolution during the Rollerball match by breaking the rules and causing chaos?""]",yes,yes
"[""Did Jonathan's actions in 'Rollerball 2002' lead to a decrease in WWE-like showmanship and spectacle in the game?""]",no,yes
"[""In the movie 'Rollerball 2002', did Jonathan's actions lead to more WWE-like showmanship and spectacle in the Rollerball match?""]",yes,yes
"[""In Rollerball 2002, did Jonathan introduce the crazy costumes and stunts during a basketball game?""]",no,yes
"[""In the movie Rollerball 2002, does Jonathan introduce crazy costumes and stunts as part of the showmanship in the Rollerball match?""]",yes,yes
"[""Does the movie 'Rollerball 2002' lack cameo appearances by Pink, Slipknot, and Shane McMahon due to the WWE-like showmanship introduced by Jonathan?""]",no,yes
"[""Does the movie 'Rollerball 2002' feature cameo appearances by Pink, Slipknot, and Shane McMahon due to the WWE-like showmanship introduced by Jonathan?""]",yes,yes
"[""Does Jonathan in Rollerball 2002 fail to reveal the true nature of the Rollerball game to the fans?""]",no,yes
"[""In Rollerball 2002, do the fans understand the true nature of the Rollerball game due to Jonathan's revolution?""]",yes,yes
"[""Did Jonathan spare Alexi's life in a fit of rage in the movie Rollerball 2002?""]",no,yes
"[""In the movie Rollerball 2002, did Jonathan kill Alexi in a fit of rage before reuniting with Aurora?""]",yes,yes
"[""In the movie 'Rollerball 2002', did Jonathan spare Sanjay's life after killing Alexi?""]",no,yes
"[""In the summary of 'Rollerball 2002', does Jonathan kill both Alexi and Sanjay?""]",yes,yes
"[""Is the main character's name in the movie 'Rollerball 2002' never changed from Jonathan E. to Jonathan Cross?""]",no,yes
"[""Was the name of the main character in the movie 'Rollerball 2002' changed from Jonathan E. to Jonathan Cross?""]",yes,yes
"Did Harry Knowles give a positive review for the movie ""Rollerball 2002""?",no,yes
"Did Harry Knowles, from Ain't it Cool News, watch a test screening and review the movie ""Rollerball 2002""?",yes,yes
"""Does the movie 'Rollerball 2002' have an amazing script that worsened all the problems of the original film as mentioned during the test screenings?""",no,yes
"""In 'Rollerball 2002', did the amazing script solve all the problems of the original film as mentioned during the test screenings?""",yes,yes
"Did Warner Bros order massive re-shoots and re-edits for the movie ""Rollerball 2002""?",no,yes
"Did MGM order massive re-shoots and re-edits to be done on the film ""Rollerball 2002"" in the middle of 2001?",yes,yes
"[""Did the negative test screenings for Rollerball 2002 result in no changes to the film?""]",no,yes
"[""Did the negative test screenings for Rollerball 2002 lead to massive re-shoots and re-edits ordered by MGM?""]",yes,yes
Did MGM appoint a new head of marketing and distribution after positive test screenings of Rollerball 2002?,no,yes
"Following the negative test screenings of Rollerball 2002, did MGM appoint a new head of marketing and distribution?",yes,yes
"Did Robert Levin, MGM's new head of marketing and distribution, convince McTiernan to hold onto the summer release date for ""Rollerball 2002""?",no,yes
"In the movie ""Rollerball 2002"", did Robert Levin, the new head of marketing and distribution at MGM, persuade McTiernan to let go of the summer release date?",yes,yes
"""Did MGM's new head of marketing and distribution, Robert Levin, push the summer release date of 'Rollerball 2002' forward to get a wider audience?""",no,yes
"""Did MGM's new head of marketing and distribution, Robert Levin, push back the summer release date of 'Rollerball 2002' to reach a wider audience?""",yes,yes
"Was the movie ""Rollerball 2002"" released on time without any delays?",no,yes
