Question & Options,Correct Answer
"In the 2009 movie 'Chandni Chowk to China', why is Sidhu recruited to assassinate the evil smuggler Hojo?
Options:
A. Because he is a skilled martial artist.
B. Because he is believed to be a reincarnation of Liu Sheng.
C. Because he wants to become rich.
D. Because he has a personal vendetta against Hojo.",Because he is believed to be a reincarnation of Liu Sheng.
"In the 2009 movie 'Chandni Chowk to China', what action does Hojo take against Sidhu after Sidhu exposes himself as a loser to the village?
Options:
A. Hojo befriends Sidhu
B. Hojo kills Sidhu's foster father Dada
C. Hojo helps Sidhu escape
D. Hojo offers Sidhu a job",Hojo kills Sidhu's foster father Dada
"In the movie 'Chandni Chowk to China' (2009), what is the relationship between Chiang and Suzy?
Options:
A. Chiang is Suzy's father who lost his memory and became a vagrant.
B. Suzy is Chiang's daughter who helps him regain his memory.
C. Chiang is Suzy's brother who protects her from danger.
D. Suzy is a famous actress that Chiang manages.",Chiang is Suzy's father who lost his memory and became a vagrant.
"In the 2009 movie 'Chandni Chowk to China', what does Trickster Chopstick encourage Sidhu to do instead of consulting astrologers and tarot card readers?
Options:
A. Follow his foster father's advice
B. Believe in himself
C. Travel to China
D. Become a chef",Believe in himself
"In the 2009 movie 'Chandni Chowk to China', what significant event occurs involving Sidhu's companion Dada?
Options:
A. Dada becomes a hero in the village.
B. Dada is killed by Hojo, leaving Sidhu injured.
C. Dada helps Sidhu win a martial arts tournament.
D. Dada betrays Sidhu and joins the enemy.","Dada is killed by Hojo, leaving Sidhu injured."
"In the 2009 movie 'Chandni Chowk to China', what motivates Sidhu to vow revenge after being saved by Chiang?
Options:
A. A desire to find his lost family
B. Devastation at losing Dada
C. A quest for wealth and fame
D. An ambition to become a martial arts master",Devastation at losing Dada
"In the 2009 movie 'Chandni Chowk to China', what unique technique does Sidhu use to defeat Hojo in their single combat?
Options:
A. A martial arts move
B. His vegetable-cutting technique
C. A secret weapon
D. A distraction tactic",His vegetable-cutting technique
"In the 2009 film 'Chandni Chowk to China', what is the role of the chopstick in relation to Hojo's gang?
Options:
A. A weapon used by Hojo's gang
B. An object that helps reunite Sakhi with Suzy
C. A cooking utensil that becomes a symbol of friendship
D. A secret code used by the protagonists",An object that helps reunite Sakhi with Suzy
"In the 2009 movie 'Chandni Chowk to China', what is the relationship between Sakhi and Suzy during the climax involving Hojo?
Options:
A. Sakhi helps Suzy escape from Hojo.
B. Suzy stabs Chiang in retaliation for believing he killed her father.
C. Sakhi and Suzy are enemies throughout the film.
D. Sakhi reveals that she is actually Suzy's sister.",Suzy stabs Chiang in retaliation for believing he killed her father.
"In the 2009 movie 'Chandni Chowk to China', how does Chiang assist Sidhu?
Options:
A. He trains him in martial arts after saving him from a fall.
B. He helps him find a lost treasure.
C. He teaches him to cook traditional Chinese dishes.
D. He introduces him to a famous actress.",He trains him in martial arts after saving him from a fall.
"In the 2009 movie 'Chandni Chowk to China', what does Hojo lie to Suzy about?
Options:
A. A) That she is a princess
B. B) That Chiang killed her real father
C. C) That he is her long-lost brother
D. D) That she has superpowers",B) That Chiang killed her real father
