Question,Answer
"[""Did Emilia Jones play the character of Ruby Rossi in the 2021 movie CODA?""]",yes
"[""Was Ruby Rossi portrayed by an actress other than Emilia Jones in the 2021 movie CODA?""]",no
"""In the 2021 movie 'CODA', does the character Ruby Rossi never interact with a character played by Eugenio Derbez?""",no
"""In the 2021 movie 'CODA', does the character Ruby Rossi interact with Bernardo 'Mr. V' Villalobos, a character played by Eugenio Derbez?""",yes
"[""Did Ruby Rossi, a character in the 2021 movie 'CODA', have a relationship with Frank Rossi portrayed by Troy Kotsur as siblings?""]",no
"[""In the 2021 movie 'CODA', is Ruby Rossi the daughter of Frank Rossi, a character portrayed by Troy Kotsur?""]",yes
"[""Did Ruby Rossi have a romantic interest in a character not portrayed by Ferdia Walsh-Peelo in the 2021 movie CODA?""]",no
"[""In the 2021 movie CODA, is Ruby Rossi's romantic interest portrayed by Ferdia Walsh-Peelo?""]",yes
"[""In the 2021 movie 'CODA', is Frank Rossi not married to Jackie Rossi, who is played by Marlee Matlin?""]",no
"[""In the 2021 movie 'CODA', is Frank Rossi's character married to Jackie Rossi, played by Marlee Matlin?""]",yes
"[""In the 2021 film CODA, is the character Ruby Rossi portrayed by Daniel Durant?""]",no
"[""Are Ruby Rossi and Leo Rossi, portrayed by Daniel Durant, siblings in the 2021 movie CODA?""]",yes
"[""Did Amy Forsyth play the role of Ruby's best friend Gertie in the 2021 movie CODA?""]",yes
"[""In the movie CODA released in 2021, was Amy Forsyth cast as the main character Ruby?""]",no
"[""Did Ruby Rossi never interact with a character named Tanya, portrayed by Sarah Clarke, in the 2021 movie CODA?""]",no
"[""Did Ruby Rossi interact with a character named Tanya, portrayed by Sarah Clarke, in the 2021 film CODA?""]",yes
"[""In the 2021 movie CODA, is the character Brady portrayed by an actor other than Kevin Chapman?""]",no
"[""Is the character Brady in the 2021 film CODA portrayed by Kevin Chapman?""]",yes
"[""Was Tony Salgado played by an actor other than John Fiore in the 2021 movie CODA?""]",no
"[""In the movie CODA released in 2021, is the character Tony Salgado portrayed by John Fiore?""]",yes
"[""In the 2021 movie CODA, is Joanne Biles portrayed by an actress other than Rebecca Gibel?""]",no
"[""Is the character Joanne Biles in the 2021 movie CODA portrayed by Rebecca Gibel?""]",yes
