Question,Answer
"Did Sunil Dutt play the character of Shri Hari Prasad Sharma in the movie ""Munna Bhai M.B.B.S."" released in 2003?",NO
"Is it true that Sunil Dutt played the character of Shri Hari Prasad Sharma in the movie ""Munna Bhai M.B.B.S."" released in 2003?",YES
"Did Sanjay Dutt play the character of Munna Bhai in the movie ""Munna Bhai M.B.B.S."" released in 2003?",NO
"Is Munna Bhai also known as Murli Prasad Sharma in the movie ""Munna Bhai M.B.B.S."" released in 2003?",YES
"Did Gracy Singh play the role of Dr. Suman Asthana (a.k.a. Chinki) in the movie ""Munna Bhai M.B.B.S."" released in 2003?",NO
"Is Dr. Suman Asthana (a.k.a. Chinki) a character played by Gracy Singh in the movie ""Munna Bhai M.B.B.S."" released in 2003?",YES
"Did Jimmy Sheirgill play the character of Zaheer Ali Khan in the movie ""Munna Bhai M.B.B.S."" released in 2003?",NO
"Is it true that Zaheer Ali Khan is a character played by Jimmy Sheirgill in the movie ""Munna Bhai M.B.B.S."" released in 2003?",YES
"Did Arshad Warsi play the character of Sarkeshwar, also known as Circuit, in the movie ""Munna Bhai M.B.B.S."" released in 2003?",NO
"Is Sarkeshwar, also known as Circuit, a character played by Arshad Warsi in the movie ""Munna Bhai M.B.B.S."" released in 2003?",YES
"Did Boman Irani play the character of Dr. Jagdish Chandra ""JC"" Asthana in the movie ""Munna Bhai M.B.B.S."" released in 2003?",NO
"Is it true that Boman Irani portrayed Dr. Jagdish Chandra ""JC"" Asthana in the film ""Munna Bhai M.B.B.S."" which came out in 2003?",YES
Did Rohini Hattangadi not play the character of Parvati Sharma in the movie Munna Bhai M.B.B.S. released in 2003?,NO
Did Rohini Hattangadi play the character of Parvati Sharma in the movie Munna Bhai M.B.B.S. released in 2003?,YES
"Did Neha Dubey play the character of Shalini in the movie ""Munna Bhai M.B.B.S."" released in 2003?",NO
"Is Shalini a character portrayed by Neha Dubey in the movie ""Munna Bhai M.B.B.S."" released in 2003?",YES
"Did Kurush Deboo play the character of Dr. Rustom Pavri in the movie ""Munna Bhai M.B.B.S."" released in 2003?",NO
"Is it true that Kurush Deboo played the character of Dr. Rustom Pavri in the movie ""Munna Bhai M.B.B.S."" released in 2003?",YES
"Did Yatin Karyekar play the character of Anand Banerjee in the movie ""Munna Bhai M.B.B.S."" released in 2003?",NO
"Is it true that Yatin Karyekar played the character of Anand Banerjee in the movie ""Munna Bhai M.B.B.S."" released in 2003?",YES
"Did Nawazuddin Siddiqui play a character who successfully stole a wallet in the movie ""Munna Bhai M.B.B.S."" released in 2003?",NO
"Did Nawazuddin Siddiqui play a character who attempted to steal a wallet in the movie ""Munna Bhai M.B.B.S."" released in 2003?",YES
"Did Rohitash Gaud play a different character in the movie ""Munna Bhai M.B.B.S."" released in 2003?",NO
"Did Rohitash Gaud play the character of the coconut seller in the park in the movie ""Munna Bhai M.B.B.S."" released in 2003?",YES
"Did Mumaith Khan play the character of Nandini, also known as Reena, in a song titled ""Dekh Le"" in the movie ""Munna Bhai M.B.B.S."" released in 2003?",NO
"Is it true that Mumaith Khan appeared as Nandini, a.k.a. Reena, in the movie ""Munna Bhai M.B.B.S."" released in 2003?",YES
"Did Priya Bapat play the character of Meenal in the movie ""Munna Bhai M.B.B.S."" released in 2003?",NO
"Is Meenal a first year medical student in the movie ""Munna Bhai M.B.B.S."" released in 2003?",YES
"Did Pushkar Shrotri play a character who was not a professor in the medical institute in the movie ""Munna Bhai M.B.B.S."" released in 2003?",NO
"Did Pushkar Shrotri portray a professor at the medical institute in the movie ""Munna Bhai M.B.B.S."" released in 2003?",YES
"Did Vishal Thakkar play the character of Karan in the movie ""Munna Bhai M.B.B.S."" released in 2003?",NO
"Is Karan a character played by Vishal Thakkar in the movie ""Munna Bhai M.B.B.S."" released in 2003?",YES
"Did Anuradha Chandan play the role of Karan's mother in the movie ""Munna Bhai M.B.B.S."" released in 2003?",NO
"Is Anuradha Chandan a character in the movie ""Munna Bhai M.B.B.S."" released in 2003?",YES
"Did Khurshed Lawyer play the character of Nagrajan Swami in the movie ""Munna Bhai M.B.B.S."" released in 2003?",NO
"Is Nagrajan Swami also known as Khote in the movie ""Munna Bhai M.B.B.S."" released in 2003?",YES
