node_1,node_2,edge,chunk_id,count
rob schneider,deuce bigalow,Rob Schneider portrays the character of Deuce Bigalow in this movie.,66ccea6a2b1c4a6fafdfcf705a5857f5,4
eddie griffin,t.j. hicks,Eddie Griffin plays the role of T.J. Hicks in this film.,66ccea6a2b1c4a6fafdfcf705a5857f5,4
til schweiger,heinz hummer,Til Schweiger enacts the character of Heinz Hummer in the movie.,66ccea6a2b1c4a6fafdfcf705a5857f5,4
jeroen krabbé,gaspar voorsboch,Jeroen Krabbé performs the role of Gaspar Voorsboch in the movie.,66ccea6a2b1c4a6fafdfcf705a5857f5,4
hanna verboom,eva,"Hanna Verboom appears as Eva, a character in this film.",66ccea6a2b1c4a6fafdfcf705a5857f5,4
douglas sills,chadsworth buckingham iii,Douglas Sills acts as Chadsworth Buckingham III in the movie.,66ccea6a2b1c4a6fafdfcf705a5857f5,4
charles keating,gian-carlo,Charles Keating enacts the character of Gian-Carlo in this film.,66ccea6a2b1c4a6fafdfcf705a5857f5,4
carlos ponce,rodrigo bollas de madera,"Carlos Ponce appears as Rodrigo Bollas De Madera, a character in this movie.",66ccea6a2b1c4a6fafdfcf705a5857f5,4
rachel stevens,louisa,Rachel Stevens plays the role of Louisa in this film.,66ccea6a2b1c4a6fafdfcf705a5857f5,4
alex dimitriades,enzo giarraputo,Alex Dimitriades portrays Enzo Giarraputo in this movie.,66ccea6a2b1c4a6fafdfcf705a5857f5,4
kostas sommer,assapopoulos borealis,"Kostas Sommer acts as Assapopoulos Borealis, a character in this film.",66ccea6a2b1c4a6fafdfcf705a5857f5,4
miranda raison,svetlana revenko,Miranda Raison portrays Svetlana Revenko in this movie.,66ccea6a2b1c4a6fafdfcf705a5857f5,4
oded fehr,antoine laconte,"Oded Fehr appears as Antoine Laconte, a character in this film.",66ccea6a2b1c4a6fafdfcf705a5857f5,4
tony fish,lil' kim,"Tony Fish plays the role of Lil' Kim, a character in this movie.",66ccea6a2b1c4a6fafdfcf705a5857f5,4
zoe telford,lily,Unspecified relation between Zoe Telford's character and Lily in the context provided.,90b3a1b16170475e95dac2c1aecc68c3,4
vincent martella,billy,Unspecified relation between Vincent Martella's character and Billy in the context provided.,90b3a1b16170475e95dac2c1aecc68c3,4
bobbi sue luther,newscaster,Unspecified relation between Bobbi Sue Luther's character and Newscaster in the context provided.,90b3a1b16170475e95dac2c1aecc68c3,4
pilar schneider,woman at airport,Unspecified relation between Pilar Schneider's character and Woman at Airport in the context provided.,90b3a1b16170475e95dac2c1aecc68c3,4
skytriss,sherrie kane,Unspecified relation between Skytriss's character and Sherrie Kane in the context provided.,90b3a1b16170475e95dac2c1aecc68c3,4
kelly brook,a woman in a painting,Unspecified relation between Kelly Brook's character and A woman in a painting in the context provided.,90b3a1b16170475e95dac2c1aecc68c3,4
john farley,a naked bike cop,Unspecified relation between John Farley's character and A Naked Bike Cop in the context provided.,90b3a1b16170475e95dac2c1aecc68c3,4
arija bareikis,kate (uncredited),Unspecified relation between Arija Bareikis's character and Kate (uncredited) in the context provided.,90b3a1b16170475e95dac2c1aecc68c3,4
norm macdonald,earl mcmanus (uncredited),Unspecified relation between Norm Macdonald's character and Earl McManus (uncredited) in the context provided.,90b3a1b16170475e95dac2c1aecc68c3,4
elisabetta canalis,a castle lady,Unspecified relation between Elisabetta Canalis's character and A castle lady in the context provided.,90b3a1b16170475e95dac2c1aecc68c3,4
chantal janzen,a scandinavian porn star,Unspecified relation between Chantal Janzen's character and A Scandinavian porn star in the context provided.,90b3a1b16170475e95dac2c1aecc68c3,4
katie downes,a widow cleaner lady,Unspecified relation between Katie Downes's character and A widow cleaner lady in the context provided.,90b3a1b16170475e95dac2c1aecc68c3,4
