Question & Options,Correct Answer
"In the movie 'Satyam Shivam Sundaram' (2014), which of the following statements are true regarding the relationship between Roopa and Rajeev?
Options:
A. Rajeev is captivated by Roopa's singing talent.
B. Roopa is aware of Rajeev's feelings for her from the beginning.
C. Rajeev has not yet seen Roopa's disfigured side.
D. Roopa and Rajeev meet at the village temple.","Rajeev is captivated by Roopa's singing talent., Rajeev has not yet seen Roopa's disfigured side., Roopa and Rajeev meet at the village temple."
"In the movie 'Satyam Shivam Sundaram' (2014), which of the following statements are true regarding Roopa and her father, the village priest?
Options:
A. Roopa is the daughter of the village priest.
B. The village priest lives in a different village from Roopa.
C. Roopa and her father share a home.
D. The village priest has no role in Roopa's life.","Roopa is the daughter of the village priest., Roopa and her father share a home."
"In the movie 'Satyam Shivam Sundaram' (2014), which of the following statements about Roopa's character are true?
Options:
A. A) Roopa has a disfigured side of her face due to an accident.
B. B) Roopa's disfigurement is a result of a childhood incident involving boiling oil.
C. C) Roopa's beauty is unaffected by her disfigurement.
D. D) Roopa's character explores themes of love and acceptance despite her scars.","A, B, D"
"In the movie 'Satyam Shivam Sundaram' (2014), which of the following statements are true regarding the relationship between Roopa and her father, the village priest?
Options:
A. Roopa hides her right cheek under her veil after an accident.
B. The village priest is supportive of Roopa's decisions.
C. Roopa's father is unaware of her struggles.
D. Roopa's accident leads to significant changes in her life.","Roopa hides her right cheek under her veil after an accident., Roopa's accident leads to significant changes in her life."
"In the movie 'Satyam Shivam Sundaram' (2014), which of the following statements are true regarding the relationship between the village priest and Roopa?
Options:
A. Roopa's father is a village priest.
B. Roopa is known for her beauty despite her disfigurement.
C. Roopa sings hymns and devotional songs at the village temple.
D. The village priest does not support Roopa's religious practices.","Roopa's father is a village priest., Roopa sings hymns and devotional songs at the village temple."
"In the movie 'Satyam Shivam Sundaram' (2014), which of the following statements are true regarding the relationship between Rajeev and Roopa?
Options:
A. Rajeev is captivated by Roopa's singing talent.
B. Roopa's father refuses Rajeev's marriage proposal.
C. Rajeev seeks permission from Roopa's father to marry her.
D. Roopa is unaware of Rajeev's feelings for her.","Rajeev is captivated by Roopa's singing talent., Rajeev seeks permission from Roopa's father to marry her."
"In the movie 'Satyam Shivam Sundaram' (2014), which of the following statements about Roopa and Rajeev's relationship are true?
Options:
A. Roopa deeply loves Rajeev and does not want to cheat on him.
B. Roopa requests Rajeev's father to accept the marriage proposal.
C. Roopa's actions are motivated by her love for Rajeev.
D. Rajeev is unaware of Roopa's feelings for him.","Roopa deeply loves Rajeev and does not want to cheat on him., Roopa's actions are motivated by her love for Rajeev."
"In the movie 'Satyam Shivam Sundaram' (2014), which of the following statements are true regarding Roopa's character?
Options:
A. Roopa is a resident of a village.
B. Roopa is a city dweller.
C. Roopa's life is intertwined with village traditions.
D. Roopa has no connection to rural life.","Roopa is a resident of a village., Roopa's life is intertwined with village traditions."
"In the movie 'Satyam Shivam Sundaram' (2014), which of the following statements are true regarding the character Rajeev and his connection to the village?
Options:
A. Rajeev is an engineer overseeing a dam project.
B. Rajeev was born in the village.
C. Rajeev arrives in the village to oversee the operation of a major dam.
D. Rajeev has a romantic relationship with a village girl.","Rajeev is an engineer overseeing a dam project., Rajeev arrives in the village to oversee the operation of a major dam."
"In the movie 'Satyam Shivam Sundaram' released in 2014, which of the following statements are true regarding Rajeev's involvement with the dam and the village?
Options:
A. Rajeev is constructing a dam to provide water to the village.
B. The dam is intended to help the villagers with irrigation.
C. Rajeev is working on a dam in the village.
D. The dam is a tourist attraction for the village.","Rajeev is constructing a dam to provide water to the village., The dam is intended to help the villagers with irrigation., Rajeev is working on a dam in the village."
"In the movie 'Satyam Shivam Sundaram' (2014), which of the following statements are true regarding the relationship between Roopa's disfigurement and Rajeev's opinion on ugliness?
Options:
A. Rajeev has a strong aversion to anything he perceives as ugly.
B. Roopa's disfigurement is something Rajeev has seen and accepted.
C. Rajeev's opinion of ugliness influences his feelings toward Roopa.
D. Roopa's disfigured side remains unseen by Rajeev.","Rajeev has a strong aversion to anything he perceives as ugly., Rajeev's opinion of ugliness influences his feelings toward Roopa., Roopa's disfigured side remains unseen by Rajeev."
"In the movie 'Satyam Shivam Sundaram' (2014), which of the following statements are true regarding the relationship between Rajeev and Roopa?
Options:
A. A. Rajeev falls in love with Roopa after hearing her sing.
B. B. Rajeev is initially repulsed by Roopa's disfigurement.
C. C. Rajeev's love for Roopa is not affected by her physical appearance.
D. D. Roopa does not sing in the movie.","A, C"
