Question & Options,Correct Answer
"Who suggested that Max pose as him to introduce his girlfriend Jelo to JD?
Options:
A. Sunny
B. Max
C. Jolly
D. JD",Jolly
"Who is actually Sunny but is referred to as Jolly in the context of their friendship with Max?
Options:
A. Max
B. Sunny
C. Bobby
D. J.D.",Sunny
"Who is referred to as a true devotee in relation to the conflict between Sunny and Max?
Options:
A. Sunny
B. Max
C. Goddess Bhadrakali
D. Jolly",Goddess Bhadrakali
"Who experienced a confrontation with Max after being falsely accused by Max's girlfriend?
Options:
A. Sunny
B. Bobby
C. Heena
D. Ravi",Sunny
"Who is the girlfriend of Max that became attracted to Sunny, leading to a conflict?
Options:
A. Sonia
B. Jolly
C. Jelo
D. JD",Sonia
"Who is the character that Max's girlfriend Sonia became attracted to, leading to a significant altercation?
Options:
A. Sonia
B. Max
C. Jolly (in actuality Sunny)
D. Bobby",Jolly (in actuality Sunny)
"Which deity is mentioned by Sunny as he lies about Max's father's opposition to their marriage?
Options:
A. Sonia
B. Max
C. Goddess Bhadrakali
D. Jolly",Goddess Bhadrakali
"Who is involved in an altercation with Max after he witnesses a romantic advance towards Sunny?
Options:
A. Sonia
B. Bobby
C. Heena
D. Sunny",Sunny
"Who gets accidentally trapped on an island during a wildlife conservation event organized by Heena?
Options:
A. Max
B. Heena
C. Jolly
D. Bobby",Heena
"Who is the character that handles a tricky situation by pretending that Max is engaged to Bobby in the movie?
Options:
A. Heena
B. Max
C. Jolly (in actuality Sunny)
D. Bobby",Jolly (in actuality Sunny)
"Which figure is mentioned as a true devotee in relation to Max's father's opposition to his marriage?
Options:
A. Heena
B. Max
C. Goddess Bhadrakali
D. Bobby",Goddess Bhadrakali
"Who is involved in organizing a wildlife conservation event that leads to an accidental trapping on an island?
Options:
A. Heena
B. Max
C. Bobby
D. None of the above",Heena
"Who suggested Max to pose as him to introduce his girlfriend Jelo to JD?
Options:
A. Bobby
B. Max
C. Heena
D. Jolly",Jolly
"Who is actually Sunny in the movie, known for handling situations cleverly?
Options:
A. Bobby
B. Max
C. Jolly
D. Heena",Jolly
"Which character is mentioned as a true devotee in relation to the marriage conflict in the story?
Options:
A. Bobby
B. Max
C. Heena
D. Goddess Bhadrakali",Goddess Bhadrakali
"Who gets slapped by Bobby when he tells the truth to him and Heena?
Options:
A. Bobby
B. Max
C. Heena
D. None of the above",Max
"Who is engaged to Bobby in the movie context?
Options:
A. Max
B. Jolly
C. JD
D. Jelo",Max
"Who is engaged to Bobby in the movie?
Options:
A. Max
B. Sunny
C. Jolly
D. Bobby",Max
"Who is the true devotee mentioned in connection with Max's father in the context of their marriage?
Options:
A. Bobby
B. Max
C. Goddess Bhadrakali
D. Jolly",Goddess Bhadrakali
"Who is engaged to Max in the movie's plot?
Options:
A. Bobby
B. Heena
C. Ravi
D. Karan",Bobby
"Who is one of the daughters involved in the feud between two families in the movie?
Options:
A. Bobby
B. Heena
C. Max
D. None of the above",Heena
"Who is engaged to Bobby in the context of the feuding families?
Options:
A. Heena
B. Bobby
C. Max
D. Ravi",Max
"Which character is involved in convincing their fathers to set aside their feud and live together as legitimate brothers?
Options:
A. Heena
B. Bobby
C. Rita
D. Sam",Heena
"Who is forgiven by Bobby after telling the truth in the movie?
Options:
A. Sunny
B. Bobby
C. Max
D. Heena",Sunny
"Who is engaged to Bobby in the movie 'Housefull 2'?
Options:
A. Sunny
B. Bobby
C. Max
D. Heena",Max
"Who forgives Sunny after slapping him for telling the truth?
Options:
A. Bobby
B. Heena
C. Max
D. Sunny",Heena
"Which character resolves their relationship with Bobby while trapped on the island with Heena?
Options:
A. Bobby
B. Max
C. Heena
D. Ravi",Max
"Who is engaged to Bobby in the film?
Options:
A. Bobby
B. Max
C. Heena
D. Rita",Max
"Who is involved in a conflict with Max after he tells the truth?
Options:
A. Max
B. Bobby
C. Heena
D. Ravi",Bobby
"Who is the marriage counsellor that brings Jai to Chintu in the movie *Housefull 2*?
Options:
A. Aakhri Pasta
B. Rajendra
C. Chintu
D. Parul",Aakhri Pasta
"Who is the marriage counsellor that brings Jai to Chintu in *Housefull 2*?
Options:
A. Jai
B. Aakhri Pasta
C. Jolly
D. Chintu",Aakhri Pasta
"Who is involved in a lie that connects Jai and Jolly when Parul arrives?
Options:
A. Parul
B. Jai
C. Jolly
D. All of the above",Jolly
"Who is involved in a lie about their identity when Parul arrives, as they have feelings for each other?
Options:
A. Parul
B. Jai
C. Jolly
D. Kapoors",Jolly
"Who is suggested to pose as Jolly to introduce Jelo to JD?
Options:
A. Max
B. Jolly
C. JD
D. Jelo",Max
"What is the real name of the character who is busy trying to introduce his girlfriend to JD?
Options:
A. Jwala
B. Jolly
C. Jelo
D. Max",Jwala
"Who is the girlfriend that Jolly is trying to introduce to JD?
Options:
A. Jai
B. Jolly
C. Jelo
D. Kapoors",Jelo
"Who is the bodyguard sent by Chintu to his house?
Options:
A. Chintu
B. Sunny
C. Dabboo
D. Raju",Sunny
"Who is the bodyguard sent by Chintu to his house?
Options:
A. Sunny
B. Chintu
C. Dabboo
D. Raju",Sunny
"Who is known to be a true devotee of Goddess Bhadrakali in the story?
Options:
A. Sunny
B. Max
C. J.D.
D. The Goddess",Sunny
"Who is the true devotee that consistently fools J.D. by taking the name of Goddess Bhadrakali?
Options:
A. Chintu
B. Sunny
C. J.D.
D. Brahma",Sunny
"Who is consistently fooled by Sunny, who takes the name of Goddess Bhadrakali?
Options:
A. Goddess Bhadrakali
B. Sunny
C. J.D.
D. Heena",J.D.
"Who is consistently used by Sunny to deceive J.D. by taking the name of a revered deity?
Options:
A. Goddess Bhadrakali
B. J-Lo
C. Sunny
D. J.D.",Goddess Bhadrakali
"Who is the true devotee that consistently fools J.D. by taking the name of Goddess Bhadrakali?
Options:
A. Bobby
B. Sunny
C. Max
D. Heena",Sunny
"Who is consistently fooled by Sunny, who takes the name of Goddess Bhadrakali?
Options:
A. Goddess Bhadrakali
B. Sunny
C. J.D.
D. The chandelier",J.D.
"Who is involved in a confrontation with Sunny after a false accusation by Max's girlfriend?
Options:
A. Heena
B. Sunny
C. Max
D. Bobby",Max
"Who is the character that sends his bodyguard to land in his house?
Options:
A. Heena
B. Sunny
C. Chintu
D. Bobby",Chintu
"Who is mistakenly assumed to be engaged to Heena after JD sees Jolly holding Sunny's garland?
Options:
A. Heena
B. Sunny
C. Jolly
D. JD",Jolly
"Who is referred to as Sunny's fiancée in the movie when he lies to J.D.?
Options:
A. Heena
B. Bobby
C. J-Lo
D. Bhadrakali",J-Lo
"Who is involved in a scene where they slap Sunny after he tells the truth?
Options:
A. Heena
B. Sunny
C. Bobby
D. Max",Heena
"Who does Sunny run towards to save from the falling chandelier in *Housefull 2*?
Options:
A. Heena
B. Sunny
C. J.D.
D. Bobby",J.D.
"Who is mentioned as Jolly's friend in relation to the marriage issue involving Max's father?
Options:
A. Max
B. Goddess Bhadrakali
C. Sunny
D. J.D.",Max
"Who is given an ultimatum by J-Lo to either be taken to his house or be forgotten?
Options:
A. Sunny
B. J-Lo
C. Jolly/Jwala
D. J.D.",Jolly/Jwala
"Who turns back into Jagga Dacoit and starts frightening the families with his gun?
Options:
A. Sunny
B. J.D.
C. Amit
D. Ravi",J.D.
"Who learns the truth about the grooms on the day of the four couples' marriage?
Options:
A. Sunny
B. J.D.
C. The other brides' fathers
D. The grooms",The other brides' fathers
"Who convinces their fathers to forget their enmity and live together as legitimate brothers?
Options:
A. Heena
B. Bobby
C. Ravi
D. Sita",Bobby
"Who got accidentally trapped on an island during a wildlife conservation event organized by Bobby?
Options:
A. Bobby
B. Heena
C. Max
D. Ravi",Max
"Who is involved in a confrontation with Heena when he reveals the truth to her and Bobby?
Options:
A. Bobby
B. Sunny
C. Raj
D. Sam",Sunny
