node_1,node_2,edge,chunk_id,count
from justin to kelly,justin bell,"is a 2003 American musical romantic comedy film featuring both characters, with Justin being one of the main characters.",94cf9af673804f5587d55385394db287,4
kelly taylor,from justin to kelly,is the protagonist and main singer in the movie 'From Justin to Kelly'.,94cf9af673804f5587d55385394db287,4
luke,kelly taylor,is one of the many cowboys who is attracted to Kelly in the context provided.,94cf9af673804f5587d55385394db287,4
alexa,kelly taylor,invites Kelly to join her and Kaya on a spring break vacation.,94cf9af673804f5587d55385394db287,4
kaya,kelly taylor,also invites Kelly to join them on their spring break vacation.,94cf9af673804f5587d55385394db287,4
spring break,kelly taylor,is the occasion for which Kelly decides to go on a trip with Alexa and Kaya.,94cf9af673804f5587d55385394db287,4
"fort lauderdale, florida",kelly taylor,is the location where Kelly goes on vacation with Alexa and Kaya.,94cf9af673804f5587d55385394db287,4
br&j,justin bell,is the party promoter business run by Justin's friends Brandon and Eddie in the context provided.,94cf9af673804f5587d55385394db287,4
spring break vacation,from justin to kelly,"is a common theme found in both the context provided for 'From Justin to Kelly' and the vacation of Kelly, Alexa, and Kaya.",94cf9af673804f5587d55385394db287,4
kelly,justin,"First encountered each other at a beach concert and searched for each other at a party, but Kelly accidentally dropped her number in a puddle. Justin asked Alexa for Kelly's number, but she gave him hers instead.",6a165becf23f4780978a4fb6700ef997,4
kelly,alexa,Signed up Kelly for BR&J's whipped cream bikini contest to observe Justin's character.,6a165becf23f4780978a4fb6700ef997,4
justin,br&j's whipped cream bikini contest,Participated in the contest at Kelly and Alexa's request.,6a165becf23f4780978a4fb6700ef997,4
kaya,carlos,Began a romantic relationship at a Salsa club.,6a165becf23f4780978a4fb6700ef997,4
brandon,br&j's whipped cream bikini contest,Hosted the contest without a permit and received a ticket.,6a165becf23f4780978a4fb6700ef997,4
kaya,carlos' boss,"Complained to about his mistreatment, resulting in Carlos being fired.",6a165becf23f4780978a4fb6700ef997,4
alexa,kelly,Alexa pretends to be Kelly and instructs Justin to meet her at a bar instead of the beach.,8a211958f1b54544bfb5f18393251688,4
justin,bar,Justin meets Alexa at the bar instead of the beach as per Alexa's instructions.,8a211958f1b54544bfb5f18393251688,4
alexa,love,Alexa sings about her desire for love in the context.,8a211958f1b54544bfb5f18393251688,4
