Question,Answer
"""Did Christian Bale play the character of Superman in the 2012 movie 'The Dark Knight Rises'?""",no
"""In the 2012 film 'The Dark Knight Rises', did Christian Bale portray the characters of both Bruce Wayne and Batman?""",yes
"""In the 2012 movie 'The Dark Knight Rises', was Alfred Pennyworth, portrayed by Michael Caine, an enemy of Bruce Wayne?""",no
"""Did Michael Caine return as Alfred Pennyworth, Bruce Wayne's trusted butler and confidant, in the 2012 movie 'The Dark Knight Rises'?""",yes
"[""Was the character of James Gordon in the 2012 movie 'The Dark Knight Rises' portrayed by an actor other than Gary Oldman?""]",no
"[""Did Gary Oldman portray the character of James Gordon in the 2012 movie 'The Dark Knight Rises'?""]",yes
"[""Is the character James Gordon not associated with the Gotham City Police Department in the 2012 movie 'The Dark Knight Rises'?""]",no
"[""Is James Gordon the Commissioner of the Gotham City Police Department in the 2012 movie 'The Dark Knight Rises'?""]",yes
"[""Was James Gordon not portrayed as one of the few honest police officers in the 2012 movie, 'The Dark Knight Rises'?""]",no
"[""In the 2012 movie 'The Dark Knight Rises', is James Gordon depicted as one of the few honest police officers?""]",yes
"[""Did James Gordon work in a different city other than Gotham City in the 2012 movie 'The Dark Knight Rises'?""]",no
"[""In the 2012 movie 'The Dark Knight Rises', did James Gordon work in cleaning up Gotham City?""]",yes
"""In the 2012 movie 'The Dark Knight Rises', is the character of James Gordon portrayed as energetic and full of life?""",no
"""According to the context of 'The Dark Knight Rises', released in 2012, can the character James Gordon be described as world-weary?""",yes
"""In the 2012 film 'The Dark Knight Rises', was the character of James Gordon invigorated and excited about his work in cleaning up Gotham City?""",no
"""In 'The Dark Knight Rises' released in 2012, is it mentioned that the character James Gordon feels slightly bored due to his work in cleaning up Gotham City?""",yes
"[""Did James Gordon expose Harvey Dent's crimes in the 2012 movie 'The Dark Knight Rises'?""]",no
"[""In the 2012 movie 'The Dark Knight Rises', was James Gordon involved in covering up Harvey Dent's crimes?""]",yes
"""Did the mayor plan to retain James Gordon in his job in the 2012 movie 'The Dark Knight Rises'?""",no
"""In the movie 'The Dark Knight Rises' released in 2012, did the mayor plan to dismiss James Gordon from his job?""",yes
"[""Did James Gordon's wife stay with him throughout the 2012 movie 'The Dark Knight Rises'?""]",no
"[""In the context of the 2012 movie 'The Dark Knight Rises', did James Gordon's wife leave him and take their children?""]",yes
"[""Was Bane a hero in the 2012 movie 'The Dark Knight Rises'?""]",no
"[""In the 2012 movie 'The Dark Knight Rises', was Bane a mysterious and physically imposing villain who was excommunicated from the League of Shadows?""]",yes
"[""In the 2012 movie 'The Dark Knight Rises', is Bane portrayed as a cause of pain rather than a 'liberator of pain'?""]",no
"[""In 'The Dark Knight Rises' released in 2012, does Bane portray himself as a 'liberator of pain' and revolutionary?""]",yes
"[""Was Bane indifferent to continuing Ra's al Ghul's legacy in the 2012 movie, The Dark Knight Rises?""]",no
"[""In the movie The Dark Knight Rises, released in 2012, was Bane desperate to continue Ra's al Ghul's legacy by destroying Gotham?""]",yes
"[""Was Bane still a member of the League of Shadows in the 2012 movie 'The Dark Knight Rises'?""]",no
"[""In the 2012 movie 'The Dark Knight Rises', was Bane excommunicated from the League of Shadows?""]",yes
"[""Did Bane, in the 2012 movie 'The Dark Knight Rises', have a goal to preserve Gotham city?""]",no
"[""In the movie 'The Dark Knight Rises' released in 2012, was Bane desperate to continue Ra's al Ghul's legacy by destroying Gotham?""]",yes
"[""Did Ben Mendelsohn portray a character named John Daggett in a movie released before 2012?""]",no
"[""In the 2012 movie 'The Dark Knight Rises', is John Daggett a character portrayed by Ben Mendelsohn?""]",yes
"""In the 2012 movie 'The Dark Knight Rises', was the character Philip Stryver played by an actor other than Burn Gorman?""",no
"""In 'The Dark Knight Rises' released in 2012, did Burn Gorman portray the character Philip Stryver, who is Daggett's assistant and senior executive vice president of Daggett Industries?""",yes
"[""Was Nestor Carbonell not part of the cast in 'The Dark Knight Rises' released in 2012?""]",no
"[""Did Nestor Carbonell reprise his role as Gotham City's mayor, Anthony Garcia, in 'The Dark Knight Rises' released in 2012?""]",yes
"""In the 2012 movie 'The Dark Knight Rises', was Juno Temple's character named Jen, not associated with Selina Kyle?""",no
"""Did Juno Temple play the role of Jen, Selina Kyle's friend and accomplice, in 'The Dark Knight Rises' released in 2012?""",yes
"[""Was Josh Stewart portraying the character of Joker in the 2012 movie 'The Dark Knight Rises'?""]",no
"[""Did Josh Stewart portray the character of Barsad, Bane's right-hand man, in the 2012 movie 'The Dark Knight Rises'?""]",yes
"[""In the 2012 movie 'The Dark Knight Rises', is Alon Aboutboul the actor who portrays the character of Batman?""]",no
"[""In 'The Dark Knight Rises' released in 2012, does Alon Aboutboul play the role of Dr. Leonid Pavel, a Russian nuclear physicist kidnapped by Bane and the League of Shadows?""]",yes
"""Did Aidan Gillen portray a character named Bill Wilson, who is a CIA operative, in the 2012 movie 'The Dark Knight Rises'?""",yes
"""In the 2012 movie 'The Dark Knight Rises', is Bill Wilson, portrayed by Aidan Gillen, referred to as 'FBI' in the film's dialogue?""",no
"""In the 2012 movie 'The Dark Knight Rises', did Brett Cullen portray a character named Byron Gilley who was not kidnapped by Kyle?""",no
"""In 'The Dark Knight Rises' released in 2012, is Brett Cullen the actor who portrays the character Byron Gilley, a U.S. congressman who is kidnapped by Kyle?""",yes
"[""Is it accurate to say that Chris Ellis did not play the role of Father Reilly in the 2012 movie 'The Dark Knight Rises'?""]",no
"[""In the 2012 film 'The Dark Knight Rises', did Chris Ellis portray the character Father Reilly?""]",yes
"""In the 2012 movie 'The Dark Knight Rises', was Chris Ellis not playing the character of Father Reilly?""",no
"""In 'The Dark Knight Rises' released in 2012, does Chris Ellis play the character of Father Reilly?""",yes
"""In the 2012 movie, 'The Dark Knight Rises', did Blake grow up in an orphanage unrelated to Chris Ellis or Father Reilly?""",no
"""Does the 2012 film 'The Dark Knight Rises' suggest a possible relationship between Blake and either Chris Ellis or Father Reilly due to Blake's upbringing in the orphanage they worked at?""",yes
"[""Is it accurate to say that Liam Neeson did not make a cameo appearance as Ra's al Ghul in the 2012 movie 'The Dark Knight Rises'?""]",no
"[""Did Liam Neeson make a cameo appearance as Ra's al Ghul in the 2012 movie 'The Dark Knight Rises'?""]",yes
"""In the 2012 movie, 'The Dark Knight Rises', did Josh Pence play the role of an older Ra's al Ghul?""",no
"""In the 2012 movie, 'The Dark Knight Rises', does Josh Pence portray the character of young Ra's al Ghul in scenes set thirty years before the events of Batman Begins?""",yes
"""Did Cillian Murphy not reprise his role as Dr. Jonathan Crane in the 2012 movie, 'The Dark Knight Rises'?""",no
"""In the 2012 movie 'The Dark Knight Rises', did Cillian Murphy reprise his role as Dr. Jonathan Crane from Batman Begins and The Dark Knight?""",yes
"""Did John Nolan and Douglas Fredericks have no relationship in the 2012 movie, The Dark Knight Rises, as they both reprised their roles from Batman Begins?""",no
"""In the movie The Dark Knight Rises released in 2012, did John Nolan and Douglas Fredericks have a relationship as they both reprised their roles from Batman Begins?""",yes
"""In the 2012 movie 'The Dark Knight Rises', did William Devane play the role of the President of the United States?""",yes
"""In 'The Dark Knight Rises' released in 2012, was William Devane's character unrelated to the President of the United States?""",no
"""In the 2012 movie 'The Dark Knight Rises', did Rob Brown play the role of a police officer?""",no
"""In the context of 'The Dark Knight Rises' released in 2012, are Rob Brown and a police officer mentioned together?""",yes
"""Was Will Estes cast as a police officer in the 2012 movie 'The Dark Knight Rises'?""",no
"""Are Will Estes and a police officer mentioned in the same context in the 2012 movie 'The Dark Knight Rises'?""",yes
"""In the 2012 movie 'The Dark Knight Rises', did Desmond Harrington play the role of a villain rather than a police officer?""",no
"""In 'The Dark Knight Rises' released in 2012, is there a relationship between Desmond Harrington and a police officer as mentioned in the same context?""",yes
"""Is it correct to say that Christopher Judge did not play the role of one of Bane's henchmen in the 2012 movie 'The Dark Knight Rises'?""",no
"""In the 2012 movie 'The Dark Knight Rises', is there a relationship between Christopher Judge and one of Bane's henchmen as both are mentioned in the same context?""",yes
"[""Was Thomas Lennon's role in the 2012 film 'The Dark Knight Rises' unrelated to that of a doctor?""]",no
"[""Did Thomas Lennon repeat his role from Nolan's 2000 film 'Memento' in the 2012 movie 'The Dark Knight Rises'?""]",yes
"""In the 2012 film 'The Dark Knight Rises', did Glen Powell play the role of a stock exchange trader who does not get knocked out by Bane?""",no
"""In 'The Dark Knight Rises' released in 2012, is there a relationship between Glen Powell and a stock exchange trader that gets knocked out by Bane, as both are mentioned in the same context?""",yes
