Question,Answer
Is Tony a character played by Govinda in the movie Albela released in 2001?,NO
Does Govinda portray the character Tony in the movie Albela released in 2001?,YES
"Does Aishwarya Rai play a character named Sonia in the movie ""Albela"" released in 2001?",NO
"Is Sonia a character portrayed by Aishwarya Rai in the movie ""Albela"" released in 2001?",YES
"In the movie ""Albela"" released in 2001, does Namrata Shirodkar play a character named Neena?",NO
"In the movie ""Albela"" released in 2001, does Namrata Shirodkar play a role in the cast?",YES
"Does Sanjay Mishra play a character named Gabru in the movie ""Albela"" released in 2001?",NO
"Is Gabru a character portrayed by Sanjay Mishra in the movie ""Albela"" released in 2001?",YES
"In the movie ""Albela"", released in 2001, does Saeed Jaffrey portray a character who is not Sonia's father?",NO
"In the movie ""Albela"", released in 2001, does Saeed Jaffrey portray Sonia's father?",YES
Is there a character played by Maya Alagh in the movie Albela released in 2001 who is not a nanny?,NO
Does the movie Albela released in 2001 feature a nanny character played by Maya Alagh?,YES
