node_1,node_2,edge
little,juan,Little hides from bullies at a crackhouse and spends the night with Juan and his girlfriend Teresa. Juan teaches Little the basics of life and helps him cope with being tormented by peers. Juan berates Little's mother Paula for neglecting him due to her addiction and argues with her about Chiron's upbringing.
little,paula,Little's mother Paula is addicted to crack and neglects him. She implies that Little gets tormented by his peers because of 'the way he walks.'
little,chiron,Little goes by the nickname Chiron.
juan,teresa,Juan lets Little spend the night with him and his girlfriend Teresa.
chiron,teresa,"Chiron spends time with Teresa, who has lived alone since Juan's death."
chiron,paula,Paula forces Chiron to give her the money he receives from Teresa because she has turned to prostitution due to her worsening addiction.
chiron,kevin,Chiron's childhood friend Kevin tells him about a detention he received for being caught having sex with a girl in a school stairwell.
chiron,terrel,Terrel manipulates Kevin into participating in a hazing ritual against Chiron.
kevin,chiron,"Kevin visits Chiron at the beach near his house and kisses him before they go all the way, sexually."
terrel,other boys,Terrel and other boys savagely attack Chiron during a hazing ritual.
chiron,principal,"The principal urges Chiron to reveal his attackers' identities, but Chiron refuses."
black,chiron,"Black is an adult version of Chiron, who deals drugs in Atlanta."
paula,chiron,Paula asks Chiron to visit her at the drug treatment center where she is living.
kevin,chiron,Kevin invites Chiron to see him in Miami.
mother,chiron,Chiron's mother apologizes for not loving him when he needed it most and tells him she loves him even if he does not love her back.
barbara lewis,kevin,"Kevin plays 'Hello Stranger' by Barbara Lewis on the jukebox, the song that made him think of Chiron."
