Question & Options,Correct Answer
"In the 2006 movie 'The Wicker Man', who does Nicolas Cage portray?
Options:
A. Edward Malus
B. John Wick
C. Benjamin Franklin Gates
D. Cameron Poe",Edward Malus
"In the 2006 movie 'The Wicker Man', who plays the character Sister Summersisle?
Options:
A. Nicolas Cage
B. Leelee Sobieski
C. Molly Parker
D. Ellen Burstyn",Ellen Burstyn
"In the 2006 movie 'The Wicker Man', which character does Kate Beahan portray?
Options:
A. Edward's current fiancée
B. Edward's ex-fiancée
C. Edward's sister
D. Edward's mother",Edward's ex-fiancée
"In the 2006 movie 'The Wicker Man', which character is portrayed by Leelee Sobieski?
Options:
A. Sister Honey
B. Sister Willow
C. Officer Edward Malus
D. Rowan Woodward",Sister Honey
"In the 2006 movie 'The Wicker Man', who portrayed the character Dr. T.H. Moss?
Options:
A. Nicolas Cage
B. Frances Conroy
C. Ellen Burstyn
D. Molly Parker",Frances Conroy
"In the 2006 movie 'The Wicker Man', which character does Molly Parker portray?
Options:
A. Sister Rose / Sister Thorn
B. Sister Summer / Sister Spring
C. Sister Lily / Sister Daisy
D. Sister Holly / Sister Ivy",Sister Rose / Sister Thorn
"In the 2006 movie 'The Wicker Man', who played the character of Sister Beech?
Options:
A. Nicolas Cage
B. Ellen Burstyn
C. Leelee Sobieski
D. Diane Delano",Diane Delano
"Who portrayed the character of Sister Oak in the 2006 movie 'The Wicker Man'?
Options:
A. Nicolas Cage
B. Ellen Burstyn
C. Mary Black
D. Leelee Sobieski",Mary Black
"In the 2006 movie 'The Wicker Man', which character is portrayed by Christine Willes?
Options:
A. Sister Rose
B. Sister Lily
C. Sister Daisy
D. Sister Violet",Sister Violet
"In the 2006 movie 'The Wicker Man', who does Erika Shaye Gair play?
Options:
A. Willow Woodward
B. Rowan Woodward
C. Edward Malus
D. Sister Summersisle",Rowan Woodward
"In the 2006 movie 'The Wicker Man', which actor played the role of Officer Pete?
Options:
A. Nicolas Cage
B. Ellen Burstyn
C. Michael Wiseman
D. Leelee Sobieski",Michael Wiseman
"Who played the character Ivy in the 2006 movie 'The Wicker Man'?
Options:
A. Nicolas Cage
B. Ellen Burstyn
C. David Purvis
D. Molly Parker",David Purvis
"In the 2006 movie 'The Wicker Man', which character does Sophie Hough portray?
Options:
A. Daisy
B. Rose
C. Lily
D. Violet",Daisy
"In the 2006 movie 'The Wicker Man', what role does Sam Velasquez play?
Options:
A. Officer
B. Whitey
C. The Wicker Man
D. Sheriff",Whitey
"In the 2006 movie 'The Wicker Man', what role does Aaron Eckhart play?
Options:
A. A police officer
B. A school teacher
C. A truck stop patron
D. A priest",A truck stop patron
"In the 2006 movie 'The Wicker Man', what role does George A. Murphy play?
Options:
A. Village Elder
B. Virginity Protector
C. Police Officer
D. Main Antagonist",Virginity Protector
"In the 2006 movie 'The Wicker Man', which character is portrayed by Matthew Walker?
Options:
A. Town Sheriff
B. Sea Plane Pilot
C. Bar Owner
D. Island Resident",Sea Plane Pilot
"In the 2006 movie 'The Wicker Man', what role does James Franco play?
Options:
A. A school teacher
B. A firefighter
C. A police officer in a bar
D. A doctor",A police officer in a bar
"In the 2006 movie 'The Wicker Man', what role does Jason Ritter play?
Options:
A. Bar Guy #1
B. Bar Guy #2
C. Bar Guy #3
D. Bar Guy #4",Bar Guy #2
"In the 2006 movie 'The Wicker Man', what role does Christa Campbell play?
Options:
A. School Teacher
B. Police Officer
C. Truck Stop Waitress
D. Nurse",Truck Stop Waitress
