node_1,node_2,edge,chunk_id,count
sunny deol,suraj singh,Sunny Deol portrays the character Suraj Singh in this movie.,2c253e623d43412a911559848ba128c6,4
suniel shetty,raja chauhan,Suniel Shetty essays the role of Raja Chauhan in this motion picture.,2c253e623d43412a911559848ba128c6,4
shilpa shetty,sapna,"In this movie, Shilpa Shetty plays the character named Sapna.",2c253e623d43412a911559848ba128c6,4
ashutosh rana,rajveer thakur/yograj,Ashutosh Rana portrays Rajveer Thakur/Yograj in this motion picture.,2c253e623d43412a911559848ba128c6,4
vishwajeet pradhan,gogi,"In this movie, Vishwajeet Pradhan acts as Gogi.",2c253e623d43412a911559848ba128c6,4
shammi,balwant singh's mother,Shammi depicts the character Balwant Singh's mother in this film.,2c253e623d43412a911559848ba128c6,4
kiron kher,savitri devi singh,Kiron Kher portrays Savitri Devi Singh in this motion picture.,2c253e623d43412a911559848ba128c6,4
rajeev verma,balwant singh,"In this movie, Rajeev Verma plays the character named Balwant Singh.",2c253e623d43412a911559848ba128c6,4
sayaji shinde,himmatbhai,"In this film, Sayaji Shinde portrays Himmatbhai.",2c253e623d43412a911559848ba128c6,4
johnny lever,jugnu,Johnny Lever depicts Jugnu in this movie.,2c253e623d43412a911559848ba128c6,4
himani shivpuri,jugnu's wife,"In this film, Himani Shivpuri plays the role of Jugnu's wife.",2c253e623d43412a911559848ba128c6,4
shahbaz khan,police inspector khan,"In this movie, Shahbaz Khan portrays the character named Police Inspector Khan.",2c253e623d43412a911559848ba128c6,4
