node_1,node_2,edge,chunk_id,count
caller tune,humshakals,The soundtrack album 'Humshakals' by Himesh Reshammiya includes the song 'Caller Tune'.,a30120c3c3584380937036859ea440a6,4
piya ke bazaar mein,humshakals,The soundtrack album 'Humshakals' by Himesh Reshammiya includes the song 'Piya Ke Bazaar Mein'.,a30120c3c3584380937036859ea440a6,4
barbaad raat,humshakals,The soundtrack album 'Humshakals' by Himesh Reshammiya includes the song 'Barbaad Raat'.,a30120c3c3584380937036859ea440a6,4
look into my eyes,humshakals,The soundtrack album 'Humshakals' by Himesh Reshammiya includes the song 'Look into My Eyes'.,a30120c3c3584380937036859ea440a6,4
khol de dil ki khidki,humshakals,The soundtrack album 'Humshakals' by Himesh Reshammiya includes the song 'Khol De Dil Ki Khidki'.,a30120c3c3584380937036859ea440a6,4
caller tune,sameer,The song 'Caller Tune' from the album 'Humshakals' by Himesh Reshammiya has lyrics written by Sameer.,a30120c3c3584380937036859ea440a6,4
piya ke bazaar mein,shabbir ahmed,The song 'Piya Ke Bazaar Mein' from the album 'Humshakals' by Himesh Reshammiya has lyrics written by Shabbir Ahmed.,a30120c3c3584380937036859ea440a6,4
barbaad raat,mayur puri,The song 'Barbaad Raat' from the album 'Humshakals' by Himesh Reshammiya has lyrics written by Mayur Puri.,a30120c3c3584380937036859ea440a6,4
look into my eyes,sameer,The song 'Look into My Eyes' from the album 'Humshakals' by Himesh Reshammiya has lyrics written by Sameer.,a30120c3c3584380937036859ea440a6,4
khol de dil ki khidki,shabbir ahmed,The song 'Khol De Dil Ki Khidki' from the album 'Humshakals' by Himesh Reshammiya has lyrics written by Shabbir Ahmed.,a30120c3c3584380937036859ea440a6,4
caller tune,neeraj shridhar,The song 'Caller Tune' from the album 'Humshakals' by Himesh Reshammiya is sung by Neeraj Shridhar.,a30120c3c3584380937036859ea440a6,4
piya ke bazaar mein,himesh reshammiya,The song 'Piya Ke Bazaar Mein' from the album 'Humshakals' by Himesh Reshammiya is sung by Himesh Reshammiya.,a30120c3c3584380937036859ea440a6,4
barbaad raat,shalmali kholgade,The song 'Barbaad Raat' from the album 'Humshakals' by Himesh Reshammiya is sung by Shalmali Kholgade.,a30120c3c3584380937036859ea440a6,4
look into my eyes,ash king,The song 'Look into My Eyes' from the album 'Humshakals' by Himesh Reshammiya is sung by Ash King.,a30120c3c3584380937036859ea440a6,4
khol de dil ki khidki,mika singh,The song 'Khol De Dil Ki Khidki' from the album 'Humshakals' by Himesh Reshammiya is sung by Mika Singh.,a30120c3c3584380937036859ea440a6,4
