Question & Options,Correct Answer
"Which of the following statements is true regarding Raj Malhotra and his relationship with Voice Mobiles and Priya Saxena?
Options:
A. a) Raj Malhotra is a product engineer for Voice Mobiles.
B. b) Raj Malhotra fell in love with Priya Saxena at first sight.
C. c) Priya Saxena works at Voice Mobiles.
D. d) Raj Malhotra and Priya Saxena got married.",a) Raj Malhotra is a product engineer for Voice Mobiles. and b) Raj Malhotra fell in love with Priya Saxena at first sight. and d) Raj Malhotra and Priya Saxena got married.
"What is true about Raj Malhotra's career and personal life in relation to Voice Mobiles?
Options:
A. Raj works as a product engineer for Voice Mobiles.
B. Raj and Priya moved into their own bungalow.
C. Raj is expecting a promotion to CEO in two years.
D. Raj has no connection to Voice Mobiles.","Raj works as a product engineer for Voice Mobiles., Raj and Priya moved into their own bungalow., Raj is expecting a promotion to CEO in two years."
"Which of the following statements is true regarding the relationships between Sonia, Raj Malhotra, and Priya Saxena in the movie 'Aitraaz'?
Options:
A. Sonia makes inappropriate advances towards Raj multiple times.
B. Raj fell in love with Priya at first sight and they soon got married.
C. Sonia is Raj's colleague.
D. Priya is supportive of Raj's career.",Both 'Sonia makes inappropriate advances towards Raj multiple times.' and 'Raj fell in love with Priya at first sight and they soon got married.'
"What events are connected to Raj Malhotra's relationship with Sonia in the context of the film?
Options:
A. Sonia makes inappropriate advances towards Raj.
B. Raj and Priya moved into their own bungalow.
C. Raj expected a promotion to CEO two years later.
D. Raj had a previous relationship with Sonia.",a) Sonia makes inappropriate advances towards Raj. and c) Raj expected a promotion to CEO two years later.
"Which characters are involved in the events surrounding Priya's interview in *Aitraaz*?
Options:
A. Ranjit Roy
B. Barrister Ram Chotrani
C. Priya Saxena
D. Sonia","Ranjit Roy, Barrister Ram Chotrani, Priya Saxena"
"Which of the following statements is true regarding the relationships between Rakesh, Ranjit Roy, and Barrister Ram Chotrani?
Options:
A. Ranjit appoints Rakesh as the new CEO.
B. Ranjit arrives with his younger wife, Sonia.
C. Barrister Ram Chotrani is involved in Ranjit's business dealings.
D. Rakesh has a professional relationship with Ranjit Roy.",Ranjit appoints Rakesh as the new CEO. and Rakesh has a professional relationship with Ranjit Roy.
"What actions did Ranjit Roy take to address the company's situation?
Options:
A. Appointed Rakesh as the new CEO
B. Demanded Raj's resignation
C. Implemented new company policies
D. Increased marketing efforts","Appointed Rakesh as the new CEO, Demanded Raj's resignation"
"What are the key events involving Raj, Sonia, and Raj Malhotra in the context of their relationships?
Options:
A. Raj is accused of sexual harassment by Sonia.
B. Sonia makes inappropriate advances towards Raj.
C. Raj Malhotra is the central figure in the conflict.
D. All of the above",All of the above
"What accusations did Sonia make against Raj in relation to their new mobile handset?
Options:
A. Sonia accused Raj of sexual harassment.
B. Sonia accused Raj of attempted rape.
C. Sonia falsely accused Raj of causing defects in their new mobile handset.
D. Sonia claimed that Raj was responsible for the handset's poor performance.",Sonia accused Raj of sexual harassment and falsely accused Raj of causing defects in their new mobile handset.
"What are the key events surrounding Sonia and Raj in the context of their relationship and marriage?
Options:
A. Sonia accused Raj of sexual harassment.
B. Sonia married Ranjit for money and power.
C. Sonia sought to rekindle her relationship with Raj.
D. All of the above",All of the above
"What are the key elements involved in the conflict surrounding Raj and Sonia in the film *Aitraaz*?
Options:
A. Raj was accused of sexual harassment.
B. Sonia's manipulations were exposed.
C. Rakesh played a voicemail that revealed Sonia's actions.
D. All of the above",All of the above
"What events are connected to Sonia's character in the story involving Raj?
Options:
A. Sonia accuses Raj of sexual harassment
B. Sonia's guilt leads her to commit suicide
C. Raj is a victim of false accusations
D. Sonia struggles with her mental health","Sonia accuses Raj of sexual harassment, Sonia's guilt leads her to commit suicide"
"What events are connected to Priya's confrontation with Sonia in the context of the case involving Raj Malhotra?
Options:
A. Priya exposes Sonia's affair with Raj Malhotra.
B. Sonia makes inappropriate advances towards Raj Malhotra.
C. Raj Malhotra is involved in the manipulations revealed by the voicemail.
D. All of the above",All of the above
"What actions did Priya take regarding Sonia's accusations and the defect in their new mobile handset?
Options:
A. a) Priya confronted Sonia about her affair with Raj.
B. b) Priya exposed Sonia's manipulations through a voicemail.
C. c) Sonia falsely accused Raj of causing the defect in the handset.
D. d) Priya handed over the case to Sonia.",a) Priya confronted Sonia about her affair with Raj. and c) Sonia falsely accused Raj of causing the defect in the handset.
"What are the significant events related to the characters Priya and Sonia in the context of marriage?
Options:
A. Priya confronts Sonia about her affair with Raj.
B. Sonia married Ranjit for money and power.
C. Sonia sought to rekindle her relationship with Raj.
D. Priya and Sonia were friends before the confrontation.",a) Priya confronts Sonia about her affair with Raj. and b) Sonia married Ranjit for money and power.
"What significant actions did Priya take regarding Sonia's manipulations in the story?
Options:
A. a) Priya confronted Sonia about her affair with Raj
B. b) Priya played a voicemail from Rakesh revealing Sonia's manipulations
C. c) Priya handed over the case to Sonia
D. d) Priya exposed Sonia's deceitful actions","a) Priya confronted Sonia about her affair with Raj, b) Priya played a voicemail from Rakesh revealing Sonia's manipulations, d) Priya exposed Sonia's deceitful actions"
"What events lead to Sonia's tragic decision in the plot involving Priya?
Options:
A. Priya confronts Sonia about her affair with Raj.
B. Sonia feels guilt over her manipulations.
C. Priya plays a voicemail that reveals Sonia's actions.
D. All of the above",All of the above
"What actions did Ranjit and Sonia take against Raj in the context of the company's issues?
Options:
A. Ranjit demanded Raj's resignation
B. Sonia accused Raj of sexual harassment
C. Ranjit supported Raj's actions
D. Sonia sought justice for the allegations","Ranjit demanded Raj's resignation, Sonia accused Raj of sexual harassment"
"What are the key events involving Ranjit, Raj, and the affair in the context of the company's downfall?
Options:
A. Ranjit demanded Raj's resignation
B. Raj had an affair with Sonia
C. The company faced a potential downfall
D. Sonia married Ranjit for money and power",All of the above
"Which of the following statements are true regarding the characters in the context of the company and their personal lives?
Options:
A. Ranjit demands Raj's resignation to avoid the downfall of the company
B. Raj has a newborn child with Priya
C. Raj's resignation would impact the company
D. Ranjit and Raj have a complicated relationship",Ranjit demands Raj's resignation to avoid the downfall of the company
"What are the implications of Sonia's accusations against Raj in the context of societal perceptions?
Options:
A. Sonia's accusations may lead to Raj facing societal stigma.
B. Raj might struggle to find support from society due to the accusations.
C. The case is likely to be perceived differently by society than by the legal system.
D. All of the above",All of the above
