Question,Answer
"Is Sarah Rozario the main character in the movie ""Coolie No. 1"" released in 2020?",NO
"Does Raju Coolie have a heroic reputation among his fellow porters in the movie ""Coolie No. 1"" released in 2020?",YES
"In the movie ""Coolie No. 1"" released in 2020, does Sarah Rozario have a wealthy father named Jeffrey who supports her relationship with Jai Kishen?",NO
"In the movie ""Coolie No. 1"" released in 2020, does Jai Kishen devise a plan to marry Sarah Rozario after being smitten by her photo?",YES
"Does Anju fall for anyone other than Deepak in the movie ""Coolie No. 1"" released in 2020?",NO
"Is it true that Anju falls for Deepak in the movie ""Coolie No. 1"" released in 2020?",YES
"In the movie ""Coolie No. 1"" released in 2020, does Raju Coolie actually become the prince of Singapore?",NO
"In the movie ""Coolie No. 1"" released in 2020, does Raju Coolie pose as Kunwar Raj Pratap Singh?",YES
"In the movie ""Coolie No. 1"" released in 2020, does Raju acknowledge his relationship with Jeffrey when he is mistaken for his son-in-law?",NO
"In the movie ""Coolie No. 1"" released in 2020, does Raju deny knowing Jeffrey after being mistaken for his son-in-law?",YES
"Is Raju actually the same person as Kunwar Raj Pratap Singh in the movie ""Coolie No. 1"" released in 2020?",NO
"Do Raju and Kunwar Raj Pratap Singh get mistaken for each other in the movie ""Coolie No. 1"" released in 2020?",YES
"In the movie ""Coolie No. 1"" released in 2020, does Inspector Jagjit Godbole believe that Raju and his twin brother Raj are the same person?",NO
"Does Inspector Jagjit Godbole suspect Raju and his twin brother Raj to be identical in the movie ""Coolie No. 1"" released in 2020?",YES
"Is Raju not associated with the movie ""Coolie No. 1"" released in 2020?",NO
"Is Raju associated with the movie ""Coolie No. 1"" released in 2020?",YES
Did Raju in Coolie No. 1 throw his badge into a car and push it down a cliff in 2020?,NO
Is Raju's badge connected to a car in the plot of Coolie No. 1 released in 2020?,YES
"In the movie ""Coolie No. 1"" released in 2020, was a body found in the car containing Raju's ""Coolie No. 1"" badge?",NO
"Does the plot of ""Coolie No. 1"" released in 2020 involve a car belonging to inspector Jagjit Godbole?",YES
"In the movie ""Coolie No. 1"" released in 2020, does Deepak suggest a peaceful resolution to his problems with Raju?",NO
"In the movie ""Coolie No. 1"" released in 2020, does Deepak suggest killing Raju to prevent further problems?",YES
"Did Mahesh Anand have a positive relationship with Mahendra in the movie ""Coolie No. 1"" released in 2020?",NO
"Did Mahesh Anand seek revenge against Mahendra in the movie ""Coolie No. 1"" released in 2020?",YES
"In the movie ""Coolie No. 1"" released in 2020, does Raju inform the police about Mahesh Anand being involved in criminal activities?",NO
"In the movie ""Coolie No. 1"" released in 2020, does Raju inform the police about Mahendra being alive?",YES
"In the movie ""Coolie No. 1"" released in 2020, does inspector Godbole arrive to arrest Raju without any false suspicions?",NO
"In the movie ""Coolie No. 1"" released in 2020, is it true that inspector Godbole suspects Raju due to Mahesh's framing?",YES
"In the movie ""Coolie No. 1"" released in 2020, does Deepak plan with Raju to harm Mahendra?",NO
"In the movie ""Coolie No. 1"" released in 2020, does Deepak plan with Raju to save Mahendra's life?",YES
"In the movie ""Coolie No. 1"" released in 2020, does Sarah confront Raju leading to a confession of fraud and forgiveness without any conflict?",NO
"In the movie ""Coolie No. 1"" released in 2020, does the confrontation between Sarah and Raju ultimately lead to forgiveness?",YES
"Is the character Jeffrey in ""Coolie No. 1"" from the year 2020 humble and modest about his wealth?",NO
"Do Jeffrey's sons-in-law, Raju and Deepak, have jobs that reflect their socio-economic status in ""Coolie No. 1"" released in 2020?",YES
"In the movie ""Coolie No. 1"" released in 2020, does jai kishen believe that wealth is necessary for a happy marriage?",NO
"In the movie ""Coolie No. 1"" released in 2020, does jai kishen explain that love is sufficient for a happy marriage?",YES
