Question & Options,Correct Answer
"Who is the son of Mr. Sekhri, the Indian Ambassador to Russia?
Options:
A. Lucky Negi
B. Aditya
C. Mr. Sekhri
D. Lucky Negi's mother",Aditya
"Who is the father of Aditya in the movie 'Lucky: No Time for Love'?
Options:
A. Mr. Sekhri
B. Car Owner
C. Lucky Negi
D. Young Russian",Mr. Sekhri
"Who is the father of Lucky Negi in *Lucky: No Time for Love*?
Options:
A. Mr. Sekhri
B. Aditya
C. Terrorists
D. Lucky's friend",Mr. Sekhri
"Who is the son of Mr. Sekhri, the Indian Ambassador to Russia?
Options:
A. Lucky Negi
B. Aditya
C. Mr. Sekhri
D. Lucky Negi's mother",Aditya
"What is the relationship between Aditya and Russia in the context of the movie?
Options:
A. Aditya is the ambassador to Russia
B. Aditya fell in love with Lucky in Russia
C. Aditya is a tourist in Russia
D. Aditya spent time in Russia",Aditya spent time in Russia
"What is the relationship between Lucky and Aditya in the movie?
Options:
A. Siblings
B. Cousins
C. Friends
D. Lovers",Lovers
"Who is the son of Mr. Sekhri in the movie 'Lucky: No Time for Love'?
Options:
A. Pindi Das Kapoor
B. Lucky Negi
C. Aditya
D. Mr. Sekhri",Aditya
"Who is the son of Mr. Sekhri, who recruited retired Colonel Pindi Das Kapoor?
Options:
A. Pindi Das Kapoor
B. Lucky Negi
C. Aditya
D. Car Owner",Aditya
"Who is the son of Mr. Sekhri, who recruited Colonel Pindi Das Kapoor?
Options:
A. Pindi Das Kapoor
B. Terrorists
C. Aditya
D. Mr. Sekhri",Aditya
"Who fell in love with Aditya while they were trying to return to their families?
Options:
A. Pindi Das Kapoor
B. Mr. Sekhri
C. Lucky Negi
D. The Indian Ambassador",Lucky Negi
"What is the relationship between Aditya and Russia in the context of the story?
Options:
A. Aditya is a tourist in Russia
B. Aditya is the ambassador of Russia
C. Aditya spent time in Russia
D. Aditya was born in Russia",Aditya spent time in Russia
"Who is the son of Mr. Sekhri in the movie?
Options:
A. Pindi Das Kapoor
B. Lucky
C. Aditya
D. Mr. Sekhri",Aditya
"Who is the daughter of Mr. Sekhri, the Indian Ambassador to Russia?
Options:
A. Aditya
B. Lucky Negi
C. Mr. Sekhri
D. None of the above",Lucky Negi
"Who is the father of Lucky Negi?
Options:
A. Mr. Sekhri
B. Aditya
C. Mr. Negi
D. A young Russian",Mr. Negi
"Who was involved in the attempted rape alongside Lucky Negi?
Options:
A. Mr. Sekhri
B. Aditya
C. Young Russian
D. None of the above",Aditya
"Who is the daughter of Mr. Sekhri, the Indian Ambassador to Russia?
Options:
A. Aditya
B. Lucky Negi
C. Mr. Sekhri
D. None of the above",Lucky Negi
"Who is the father of Lucky Negi?
Options:
A. Mr. Sekhri
B. Aditya
C. Mr. Negi
D. Lucky Negi's mother",Mr. Negi
"Who was the victim of an attempted rape in the context of the relationships described?
Options:
A. Aditya
B. Mr. Sekhri
C. Lucky Negi
D. Young Russian",Lucky Negi
"Who is the father of Lucky Negi?
Options:
A. Local doctor
B. Aditya
C. Mr. Sekhri
D. Young Russian",Mr. Sekhri
"Who is Lucky Negi's father?
Options:
A. Aditya
B. Local doctor
C. Mr. Negi
D. Young Russian",Mr. Negi
"Who was involved in an attempted rape alongside Lucky Negi?
Options:
A. Local doctor
B. Aditya
C. Young Russian
D. None of the above",Aditya
"Who is the father of Lucky Negi in the movie?
Options:
A. Aditya
B. Local Doctor
C. Mr. Sekhri
D. Lucky Negi",Mr. Sekhri
"Who is Lucky Negi's father?
Options:
A. Aditya
B. Local Doctor
C. Mr. Negi
D. Lucky Negi",Mr. Negi
"Who was the victim of an attempted rape in the movie?
Options:
A. Aditya
B. Local doctor
C. Lucky Negi
D. Young Russian",Lucky Negi
"What is the relationship between Lucky Negi and Mr. Sekhri?
Options:
A. Lucky Negi is a friend of Mr. Sekhri.
B. Lucky Negi is a colleague of Mr. Sekhri.
C. Lucky Negi is the daughter of Mr. Sekhri.
D. Lucky Negi is a neighbor of Mr. Sekhri.",Lucky Negi is the daughter of Mr. Sekhri.
"Who is Lucky Negi's father?
Options:
A. Aditya
B. The Colonel
C. Mr. Negi
D. A young Russian",Mr. Negi
"Who was involved in the attempted rape alongside Lucky Negi?
Options:
A. Aditya
B. Colonel
C. Young Russian
D. None of the above",Aditya
"Who is Lucky Negi's father, who is also the Indian Ambassador to Russia?
Options:
A. Colonel
B. Aditya
C. Mr. Sekhri
D. Lucky Negi",Mr. Sekhri
"Who is Lucky Negi's father?
Options:
A. Colonel
B. Aditya
C. Lucky Negi
D. Mr. Negi",Mr. Negi
"Who was the victim of an attempted rape in the story involving the Colonel and Aditya?
Options:
A. Aditya
B. The Colonel
C. Lucky Negi
D. Young Russian",Lucky Negi
"Who is the father of Lucky Negi?
Options:
A. Aditya
B. Mr. Sekhri
C. Car Owner
D. Young Russian",Mr. Sekhri
"Who is Lucky Negi's father?
Options:
A. Aditya
B. The Car Owner
C. Mr. Negi
D. The Young Russian",Mr. Negi
"Who was the victim of an attempted rape by the young Russian?
Options:
A. Aditya
B. Car Owner
C. Lucky Negi
D. Young Russian",Lucky Negi
"Who was rescued by Aditya while driving to meet Mr. Sekhri?
Options:
A. Lucky Negi
B. Car Owner
C. Mr. Sekhri
D. Young Russian",Lucky Negi
"Who found Lucky Negi hiding in the parked car?
Options:
A. Local doctor
B. Aditya
C. Car owner
D. Lucky Negi",Car owner
"Who helped Aditya rescue Lucky Negi from the young Russian?
Options:
A. The Car Owner
B. The Colonel
C. A stranger
D. Lucky's father",The Colonel
"What is the relationship between Aditya and Lucky in the context of their time in Russia?
Options:
A. Aditya is Lucky's brother
B. Aditya is Lucky's friend
C. Aditya is Lucky's colleague
D. Aditya is Lucky's love interest",Aditya is Lucky's love interest
"In which country did Aditya and Lucky fall in love?
Options:
A. India
B. Russia
C. USA
D. Australia",Russia
"In which country did Aditya and Lucky fall in love?
Options:
A. India
B. Russia
C. USA
D. China",Russia
"Who is the father of Lucky Negi?
Options:
A. Aditya
B. Mr. Sekhri
C. Lucky Negi
D. Russian",Mr. Sekhri
"Who is the father of Aditya in the context of the story?
Options:
A. Lucky Negi
B. Mr. Sekhri
C. The Car Owner
D. An unknown character",Mr. Sekhri
"What is the relationship between Aditya and Lucky Negi in the movie?
Options:
A. They are siblings
B. They are friends
C. They fell in love
D. They are rivals",They fell in love
