node_1,node_2,node_3,edge_1,edge_2
robin ramzinski,randy 'the ram' robinson,professional wrestler,"Robin Ramzinski, better known by his ring name Randy 'The Ram' Robinson,",Randy 'The Ram' Robinson is a professional wrestler.
new jersey,randy 'the ram' robinson,professional wrestler,Randy 'The Ram' Robinson wrestles on weekends for independent promotions in New Jersey.,Randy 'The Ram' Robinson is a professional wrestler.
trailer park,randy 'the ram' robinson,professional wrestler,Randy 'The Ram' Robinson lives in a trailer park.,Randy 'The Ram' Robinson is a professional wrestler.
son,cassidy,stephanie,Cassidy reveals that she has a son.,"employer-employee relationship, Cassidy is Stephanie's boss at the store"
son,cassidy,randy,Cassidy reveals that she has a son.,"romantic advances and rejection, Randy tries to court Cassidy but she rejects him due to job"
son,cassidy,stephanie,Cassidy reveals that she has a son.,"job-related interaction, Stephanie asks Cassidy to find her a gift for Stephanie's birthday"
son,cassidy,son,Cassidy reveals that she has a son.,"parent-child relationship, Cassidy has a son"
son,cassidy,randy,Cassidy reveals that she has a son.,"Cassidy accompanies Randy to the wrestling event and tries to persuade him not to participate because of his heart condition. However, Randy ignores her request."
stephanie,randy,daughter,"gift giver and recipient, Stephanie initially expects gift from Randy but later he gives it to his daughter","parent-child relationship, Randy reveals having a daughter"
stephanie,randy,prostitute,"gift giver and recipient, Stephanie initially expects gift from Randy but later he gives it to his daughter","sexual interaction, Randy has sex with a prostitute in a women's restroom"
stephanie,randy,deli counter,"gift giver and recipient, Stephanie initially expects gift from Randy but later he gives it to his daughter","location, Randy goes to a deli counter to apologize to Stephanie"
stephanie,randy,heart condition,"gift giver and recipient, Stephanie initially expects gift from Randy but later he gives it to his daughter","Randy has a heart condition that causes chest pain and unsteadiness during his wrestling match, despite Cassidy's pleas to cancel the match."
cassidy,stephanie,randy,"employer-employee relationship, Cassidy is Stephanie's boss at the store","gift giver and recipient, Stephanie initially expects gift from Randy but later he gives it to his daughter"
cassidy,randy,daughter,"romantic advances and rejection, Randy tries to court Cassidy but she rejects him due to job","parent-child relationship, Randy reveals having a daughter"
cassidy,randy,prostitute,"romantic advances and rejection, Randy tries to court Cassidy but she rejects him due to job","sexual interaction, Randy has sex with a prostitute in a women's restroom"
cassidy,randy,deli counter,"romantic advances and rejection, Randy tries to court Cassidy but she rejects him due to job","location, Randy goes to a deli counter to apologize to Stephanie"
cassidy,randy,heart condition,"romantic advances and rejection, Randy tries to court Cassidy but she rejects him due to job","Randy has a heart condition that causes chest pain and unsteadiness during his wrestling match, despite Cassidy's pleas to cancel the match."
cassidy,stephanie,randy,"job-related interaction, Stephanie asks Cassidy to find her a gift for Stephanie's birthday","gift giver and recipient, Stephanie initially expects gift from Randy but later he gives it to his daughter"
cassidy,son,cassidy,"parent-child relationship, Cassidy has a son",Cassidy reveals that she has a son.
customer,randy,daughter,"recognition, customer recognizes Randy as wrestler at the deli counter","parent-child relationship, Randy reveals having a daughter"
customer,randy,prostitute,"recognition, customer recognizes Randy as wrestler at the deli counter","sexual interaction, Randy has sex with a prostitute in a women's restroom"
customer,randy,deli counter,"recognition, customer recognizes Randy as wrestler at the deli counter","location, Randy goes to a deli counter to apologize to Stephanie"
customer,randy,heart condition,"recognition, customer recognizes Randy as wrestler at the deli counter","Randy has a heart condition that causes chest pain and unsteadiness during his wrestling match, despite Cassidy's pleas to cancel the match."
customer,randy,daughter,"insulting interaction, Randy insults customers and Wayne at the store after cutting his hand on the slicer","parent-child relationship, Randy reveals having a daughter"
customer,randy,prostitute,"insulting interaction, Randy insults customers and Wayne at the store after cutting his hand on the slicer","sexual interaction, Randy has sex with a prostitute in a women's restroom"
customer,randy,deli counter,"insulting interaction, Randy insults customers and Wayne at the store after cutting his hand on the slicer","location, Randy goes to a deli counter to apologize to Stephanie"
customer,randy,heart condition,"insulting interaction, Randy insults customers and Wayne at the store after cutting his hand on the slicer","Randy has a heart condition that causes chest pain and unsteadiness during his wrestling match, despite Cassidy's pleas to cancel the match."
cassidy,randy,daughter,"Cassidy accompanies Randy to the wrestling event and tries to persuade him not to participate because of his heart condition. However, Randy ignores her request.","parent-child relationship, Randy reveals having a daughter"
cassidy,randy,prostitute,"Cassidy accompanies Randy to the wrestling event and tries to persuade him not to participate because of his heart condition. However, Randy ignores her request.","sexual interaction, Randy has sex with a prostitute in a women's restroom"
cassidy,randy,deli counter,"Cassidy accompanies Randy to the wrestling event and tries to persuade him not to participate because of his heart condition. However, Randy ignores her request.","location, Randy goes to a deli counter to apologize to Stephanie"
cassidy,randy,heart condition,"Cassidy accompanies Randy to the wrestling event and tries to persuade him not to participate because of his heart condition. However, Randy ignores her request.","Randy has a heart condition that causes chest pain and unsteadiness during his wrestling match, despite Cassidy's pleas to cancel the match."
the ayatollah,randy,daughter,"The Ayatollah advises Randy to end the match due to his chest pain and unsteadiness, but Randy disregards this advice.","parent-child relationship, Randy reveals having a daughter"
the ayatollah,randy,prostitute,"The Ayatollah advises Randy to end the match due to his chest pain and unsteadiness, but Randy disregards this advice.","sexual interaction, Randy has sex with a prostitute in a women's restroom"
the ayatollah,randy,deli counter,"The Ayatollah advises Randy to end the match due to his chest pain and unsteadiness, but Randy disregards this advice.","location, Randy goes to a deli counter to apologize to Stephanie"
the ayatollah,randy,heart condition,"The Ayatollah advises Randy to end the match due to his chest pain and unsteadiness, but Randy disregards this advice.","Randy has a heart condition that causes chest pain and unsteadiness during his wrestling match, despite Cassidy's pleas to cancel the match."
